condition,run,f1,precision,recall,n_detections
minimal,1,0.6582,0.5571,0.8041,140
minimal,10,0.6582,0.5571,0.8041,140
minimal,2,0.6582,0.5571,0.8041,140
minimal,3,0.6695,0.5683,0.8144,139
minimal,4,0.6582,0.5571,0.8041,140
minimal,5,0.6667,0.5643,0.8144,140
minimal,6,0.6498,0.55,0.7938,140
minimal,7,0.6582,0.5571,0.8041,140
minimal,8,0.6611,0.5563,0.8144,142
minimal,9,0.6639,0.5603,0.8144,141
terse,1,0.6,0.5035,0.7423,143
terse,10,0.6025,0.507,0.7423,142
terse,2,0.6025,0.507,0.7423,142
terse,3,0.6025,0.507,0.7423,142
terse,4,0.6,0.5035,0.7423,143
terse,5,0.6025,0.507,0.7423,142
terse,6,0.6,0.5035,0.7423,143
terse,7,0.6025,0.507,0.7423,142
terse,8,0.6025,0.507,0.7423,142
terse,9,0.6025,0.507,0.7423,142
verbose,1,0.5487,0.4806,0.6392,129
verbose,10,0.5487,0.4806,0.6392,129
verbose,2,0.5463,0.4769,0.6392,130
verbose,3,0.5487,0.4806,0.6392,129
verbose,4,0.5487,0.4806,0.6392,129
verbose,5,0.5463,0.4769,0.6392,130
verbose,6,0.5487,0.4806,0.6392,129
verbose,7,0.5463,0.4769,0.6392,130
verbose,8,0.5487,0.4806,0.6392,129
verbose,9,0.5487,0.4806,0.6392,129
