label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
pv-diag-384__pv-high-image-t0_7-n10-opmax-g2,5,0.173,0.1288,0.2056,0.1937,0.151,0.2316,0.1563,0.1147,0.1866,0.7969,0.7419,0.8421,0.7904,0.9845,0.796,0.79,0.9843,sparse_cross_grid,False,0.5564681724845996,487,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t0_7-n10-opmax-g2,10,0.5064,0.447,0.5475,0.567,0.5086,0.6157,0.4575,0.4006,0.505,0.7969,0.7419,0.8421,0.7904,0.9845,0.796,0.79,0.9843,sparse_cross_grid,False,0.5667351129363449,487,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t0_7-n10-opmax-g2,15,0.6768,0.6208,0.7194,0.7578,0.7051,0.7946,0.6115,0.5488,0.6607,0.7969,0.7419,0.8421,0.7904,0.9845,0.796,0.79,0.9843,sparse_cross_grid,False,0.5749486652977412,487,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t0_7-n10-opmax-g2,20,0.7761,0.7268,0.808,0.8689,0.8283,0.9012,0.7011,0.6479,0.7472,0.7969,0.7419,0.8421,0.7904,0.9845,0.796,0.79,0.9843,sparse_cross_grid,False,0.5811088295687885,487,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t0_7-n10-opmax-g2,25,0.8168,0.7753,0.8528,0.9145,0.8812,0.9415,0.7379,0.6894,0.7856,0.7969,0.7419,0.8421,0.7904,0.9845,0.796,0.79,0.9843,sparse_cross_grid,False,0.5811088295687885,487,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t0_7-n10-opmax-g2,30,0.8321,0.7947,0.863,0.9316,0.9049,0.9532,0.7517,0.707,0.7987,0.7969,0.7419,0.8421,0.7904,0.9845,0.796,0.79,0.9843,sparse_cross_grid,False,0.5811088295687885,487,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t0_7-n10-opmax-g2,35,0.8422,0.8094,0.8721,0.943,0.9173,0.9632,0.7609,0.7163,0.8062,0.7969,0.7419,0.8421,0.7904,0.9845,0.796,0.79,0.9843,sparse_cross_grid,False,0.5811088295687885,487,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t0_7-n10-opmax-g2,40,0.8448,0.8138,0.8747,0.9459,0.9181,0.9649,0.7632,0.7179,0.8088,0.7969,0.7419,0.8421,0.7904,0.9845,0.796,0.79,0.9843,sparse_cross_grid,False,0.5811088295687885,487,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t0_7-n10-opmax-g2,45,0.8448,0.8138,0.8747,0.9459,0.9181,0.9649,0.7632,0.7179,0.8088,0.7969,0.7419,0.8421,0.7904,0.9845,0.796,0.79,0.9843,sparse_cross_grid,False,0.5811088295687885,487,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t0_7-n10-opmax-g2,50,0.8448,0.8138,0.8747,0.9459,0.9181,0.9649,0.7632,0.7179,0.8088,0.7969,0.7419,0.8421,0.7904,0.9845,0.796,0.79,0.9843,sparse_cross_grid,False,0.5811088295687885,487,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t0_7-n10-opmax-g2,75,0.8499,0.8187,0.8791,0.9516,0.9289,0.9708,0.7678,0.7222,0.811,0.7969,0.7419,0.8421,0.7904,0.9845,0.796,0.79,0.9843,sparse_cross_grid,False,0.5811088295687885,487,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t0_7-n10-opmax-g2,100,0.8499,0.8187,0.8791,0.9516,0.9289,0.9708,0.7678,0.7222,0.811,0.7969,0.7419,0.8421,0.7904,0.9845,0.796,0.79,0.9843,sparse_cross_grid,False,0.5811088295687885,487,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t0_7-n10-opmax-g2,125,0.8499,0.8187,0.8791,0.9516,0.9289,0.9708,0.7678,0.7222,0.811,0.7969,0.7419,0.8421,0.7904,0.9845,0.796,0.79,0.9843,sparse_cross_grid,False,0.5811088295687885,487,zero_fraction_heuristic,
pv-diag-384__pv-high-image-t0_7-n10-opmax-g2,150,0.8499,0.8187,0.8791,0.9516,0.9289,0.9708,0.7678,0.7222,0.811,0.7969,0.7419,0.8421,0.7904,0.9845,0.796,0.79,0.9843,sparse_cross_grid,False,0.5811088295687885,487,zero_fraction_heuristic,
