label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
pv-diag-384__pv-scale4-optimal-n5-opmax-g2,5,0.1637,0.1328,0.1973,0.1717,0.14,0.2063,0.1563,0.1254,0.1869,0.8352,0.7935,0.8794,0.8515,0.9729,0.8346,0.8507,0.9731,sparse_cross_grid,False,0.5420944558521561,487,zero_fraction_heuristic,
pv-diag-384__pv-scale4-optimal-n5-opmax-g2,10,0.4501,0.398,0.4996,0.4722,0.4177,0.5248,0.4299,0.3673,0.4789,0.8352,0.7935,0.8794,0.8515,0.9729,0.8346,0.8507,0.9731,sparse_cross_grid,False,0.5544147843942505,487,zero_fraction_heuristic,
pv-diag-384__pv-scale4-optimal-n5-opmax-g2,15,0.6546,0.6112,0.7019,0.6869,0.6454,0.7313,0.6253,0.5689,0.6735,0.8352,0.7935,0.8794,0.8515,0.9729,0.8346,0.8507,0.9731,sparse_cross_grid,False,0.5605749486652978,487,zero_fraction_heuristic,
pv-diag-384__pv-scale4-optimal-n5-opmax-g2,20,0.7629,0.7159,0.7958,0.8005,0.7577,0.8402,0.7287,0.6737,0.7658,0.8352,0.7935,0.8794,0.8515,0.9729,0.8346,0.8507,0.9731,sparse_cross_grid,False,0.5626283367556468,487,zero_fraction_heuristic,
pv-diag-384__pv-scale4-optimal-n5-opmax-g2,25,0.7942,0.7539,0.8233,0.8333,0.7926,0.8678,0.7586,0.7087,0.7925,0.8352,0.7935,0.8794,0.8515,0.9729,0.8346,0.8507,0.9731,sparse_cross_grid,False,0.5626283367556468,487,zero_fraction_heuristic,
pv-diag-384__pv-scale4-optimal-n5-opmax-g2,30,0.8207,0.7738,0.8501,0.8611,0.8193,0.8906,0.7839,0.7252,0.8186,0.8352,0.7935,0.8794,0.8515,0.9729,0.8346,0.8507,0.9731,sparse_cross_grid,False,0.5626283367556468,487,zero_fraction_heuristic,
pv-diag-384__pv-scale4-optimal-n5-opmax-g2,35,0.8327,0.7795,0.8589,0.8737,0.8315,0.9037,0.7954,0.7343,0.8312,0.8352,0.7935,0.8794,0.8515,0.9729,0.8346,0.8507,0.9731,sparse_cross_grid,False,0.5626283367556468,487,zero_fraction_heuristic,
pv-diag-384__pv-scale4-optimal-n5-opmax-g2,40,0.8375,0.7923,0.8648,0.8788,0.8394,0.909,0.8,0.7393,0.837,0.8352,0.7935,0.8794,0.8515,0.9729,0.8346,0.8507,0.9731,sparse_cross_grid,False,0.5626283367556468,487,zero_fraction_heuristic,
pv-diag-384__pv-scale4-optimal-n5-opmax-g2,45,0.84,0.7922,0.8664,0.8813,0.8399,0.9102,0.8023,0.7446,0.8398,0.8352,0.7935,0.8794,0.8515,0.9729,0.8346,0.8507,0.9731,sparse_cross_grid,False,0.5626283367556468,487,zero_fraction_heuristic,
pv-diag-384__pv-scale4-optimal-n5-opmax-g2,50,0.852,0.8088,0.874,0.8939,0.8537,0.9219,0.8138,0.7563,0.847,0.8352,0.7935,0.8794,0.8515,0.9729,0.8346,0.8507,0.9731,sparse_cross_grid,False,0.5626283367556468,487,zero_fraction_heuristic,
pv-diag-384__pv-scale4-optimal-n5-opmax-g2,75,0.8568,0.8156,0.8793,0.899,0.8618,0.9251,0.8184,0.7633,0.85,0.8352,0.7935,0.8794,0.8515,0.9729,0.8346,0.8507,0.9731,sparse_cross_grid,False,0.5626283367556468,487,zero_fraction_heuristic,
pv-diag-384__pv-scale4-optimal-n5-opmax-g2,100,0.8592,0.8184,0.8806,0.9015,0.8614,0.927,0.8207,0.7655,0.852,0.8352,0.7935,0.8794,0.8515,0.9729,0.8346,0.8507,0.9731,sparse_cross_grid,False,0.5626283367556468,487,zero_fraction_heuristic,
pv-diag-384__pv-scale4-optimal-n5-opmax-g2,125,0.8616,0.8228,0.8842,0.904,0.8689,0.9285,0.823,0.7679,0.8553,0.8352,0.7935,0.8794,0.8515,0.9729,0.8346,0.8507,0.9731,sparse_cross_grid,False,0.5626283367556468,487,zero_fraction_heuristic,
pv-diag-384__pv-scale4-optimal-n5-opmax-g2,150,0.8616,0.8228,0.8842,0.904,0.8689,0.9285,0.823,0.7679,0.8553,0.8352,0.7935,0.8794,0.8515,0.9729,0.8346,0.8507,0.9731,sparse_cross_grid,False,0.5626283367556468,487,zero_fraction_heuristic,
