threshold,n_accepted,precision,recall,f1,f1_ci_lower,f1_ci_upper,p_ci_lower,p_ci_upper,r_ci_lower,r_ci_upper
0.0,882,0.4875,0.7978,0.6052,0.5497,0.6556,0.4246,0.5424,0.7457,0.8479
0.1,613,0.6884,0.7829,0.7326,0.6915,0.7787,0.64,0.7291,0.7324,0.8349
0.2,525,0.7771,0.757,0.7669,0.7323,0.8095,0.7373,0.8167,0.7136,0.8092
0.3,480,0.8063,0.718,0.7596,0.7251,0.8056,0.7715,0.8492,0.6761,0.7768
0.4,475,0.8105,0.7143,0.7594,0.7266,0.8042,0.7777,0.8516,0.672,0.7745
0.5,453,0.8102,0.6809,0.7399,0.7019,0.7834,0.7714,0.8509,0.6328,0.7368
0.6,453,0.8102,0.6809,0.7399,0.7019,0.7834,0.7714,0.8509,0.6328,0.7368
0.7,451,0.8115,0.679,0.7394,0.7024,0.7841,0.7737,0.8554,0.6319,0.7352
0.8,439,0.8109,0.6605,0.728,0.6905,0.7712,0.7775,0.8528,0.609,0.7152
0.9,378,0.8333,0.5844,0.687,0.6512,0.7372,0.7972,0.8684,0.541,0.6412
1.0,245,0.8735,0.397,0.5459,0.5058,0.5889,0.8394,0.9167,0.3601,0.4396
