threshold,n_accepted,precision,recall,f1,f1_ci_lower,f1_ci_upper,p_ci_lower,p_ci_upper,r_ci_lower,r_ci_upper
0.0,572,0.3619,0.4759,0.4111,0.3354,0.4784,0.282,0.4428,0.3926,0.5489
0.05,393,0.5216,0.4713,0.4952,0.4187,0.5593,0.4278,0.6099,0.3893,0.5455
0.1,291,0.6873,0.4598,0.551,0.4709,0.6117,0.6094,0.7571,0.3772,0.5325
0.15,239,0.8243,0.4529,0.5846,0.5016,0.6498,0.7488,0.885,0.3712,0.5248
0.2,233,0.8283,0.4437,0.5778,0.4974,0.6428,0.7544,0.8875,0.3634,0.5133
0.25,224,0.8304,0.4276,0.5645,0.4825,0.629,0.759,0.8876,0.3476,0.4977
0.3,224,0.8304,0.4276,0.5645,0.4825,0.629,0.759,0.8876,0.3476,0.4977
0.35,223,0.8296,0.4253,0.5623,0.4811,0.6271,0.7584,0.8871,0.3453,0.4947
0.4,223,0.8296,0.4253,0.5623,0.4811,0.6271,0.7584,0.8871,0.3453,0.4947
0.45,218,0.8394,0.4207,0.5605,0.4803,0.6249,0.7671,0.8966,0.3406,0.4881
0.5,218,0.8394,0.4207,0.5605,0.4803,0.6249,0.7671,0.8966,0.3406,0.4881
0.55,218,0.8394,0.4207,0.5605,0.4803,0.6249,0.7671,0.8966,0.3406,0.4881
0.6,218,0.8394,0.4207,0.5605,0.4803,0.6249,0.7671,0.8966,0.3406,0.4881
0.65,218,0.8394,0.4207,0.5605,0.4803,0.6249,0.7671,0.8966,0.3406,0.4881
0.7,218,0.8394,0.4207,0.5605,0.4803,0.6249,0.7671,0.8966,0.3406,0.4881
0.75,217,0.8433,0.4207,0.5613,0.4808,0.6257,0.7711,0.9017,0.3406,0.4881
0.8,217,0.8433,0.4207,0.5613,0.4808,0.6257,0.7711,0.9017,0.3406,0.4881
0.85,216,0.8426,0.4184,0.5591,0.4797,0.6216,0.77,0.9013,0.3406,0.4859
0.9,194,0.866,0.3862,0.5342,0.4556,0.5968,0.8,0.9235,0.3133,0.4506
0.95,194,0.866,0.3862,0.5342,0.4556,0.5968,0.8,0.9235,0.3133,0.4506
1.0,152,0.875,0.3057,0.4532,0.378,0.5196,0.795,0.9398,0.2437,0.3678
