threshold,n_accepted,precision,recall,f1,f1_ci_lower,f1_ci_upper,p_ci_lower,p_ci_upper,r_ci_lower,r_ci_upper
0.0,739,0.5047,0.8575,0.6354,0.5868,0.6844,0.4478,0.565,0.8217,0.893
0.05,631,0.5832,0.846,0.6904,0.6471,0.7329,0.5286,0.6361,0.809,0.885
0.1,530,0.6906,0.8414,0.7585,0.7252,0.7933,0.6468,0.7325,0.8028,0.8805
0.15,447,0.7897,0.8115,0.8005,0.7679,0.8322,0.7524,0.8254,0.7668,0.8549
0.2,443,0.7946,0.8092,0.8018,0.7688,0.8332,0.7558,0.8307,0.7646,0.8517
0.25,416,0.8005,0.7655,0.7826,0.7481,0.8145,0.7617,0.8362,0.7184,0.8118
0.3,416,0.8005,0.7655,0.7826,0.7481,0.8145,0.7617,0.8362,0.7184,0.8118
0.35,414,0.8019,0.7632,0.7821,0.7478,0.814,0.763,0.8388,0.7157,0.8089
0.4,414,0.8019,0.7632,0.7821,0.7478,0.814,0.763,0.8388,0.7157,0.8089
0.45,392,0.8087,0.7287,0.7666,0.73,0.8027,0.7662,0.8456,0.6802,0.7783
0.5,392,0.8087,0.7287,0.7666,0.73,0.8027,0.7662,0.8456,0.6802,0.7783
0.55,392,0.8087,0.7287,0.7666,0.73,0.8027,0.7662,0.8456,0.6802,0.7783
0.6,392,0.8087,0.7287,0.7666,0.73,0.8027,0.7662,0.8456,0.6802,0.7783
0.65,392,0.8087,0.7287,0.7666,0.73,0.8027,0.7662,0.8456,0.6802,0.7783
0.7,391,0.8107,0.7287,0.7676,0.7318,0.8035,0.7692,0.8464,0.6803,0.7785
0.75,391,0.8107,0.7287,0.7676,0.7318,0.8035,0.7692,0.8464,0.6803,0.7785
0.8,386,0.8135,0.7218,0.7649,0.7278,0.8005,0.7719,0.848,0.673,0.772
0.85,386,0.8135,0.7218,0.7649,0.7278,0.8005,0.7719,0.848,0.673,0.772
0.9,342,0.8187,0.6437,0.7207,0.6788,0.7613,0.7751,0.8575,0.592,0.6983
0.95,338,0.8225,0.6391,0.7193,0.6777,0.7604,0.7775,0.8632,0.5881,0.6949
1.0,233,0.8412,0.4506,0.5868,0.5364,0.6333,0.7897,0.8893,0.399,0.5012
