month,sku,usage_amount,usage_unit,aud,aud_per_usd,usd,basis
2025-12,GenerateContent image input token count for Gemini 2.0 Flash,884940,count,0.14,1.5398,0.09,invoice
2025-12,GenerateContent text input token count for Gemini 2.0 Flash,50540,count,0.01,1.5398,0.01,invoice
2025-12,GenerateContent text output token count for Gemini 2.0 Flash,5068,count,0.00,1.5398,0.00,invoice
2025-12,Generate_content image input token count for gemini 3 flash,25889247,count,19.93,1.5398,12.94,invoice
2025-12,Generate_content cached image input token count for gemini 3 flash,88109103,count,6.78,1.5398,4.40,invoice
2025-12,Generate_content text output token count for gemini 3 flash,1264476,count,5.84,1.5398,3.79,invoice
2025-12,Generate content output token count gemini 2.5 flash short input text,454796,count,1.75,1.5398,1.14,invoice
2025-12,Generate_content text input token count for gemini 3 flash,596623,count,0.46,1.5398,0.30,invoice
2025-12,Generate_content cached text input token count for gemini 3 flash,1820586,count,0.14,1.5398,0.09,invoice
2025-12,Generate content input token count gemini 2.5 flash input image,90843,count,0.04,1.5398,0.03,invoice
2025-12,Generate content output token count gemini 2.5 flash short output text non-thinking,5663,count,0.02,1.5398,0.01,invoice
2025-12,Generate content cached input token count gemini 2.5 flash input image,197601,count,0.01,1.5398,0.01,invoice
2025-12,Generate content input token count gemini 2.5 flash short input text,15885,count,0.01,1.5398,0.01,invoice
2025-12,Generate content cached input token count gemini 2.5 flash input short text,31746,count,0.00,1.5398,0.00,invoice
2025-12,Generate_content_cached_input_token_count_gemini_3_pro_short_image,18710455,count,5.76,1.5398,3.74,invoice
2025-12,Generate_content text cached input token count for gemini 3 pro short,574359,count,0.18,1.5398,0.12,invoice
2025-12,Generate_content image input token count for gemini 3 pro short,3841107,count,11.83,1.5398,7.68,invoice
2025-12,Generate_content text output token count for gemini 3 pro short,206643,count,3.82,1.5398,2.48,invoice
2025-12,Generate_content text input token count for gemini 3 pro short,156410,count,0.48,1.5398,0.31,invoice
2026-01,Generate_content image output token count for Gemini 3 Pro Image,12320,count,2.21,1.4941,1.48,invoice
2026-01,Generate_content text output token count for gemini 3 pro short,7439,count,0.13,1.4941,0.09,invoice
2026-01,Generate_content text input token count for gemini 3 pro short,37882,count,0.11,1.4941,0.07,invoice
2026-01,Generate_content image input token count for gemini 3 pro short,11360,count,0.03,1.4941,0.02,invoice
2026-01,Generate_content text cached input token count for gemini 3 pro short,6199,count,0.00,1.4941,0.00,invoice
2026-01,Generate_content_cached_input_token_count_gemini_3_pro_short_image,3088,count,0.00,1.4941,0.00,invoice
2026-01,Generate_content image input token count for gemini 3 flash,19477547,count,14.55,1.4941,9.74,invoice
