family,prob_t,min_votes,n_detections,tp,fp,fn,micro_f1_50
IM,0.0,3,7878,4109,3769,901,0.6376474239602731
IM,0.0,4,4982,3332,1650,1678,0.66693354683747
IM,0.0,5,2823,2235,588,2775,0.5706625813864419
IM,0.05,3,6884,4087,2797,923,0.6872372624852867
IM,0.05,4,4570,3314,1256,1696,0.6918580375782881
IM,0.05,5,2673,2229,444,2781,0.5802420929324482
IM,0.1,3,5826,4038,1788,972,0.7452934662236987
IM,0.1,4,4136,3279,857,1731,0.7170347692980539
IM,0.1,5,2527,2202,325,2808,0.5843173676529123
IM,0.15,3,4680,3881,799,1129,0.8010319917440661
IM,0.15,4,3541,3164,377,1846,0.7400304058004912
IM,0.15,5,2283,2136,147,2874,0.5857671740024681
IM,0.2,3,4561,3829,732,1181,0.8001253787483021
IM,0.2,4,3467,3124,343,1886,0.7370532027840038
IM,0.2,5,2244,2114,130,2896,0.5828508409153571
IM,0.3,3,4151,3573,578,1437,0.7800458465233052
IM,0.3,4,3173,2918,255,2092,0.7131858731516558
IM,0.3,5,2073,1983,90,3027,0.5599322321050402
IM,0.35,3,4103,3537,566,1473,0.7762537035004938
IM,0.35,4,3139,2890,249,2120,0.709289483372193
IM,0.35,5,2050,1962,88,3048,0.5558073654390936
IM,0.4,3,4093,3530,563,1480,0.7755684939031089
IM,0.4,4,3134,2885,249,2125,0.7084970530451867
IM,0.4,5,2046,1958,88,3052,0.5549886621315193
IM,0.5,3,3893,3389,504,1621,0.7613164101988094
IM,0.5,4,2995,2784,211,2226,0.6955652717051843
IM,0.5,5,1962,1889,73,3121,0.5418818129661503
IM,0.65,3,3892,3389,503,1621,0.7614019321500787
IM,0.65,4,2995,2784,211,2226,0.6955652717051843
IM,0.65,5,1962,1889,73,3121,0.5418818129661503
IM,0.7,3,3881,3380,501,1630,0.7603194241367675
IM,0.7,4,2985,2776,209,2234,0.6944340212632895
IM,0.7,5,1954,1882,72,3128,0.5404939689833429
IM,0.75,3,3845,3353,492,1657,0.757312252964427
IM,0.75,4,2964,2757,207,2253,0.691497366440933
IM,0.75,5,1944,1872,72,3138,0.5383951682484901
IM,0.8,3,3719,3255,464,1755,0.7457898957497996
IM,0.8,4,2874,2679,195,2331,0.6796042617960426
IM,0.8,5,1893,1826,67,3184,0.5290453426046646
IM,0.85,3,3715,3251,464,1759,0.7452148997134671
IM,0.85,4,2871,2676,195,2334,0.6791016368481156
IM,0.85,5,1890,1823,67,3187,0.5284057971014493
IM,0.9,3,3150,2771,379,2239,0.6791666666666667
IM,0.9,4,2425,2263,162,2747,0.6087424344317418
IM,0.9,5,1606,1551,55,3459,0.46886336154776304
IM,0.95,3,3140,2763,377,2247,0.6780368098159509
IM,0.95,4,2417,2255,162,2755,0.6072438400430862
IM,0.95,5,1601,1546,55,3464,0.4677053395855393
IM,1.0,3,2097,1850,247,3160,0.520613479667933
IM,1.0,4,1606,1492,114,3518,0.45102781136638453
IM,1.0,5,1033,994,39,4016,0.3289756743339401
