label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
A-N10-carried-final-board-r2,5,0.1456,0.1355,0.1561,0.1544,0.1437,0.1657,0.1377,0.1281,0.1479,0.693,0.6785,0.7075,0.6792,0.9661,0.693,0.6792,0.9661,sparse_cross_grid,False,0.6434843695117668,8541,zero_fraction_heuristic,
A-N10-carried-final-board-r2,10,0.3881,0.3738,0.4026,0.4116,0.3966,0.4269,0.3671,0.3527,0.3817,0.693,0.6785,0.7075,0.6792,0.9661,0.693,0.6792,0.9661,sparse_cross_grid,False,0.6474651680131133,8541,zero_fraction_heuristic,
A-N10-carried-final-board-r2,15,0.5874,0.5726,0.6015,0.623,0.6075,0.6382,0.5556,0.5396,0.5708,0.693,0.6785,0.7075,0.6792,0.9661,0.693,0.6792,0.9661,sparse_cross_grid,False,0.6509776372790071,8541,zero_fraction_heuristic,
A-N10-carried-final-board-r2,20,0.7081,0.695,0.7204,0.7511,0.737,0.7641,0.6698,0.6549,0.6843,0.693,0.6785,0.7075,0.6792,0.9661,0.693,0.6792,0.9661,sparse_cross_grid,False,0.6524997072942278,8541,zero_fraction_heuristic,
A-N10-carried-final-board-r2,25,0.7814,0.7699,0.792,0.8288,0.8169,0.8401,0.7391,0.7253,0.7525,0.693,0.6785,0.7075,0.6792,0.9661,0.693,0.6792,0.9661,sparse_cross_grid,False,0.6542559419271748,8541,zero_fraction_heuristic,
A-N10-carried-final-board-r2,30,0.8126,0.8026,0.8223,0.8619,0.851,0.8725,0.7686,0.7555,0.7814,0.693,0.6785,0.7075,0.6792,0.9661,0.693,0.6792,0.9661,sparse_cross_grid,False,0.6554267650158061,8541,zero_fraction_heuristic,
A-N10-carried-final-board-r2,35,0.8278,0.8183,0.8368,0.878,0.8675,0.8878,0.783,0.7702,0.7952,0.693,0.6785,0.7075,0.6792,0.9661,0.693,0.6792,0.9661,sparse_cross_grid,False,0.6562463411778481,8541,zero_fraction_heuristic,
A-N10-carried-final-board-r2,40,0.8356,0.8262,0.8442,0.8863,0.8764,0.8959,0.7904,0.7776,0.8024,0.693,0.6785,0.7075,0.6792,0.9661,0.693,0.6792,0.9661,sparse_cross_grid,False,0.6565975881044375,8541,zero_fraction_heuristic,
A-N10-carried-final-board-r2,45,0.8385,0.8294,0.8471,0.8894,0.8798,0.8988,0.7931,0.7805,0.8052,0.693,0.6785,0.7075,0.6792,0.9661,0.693,0.6792,0.9661,sparse_cross_grid,False,0.6565975881044375,8541,zero_fraction_heuristic,
A-N10-carried-final-board-r2,50,0.8391,0.8302,0.8478,0.8901,0.8805,0.8995,0.7937,0.7812,0.8059,0.693,0.6785,0.7075,0.6792,0.9661,0.693,0.6792,0.9661,sparse_cross_grid,False,0.6565975881044375,8541,zero_fraction_heuristic,
A-N10-carried-final-board-r2,75,0.8413,0.8324,0.8499,0.8923,0.8827,0.9017,0.7957,0.7831,0.8077,0.693,0.6785,0.7075,0.6792,0.9661,0.693,0.6792,0.9661,sparse_cross_grid,False,0.6565975881044375,8541,zero_fraction_heuristic,
A-N10-carried-final-board-r2,100,0.8425,0.8337,0.851,0.8936,0.8843,0.903,0.7969,0.7843,0.8089,0.693,0.6785,0.7075,0.6792,0.9661,0.693,0.6792,0.9661,sparse_cross_grid,False,0.6565975881044375,8541,zero_fraction_heuristic,
A-N10-carried-final-board-r2,125,0.8431,0.8344,0.8515,0.8943,0.885,0.9037,0.7975,0.785,0.8095,0.693,0.6785,0.7075,0.6792,0.9661,0.693,0.6792,0.9661,sparse_cross_grid,False,0.6565975881044375,8541,zero_fraction_heuristic,
A-N10-carried-final-board-r2,150,0.8438,0.835,0.8522,0.895,0.8857,0.9044,0.7981,0.7855,0.8101,0.693,0.6785,0.7075,0.6792,0.9661,0.693,0.6792,0.9661,sparse_cross_grid,False,0.6565975881044375,8541,zero_fraction_heuristic,
