label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
ARM1-N1-oracle-final-board-r2,5,0.2053,0.1937,0.2168,0.2014,0.1901,0.213,0.2094,0.1973,0.2216,0.7246,0.7109,0.7384,0.7053,0.9735,0.7246,0.7053,0.9735,sparse_cross_grid,False,0.6494555672637864,8541,zero_fraction_heuristic,
ARM1-N1-oracle-final-board-r2,10,0.4468,0.4331,0.4613,0.4382,0.424,0.4529,0.4558,0.4407,0.4715,0.7246,0.7109,0.7384,0.7053,0.9735,0.7246,0.7053,0.9735,sparse_cross_grid,False,0.6533192834562698,8541,zero_fraction_heuristic,
ARM1-N1-oracle-final-board-r2,15,0.6379,0.6245,0.651,0.6256,0.6114,0.6399,0.6507,0.6359,0.6651,0.7246,0.7109,0.7384,0.7053,0.9735,0.7246,0.7053,0.9735,sparse_cross_grid,False,0.6568317527221637,8541,zero_fraction_heuristic,
ARM1-N1-oracle-final-board-r2,20,0.7481,0.7367,0.7591,0.7337,0.7206,0.7461,0.7631,0.7495,0.7758,0.7246,0.7109,0.7384,0.7053,0.9735,0.7246,0.7053,0.9735,sparse_cross_grid,False,0.6596417281348789,8541,zero_fraction_heuristic,
ARM1-N1-oracle-final-board-r2,25,0.8022,0.7925,0.8116,0.7867,0.775,0.7981,0.8183,0.8059,0.8299,0.7246,0.7109,0.7384,0.7053,0.9735,0.7246,0.7053,0.9735,sparse_cross_grid,False,0.6611637981500995,8541,zero_fraction_heuristic,
ARM1-N1-oracle-final-board-r2,30,0.8209,0.812,0.8297,0.8051,0.7936,0.8157,0.8374,0.8258,0.8489,0.7246,0.7109,0.7384,0.7053,0.9735,0.7246,0.7053,0.9735,sparse_cross_grid,False,0.6617492096944152,8541,zero_fraction_heuristic,
ARM1-N1-oracle-final-board-r2,35,0.8329,0.8244,0.8412,0.8168,0.8059,0.8273,0.8495,0.8384,0.8605,0.7246,0.7109,0.7384,0.7053,0.9735,0.7246,0.7053,0.9735,sparse_cross_grid,False,0.6621004566210046,8541,zero_fraction_heuristic,
ARM1-N1-oracle-final-board-r2,40,0.8368,0.8284,0.845,0.8207,0.8098,0.831,0.8535,0.8426,0.8645,0.7246,0.7109,0.7384,0.7053,0.9735,0.7246,0.7053,0.9735,sparse_cross_grid,False,0.6621004566210046,8541,zero_fraction_heuristic,
ARM1-N1-oracle-final-board-r2,45,0.8399,0.8317,0.8479,0.8237,0.8129,0.8338,0.8567,0.8459,0.8676,0.7246,0.7109,0.7384,0.7053,0.9735,0.7246,0.7053,0.9735,sparse_cross_grid,False,0.6621004566210046,8541,zero_fraction_heuristic,
ARM1-N1-oracle-final-board-r2,50,0.8413,0.8332,0.8492,0.8251,0.8144,0.8351,0.8581,0.8474,0.8689,0.7246,0.7109,0.7384,0.7053,0.9735,0.7246,0.7053,0.9735,sparse_cross_grid,False,0.6621004566210046,8541,zero_fraction_heuristic,
ARM1-N1-oracle-final-board-r2,75,0.8426,0.8345,0.8504,0.8264,0.8156,0.8365,0.8595,0.8487,0.8702,0.7246,0.7109,0.7384,0.7053,0.9735,0.7246,0.7053,0.9735,sparse_cross_grid,False,0.6621004566210046,8541,zero_fraction_heuristic,
ARM1-N1-oracle-final-board-r2,100,0.8444,0.8364,0.8522,0.8281,0.8173,0.8383,0.8613,0.8504,0.872,0.7246,0.7109,0.7384,0.7053,0.9735,0.7246,0.7053,0.9735,sparse_cross_grid,False,0.6621004566210046,8541,zero_fraction_heuristic,
ARM1-N1-oracle-final-board-r2,125,0.8452,0.8371,0.8529,0.8289,0.818,0.839,0.8621,0.8512,0.8728,0.7246,0.7109,0.7384,0.7053,0.9735,0.7246,0.7053,0.9735,sparse_cross_grid,False,0.6621004566210046,8541,zero_fraction_heuristic,
ARM1-N1-oracle-final-board-r2,150,0.8461,0.8383,0.8538,0.8299,0.8192,0.84,0.8631,0.8522,0.8736,0.7246,0.7109,0.7384,0.7053,0.9735,0.7246,0.7053,0.9735,sparse_cross_grid,False,0.6621004566210046,8541,zero_fraction_heuristic,
