label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
ARM1-N5-mcc-oracle-final-board-r2,5,0.1948,0.1839,0.206,0.1842,0.1736,0.195,0.2067,0.1949,0.2188,0.7308,0.7175,0.7443,0.6934,0.984,0.7308,0.6934,0.984,sparse_cross_grid,False,0.6568317527221637,8541,zero_fraction_heuristic,
ARM1-N5-mcc-oracle-final-board-r2,10,0.4269,0.4133,0.4407,0.4037,0.39,0.4172,0.453,0.438,0.4685,0.7308,0.7175,0.7443,0.6934,0.984,0.7308,0.6934,0.984,sparse_cross_grid,False,0.659875892752605,8541,zero_fraction_heuristic,
ARM1-N5-mcc-oracle-final-board-r2,15,0.5982,0.5852,0.6106,0.5656,0.5518,0.579,0.6347,0.6199,0.6493,0.7308,0.7175,0.7443,0.6934,0.984,0.7308,0.6934,0.984,sparse_cross_grid,False,0.6639737735628146,8541,zero_fraction_heuristic,
ARM1-N5-mcc-oracle-final-board-r2,20,0.6943,0.683,0.705,0.6565,0.6432,0.6693,0.7367,0.7228,0.7502,0.7308,0.7175,0.7443,0.6934,0.984,0.7308,0.6934,0.984,sparse_cross_grid,False,0.6657300081957617,8541,zero_fraction_heuristic,
ARM1-N5-mcc-oracle-final-board-r2,25,0.742,0.7321,0.7515,0.7017,0.6889,0.7137,0.7874,0.7746,0.7998,0.7308,0.7175,0.7443,0.6934,0.984,0.7308,0.6934,0.984,sparse_cross_grid,False,0.6667837489755298,8541,zero_fraction_heuristic,
ARM1-N5-mcc-oracle-final-board-r2,30,0.7608,0.7512,0.7699,0.7194,0.707,0.7315,0.8073,0.7949,0.8194,0.7308,0.7175,0.7443,0.6934,0.984,0.7308,0.6934,0.984,sparse_cross_grid,False,0.6672520782109823,8541,zero_fraction_heuristic,
ARM1-N5-mcc-oracle-final-board-r2,35,0.771,0.762,0.7797,0.729,0.7166,0.7408,0.8181,0.8061,0.8298,0.7308,0.7175,0.7443,0.6934,0.984,0.7308,0.6934,0.984,sparse_cross_grid,False,0.6677204074464348,8541,zero_fraction_heuristic,
ARM1-N5-mcc-oracle-final-board-r2,40,0.7753,0.7666,0.7839,0.7331,0.7208,0.7448,0.8226,0.8109,0.834,0.7308,0.7175,0.7443,0.6934,0.984,0.7308,0.6934,0.984,sparse_cross_grid,False,0.6677204074464348,8541,zero_fraction_heuristic,
ARM1-N5-mcc-oracle-final-board-r2,45,0.7772,0.7686,0.7857,0.7349,0.7225,0.7466,0.8246,0.8129,0.8361,0.7308,0.7175,0.7443,0.6934,0.984,0.7308,0.6934,0.984,sparse_cross_grid,False,0.6677204074464348,8541,zero_fraction_heuristic,
ARM1-N5-mcc-oracle-final-board-r2,50,0.7787,0.7701,0.7871,0.7363,0.724,0.748,0.8262,0.8146,0.8376,0.7308,0.7175,0.7443,0.6934,0.984,0.7308,0.6934,0.984,sparse_cross_grid,False,0.6677204074464348,8541,zero_fraction_heuristic,
ARM1-N5-mcc-oracle-final-board-r2,75,0.7815,0.773,0.7899,0.7389,0.7268,0.7506,0.8292,0.8176,0.8406,0.7308,0.7175,0.7443,0.6934,0.984,0.7308,0.6934,0.984,sparse_cross_grid,False,0.667837489755298,8541,zero_fraction_heuristic,
ARM1-N5-mcc-oracle-final-board-r2,100,0.7834,0.7749,0.7918,0.7407,0.7287,0.7526,0.8312,0.8195,0.8426,0.7308,0.7175,0.7443,0.6934,0.984,0.7308,0.6934,0.984,sparse_cross_grid,False,0.6679545720641611,8541,zero_fraction_heuristic,
ARM1-N5-mcc-oracle-final-board-r2,125,0.7847,0.7762,0.7932,0.742,0.7298,0.7537,0.8326,0.821,0.844,0.7308,0.7175,0.7443,0.6934,0.984,0.7308,0.6934,0.984,sparse_cross_grid,False,0.6679545720641611,8541,zero_fraction_heuristic,
ARM1-N5-mcc-oracle-final-board-r2,150,0.7856,0.7772,0.794,0.7429,0.7306,0.7546,0.8336,0.822,0.845,0.7308,0.7175,0.7443,0.6934,0.984,0.7308,0.6934,0.984,sparse_cross_grid,False,0.6679545720641611,8541,zero_fraction_heuristic,
