label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
ARM2-N1-carried-final-board-r2,5,0.2038,0.1925,0.2151,0.188,0.1775,0.1988,0.2224,0.21,0.2349,0.7073,0.692,0.7222,0.7444,0.9379,0.7073,0.7444,0.9379,sparse_cross_grid,False,0.6256878585645709,8541,zero_fraction_heuristic,
ARM2-N1-carried-final-board-r2,10,0.4484,0.4349,0.4628,0.4137,0.4003,0.4278,0.4894,0.4743,0.5054,0.7073,0.692,0.7222,0.7444,0.9379,0.7073,0.7444,0.9379,sparse_cross_grid,False,0.6295515747570543,8541,zero_fraction_heuristic,
ARM2-N1-carried-final-board-r2,15,0.6399,0.627,0.6531,0.5905,0.5768,0.6039,0.6985,0.6841,0.7129,0.7073,0.692,0.7222,0.7444,0.9379,0.7073,0.7444,0.9379,sparse_cross_grid,False,0.6332982086406744,8541,zero_fraction_heuristic,
ARM2-N1-carried-final-board-r2,20,0.751,0.7397,0.7617,0.6929,0.6797,0.705,0.8196,0.8076,0.8312,0.7073,0.692,0.7222,0.7444,0.9379,0.7073,0.7444,0.9379,sparse_cross_grid,False,0.6363423486711158,8541,zero_fraction_heuristic,
ARM2-N1-carried-final-board-r2,25,0.8054,0.7957,0.8142,0.7431,0.7309,0.7543,0.879,0.8686,0.8887,0.7073,0.692,0.7222,0.7444,0.9379,0.7073,0.7444,0.9379,sparse_cross_grid,False,0.6379815009951997,8541,zero_fraction_heuristic,
ARM2-N1-carried-final-board-r2,30,0.8244,0.8153,0.8325,0.7606,0.7487,0.7714,0.8998,0.8901,0.9086,0.7073,0.692,0.7222,0.7444,0.9379,0.7073,0.7444,0.9379,sparse_cross_grid,False,0.6385669125395153,8541,zero_fraction_heuristic,
ARM2-N1-carried-final-board-r2,35,0.837,0.8286,0.8447,0.7722,0.7605,0.7828,0.9135,0.9045,0.9218,0.7073,0.692,0.7222,0.7444,0.9379,0.7073,0.7444,0.9379,sparse_cross_grid,False,0.6390352417749678,8541,zero_fraction_heuristic,
ARM2-N1-carried-final-board-r2,40,0.841,0.8328,0.8485,0.7759,0.7642,0.7864,0.9179,0.9092,0.926,0.7073,0.692,0.7222,0.7444,0.9379,0.7073,0.7444,0.9379,sparse_cross_grid,False,0.6390352417749678,8541,zero_fraction_heuristic,
ARM2-N1-carried-final-board-r2,45,0.8441,0.8361,0.8515,0.7788,0.7673,0.7893,0.9213,0.9126,0.9292,0.7073,0.692,0.7222,0.7444,0.9379,0.7073,0.7444,0.9379,sparse_cross_grid,False,0.6390352417749678,8541,zero_fraction_heuristic,
ARM2-N1-carried-final-board-r2,50,0.8459,0.838,0.8532,0.7805,0.7691,0.7908,0.9233,0.9147,0.9311,0.7073,0.692,0.7222,0.7444,0.9379,0.7073,0.7444,0.9379,sparse_cross_grid,False,0.6391523240838309,8541,zero_fraction_heuristic,
ARM2-N1-carried-final-board-r2,75,0.8475,0.8398,0.8548,0.782,0.7707,0.7924,0.9251,0.9165,0.9328,0.7073,0.692,0.7222,0.7444,0.9379,0.7073,0.7444,0.9379,sparse_cross_grid,False,0.6391523240838309,8541,zero_fraction_heuristic,
ARM2-N1-carried-final-board-r2,100,0.8486,0.8409,0.8558,0.783,0.7717,0.7933,0.9263,0.9177,0.9339,0.7073,0.692,0.7222,0.7444,0.9379,0.7073,0.7444,0.9379,sparse_cross_grid,False,0.6391523240838309,8541,zero_fraction_heuristic,
ARM2-N1-carried-final-board-r2,125,0.8497,0.842,0.857,0.784,0.7728,0.7945,0.9275,0.9191,0.9351,0.7073,0.692,0.7222,0.7444,0.9379,0.7073,0.7444,0.9379,sparse_cross_grid,False,0.6391523240838309,8541,zero_fraction_heuristic,
ARM2-N1-carried-final-board-r2,150,0.8501,0.8424,0.8573,0.7844,0.7731,0.7948,0.9279,0.9194,0.9355,0.7073,0.692,0.7222,0.7444,0.9379,0.7073,0.7444,0.9379,sparse_cross_grid,False,0.6391523240838309,8541,zero_fraction_heuristic,
