label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
B-N5-carried-final-board-r2,5,0.1485,0.1386,0.1591,0.1529,0.1429,0.1639,0.1443,0.1345,0.1548,0.701,0.6861,0.7151,0.6976,0.9613,0.701,0.6976,0.9613,sparse_cross_grid,False,0.6413768879522305,8541,zero_fraction_heuristic,
B-N5-carried-final-board-r2,10,0.3881,0.3744,0.4026,0.3997,0.3854,0.4149,0.3772,0.3634,0.3924,0.701,0.6861,0.7151,0.6976,0.9613,0.701,0.6976,0.9613,sparse_cross_grid,False,0.6447722749092613,8541,zero_fraction_heuristic,
B-N5-carried-final-board-r2,15,0.5934,0.5788,0.6075,0.6111,0.596,0.6261,0.5767,0.5613,0.5922,0.701,0.6861,0.7151,0.6976,0.9613,0.701,0.6976,0.9613,sparse_cross_grid,False,0.6487530734106076,8541,zero_fraction_heuristic,
B-N5-carried-final-board-r2,20,0.7209,0.7082,0.7332,0.7424,0.7288,0.7553,0.7007,0.6864,0.7147,0.701,0.6861,0.7151,0.6976,0.9613,0.701,0.6976,0.9613,sparse_cross_grid,False,0.6509776372790071,8541,zero_fraction_heuristic,
B-N5-carried-final-board-r2,25,0.7923,0.7811,0.8023,0.8159,0.8037,0.8269,0.77,0.7567,0.783,0.701,0.6861,0.7151,0.6976,0.9613,0.701,0.6976,0.9613,sparse_cross_grid,False,0.6524997072942278,8541,zero_fraction_heuristic,
B-N5-carried-final-board-r2,30,0.8263,0.8168,0.8353,0.8509,0.8398,0.8611,0.8031,0.7908,0.8151,0.701,0.6861,0.7151,0.6976,0.9613,0.701,0.6976,0.9613,sparse_cross_grid,False,0.6536705303828592,8541,zero_fraction_heuristic,
B-N5-carried-final-board-r2,35,0.8374,0.8284,0.8459,0.8623,0.8518,0.8721,0.8139,0.8019,0.8255,0.701,0.6861,0.7151,0.6976,0.9613,0.701,0.6976,0.9613,sparse_cross_grid,False,0.6541388596183116,8541,zero_fraction_heuristic,
B-N5-carried-final-board-r2,40,0.8468,0.8382,0.855,0.872,0.8616,0.8814,0.823,0.8112,0.8346,0.701,0.6861,0.7151,0.6976,0.9613,0.701,0.6976,0.9613,sparse_cross_grid,False,0.6542559419271748,8541,zero_fraction_heuristic,
B-N5-carried-final-board-r2,45,0.8493,0.8406,0.8573,0.8746,0.8644,0.8838,0.8254,0.8137,0.8369,0.701,0.6861,0.7151,0.6976,0.9613,0.701,0.6976,0.9613,sparse_cross_grid,False,0.6542559419271748,8541,zero_fraction_heuristic,
B-N5-carried-final-board-r2,50,0.8503,0.8418,0.8583,0.8756,0.8656,0.8848,0.8264,0.8147,0.8378,0.701,0.6861,0.7151,0.6976,0.9613,0.701,0.6976,0.9613,sparse_cross_grid,False,0.6542559419271748,8541,zero_fraction_heuristic,
B-N5-carried-final-board-r2,75,0.852,0.8436,0.8599,0.8773,0.8673,0.8864,0.828,0.8164,0.8393,0.701,0.6861,0.7151,0.6976,0.9613,0.701,0.6976,0.9613,sparse_cross_grid,False,0.6542559419271748,8541,zero_fraction_heuristic,
B-N5-carried-final-board-r2,100,0.8532,0.8449,0.8609,0.8786,0.8687,0.8876,0.8292,0.8176,0.8405,0.701,0.6861,0.7151,0.6976,0.9613,0.701,0.6976,0.9613,sparse_cross_grid,False,0.6542559419271748,8541,zero_fraction_heuristic,
B-N5-carried-final-board-r2,125,0.854,0.8458,0.8618,0.8794,0.8695,0.8884,0.83,0.8185,0.8413,0.701,0.6861,0.7151,0.6976,0.9613,0.701,0.6976,0.9613,sparse_cross_grid,False,0.6542559419271748,8541,zero_fraction_heuristic,
B-N5-carried-final-board-r2,150,0.8546,0.8463,0.8623,0.8801,0.8702,0.8891,0.8306,0.819,0.8418,0.701,0.6861,0.7151,0.6976,0.9613,0.701,0.6976,0.9613,sparse_cross_grid,False,0.6542559419271748,8541,zero_fraction_heuristic,
