label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
FOURTH-N1-carried-final-board-r2,5,0.143,0.1334,0.1531,0.1387,0.1293,0.1485,0.1475,0.1374,0.158,0.7466,0.734,0.7592,0.7002,0.991,0.7466,0.7002,0.991,sparse_cross_grid,False,0.6615150450766889,8541,zero_fraction_heuristic,
FOURTH-N1-carried-final-board-r2,10,0.3783,0.3647,0.392,0.3671,0.3536,0.3808,0.3902,0.3756,0.405,0.7466,0.734,0.7592,0.7002,0.991,0.7466,0.7002,0.991,sparse_cross_grid,False,0.664325020489404,8541,zero_fraction_heuristic,
FOURTH-N1-carried-final-board-r2,15,0.5777,0.5643,0.591,0.5606,0.5469,0.5745,0.5959,0.581,0.6108,0.7466,0.734,0.7592,0.7002,0.991,0.7466,0.7002,0.991,sparse_cross_grid,False,0.6674862428287086,8541,zero_fraction_heuristic,
FOURTH-N1-carried-final-board-r2,20,0.7021,0.69,0.7137,0.6813,0.6681,0.6941,0.7242,0.7105,0.7373,0.7466,0.734,0.7592,0.7002,0.991,0.7466,0.7002,0.991,sparse_cross_grid,False,0.6701791359325606,8541,zero_fraction_heuristic,
FOURTH-N1-carried-final-board-r2,25,0.7682,0.7576,0.7783,0.7454,0.7328,0.7571,0.7923,0.7798,0.8044,0.7466,0.734,0.7592,0.7002,0.991,0.7466,0.7002,0.991,sparse_cross_grid,False,0.672286617492097,8541,zero_fraction_heuristic,
FOURTH-N1-carried-final-board-r2,30,0.8039,0.7947,0.8129,0.7801,0.7687,0.7911,0.8292,0.8173,0.8403,0.7466,0.734,0.7592,0.7002,0.991,0.7466,0.7002,0.991,sparse_cross_grid,False,0.6733403582718651,8541,zero_fraction_heuristic,
FOURTH-N1-carried-final-board-r2,35,0.8211,0.8126,0.8294,0.7968,0.7856,0.8072,0.847,0.8358,0.8578,0.7466,0.734,0.7592,0.7002,0.991,0.7466,0.7002,0.991,sparse_cross_grid,False,0.6742770167427702,8541,zero_fraction_heuristic,
FOURTH-N1-carried-final-board-r2,40,0.8296,0.8211,0.8375,0.805,0.7939,0.8155,0.8557,0.8449,0.8661,0.7466,0.734,0.7592,0.7002,0.991,0.7466,0.7002,0.991,sparse_cross_grid,False,0.6742770167427702,8541,zero_fraction_heuristic,
FOURTH-N1-carried-final-board-r2,45,0.8319,0.8236,0.8398,0.8073,0.7962,0.8175,0.8581,0.8474,0.8684,0.7466,0.734,0.7592,0.7002,0.991,0.7466,0.7002,0.991,sparse_cross_grid,False,0.6742770167427702,8541,zero_fraction_heuristic,
FOURTH-N1-carried-final-board-r2,50,0.8348,0.8269,0.8425,0.8101,0.7992,0.8203,0.8611,0.8505,0.8712,0.7466,0.734,0.7592,0.7002,0.991,0.7466,0.7002,0.991,sparse_cross_grid,False,0.6742770167427702,8541,zero_fraction_heuristic,
FOURTH-N1-carried-final-board-r2,75,0.8393,0.8315,0.8467,0.8144,0.8036,0.8244,0.8657,0.8552,0.8757,0.7466,0.734,0.7592,0.7002,0.991,0.7466,0.7002,0.991,sparse_cross_grid,False,0.6743940990516333,8541,zero_fraction_heuristic,
FOURTH-N1-carried-final-board-r2,100,0.84,0.8323,0.8474,0.8151,0.8043,0.8251,0.8665,0.8561,0.8765,0.7466,0.734,0.7592,0.7002,0.991,0.7466,0.7002,0.991,sparse_cross_grid,False,0.6743940990516333,8541,zero_fraction_heuristic,
FOURTH-N1-carried-final-board-r2,125,0.8406,0.833,0.848,0.8157,0.8048,0.8257,0.8671,0.8568,0.8772,0.7466,0.734,0.7592,0.7002,0.991,0.7466,0.7002,0.991,sparse_cross_grid,False,0.6743940990516333,8541,zero_fraction_heuristic,
FOURTH-N1-carried-final-board-r2,150,0.8425,0.8351,0.8499,0.8176,0.8069,0.8274,0.8691,0.8588,0.8792,0.7466,0.734,0.7592,0.7002,0.991,0.7466,0.7002,0.991,sparse_cross_grid,False,0.6743940990516333,8541,zero_fraction_heuristic,
