label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
FOURTH-N3-mcc-oracle-final-board-r2,5,0.1417,0.1331,0.1514,0.1273,0.1194,0.1361,0.1598,0.15,0.1708,0.7514,0.7388,0.764,0.7098,0.9892,0.7514,0.7098,0.9892,sparse_cross_grid,False,0.6592904812082895,8541,zero_fraction_heuristic,
FOURTH-N3-mcc-oracle-final-board-r2,10,0.3604,0.3479,0.3732,0.3238,0.3119,0.3358,0.4063,0.3922,0.4213,0.7514,0.7388,0.764,0.7098,0.9892,0.7514,0.7098,0.9892,sparse_cross_grid,False,0.6625687858564571,8541,zero_fraction_heuristic,
FOURTH-N3-mcc-oracle-final-board-r2,15,0.555,0.5426,0.5677,0.4986,0.4857,0.5113,0.6257,0.6112,0.6407,0.7514,0.7388,0.764,0.7098,0.9892,0.7514,0.7098,0.9892,sparse_cross_grid,False,0.6665495843578035,8541,zero_fraction_heuristic,
FOURTH-N3-mcc-oracle-final-board-r2,20,0.6698,0.6587,0.6809,0.6018,0.5894,0.614,0.7553,0.742,0.768,0.7514,0.7388,0.764,0.7098,0.9892,0.7514,0.7098,0.9892,sparse_cross_grid,False,0.6692424774616555,8541,zero_fraction_heuristic,
FOURTH-N3-mcc-oracle-final-board-r2,25,0.7285,0.7186,0.7382,0.6545,0.6427,0.6664,0.8214,0.8097,0.8324,0.7514,0.7388,0.764,0.7098,0.9892,0.7514,0.7098,0.9892,sparse_cross_grid,False,0.6708816297857394,8541,zero_fraction_heuristic,
FOURTH-N3-mcc-oracle-final-board-r2,30,0.7579,0.7489,0.7667,0.6809,0.669,0.6922,0.8545,0.8437,0.865,0.7514,0.7388,0.764,0.7098,0.9892,0.7514,0.7098,0.9892,sparse_cross_grid,False,0.6719353705655076,8541,zero_fraction_heuristic,
FOURTH-N3-mcc-oracle-final-board-r2,35,0.7694,0.7605,0.7779,0.6912,0.6796,0.7025,0.8675,0.8572,0.8776,0.7514,0.7388,0.764,0.7098,0.9892,0.7514,0.7098,0.9892,sparse_cross_grid,False,0.6727549467275494,8541,zero_fraction_heuristic,
FOURTH-N3-mcc-oracle-final-board-r2,40,0.7755,0.7671,0.784,0.6967,0.6853,0.708,0.8745,0.8644,0.8843,0.7514,0.7388,0.764,0.7098,0.9892,0.7514,0.7098,0.9892,sparse_cross_grid,False,0.6729891113452757,8541,zero_fraction_heuristic,
FOURTH-N3-mcc-oracle-final-board-r2,45,0.7785,0.7701,0.7868,0.6994,0.6879,0.7108,0.8778,0.8679,0.8874,0.7514,0.7388,0.764,0.7098,0.9892,0.7514,0.7098,0.9892,sparse_cross_grid,False,0.6729891113452757,8541,zero_fraction_heuristic,
FOURTH-N3-mcc-oracle-final-board-r2,50,0.7798,0.7714,0.7881,0.7005,0.6891,0.7118,0.8792,0.8694,0.8889,0.7514,0.7388,0.764,0.7098,0.9892,0.7514,0.7098,0.9892,sparse_cross_grid,False,0.6729891113452757,8541,zero_fraction_heuristic,
FOURTH-N3-mcc-oracle-final-board-r2,75,0.7835,0.7755,0.7917,0.7039,0.6924,0.715,0.8834,0.8737,0.893,0.7514,0.7388,0.764,0.7098,0.9892,0.7514,0.7098,0.9892,sparse_cross_grid,False,0.6731061936541388,8541,zero_fraction_heuristic,
FOURTH-N3-mcc-oracle-final-board-r2,100,0.7846,0.7765,0.7926,0.7048,0.6935,0.7159,0.8846,0.875,0.8941,0.7514,0.7388,0.764,0.7098,0.9892,0.7514,0.7098,0.9892,sparse_cross_grid,False,0.6731061936541388,8541,zero_fraction_heuristic,
FOURTH-N3-mcc-oracle-final-board-r2,125,0.7858,0.7777,0.7938,0.7059,0.6946,0.717,0.886,0.8764,0.8954,0.7514,0.7388,0.764,0.7098,0.9892,0.7514,0.7098,0.9892,sparse_cross_grid,False,0.6731061936541388,8541,zero_fraction_heuristic,
FOURTH-N3-mcc-oracle-final-board-r2,150,0.787,0.779,0.7951,0.707,0.6958,0.7183,0.8874,0.878,0.8969,0.7514,0.7388,0.764,0.7098,0.9892,0.7514,0.7098,0.9892,sparse_cross_grid,False,0.6731061936541388,8541,zero_fraction_heuristic,
