family,prob_t,min_votes,n_detections,tp,fp,fn,micro_f1_50
A-N3,0.0,1,26035,4530,21505,488,0.2917592503139793
A-N3,0.0,2,16808,4394,12414,624,0.40263905433886193
A-N3,0.0,3,12682,4116,8566,902,0.46508474576271186
A-N3,0.05,1,19602,4515,15087,503,0.36677497969130785
A-N3,0.05,2,13005,4376,8629,642,0.4856017311213449
A-N3,0.05,3,10056,4102,5954,916,0.5442483746848878
A-N3,0.1,1,9855,4460,5395,558,0.5997445034626504
A-N3,0.1,2,7461,4323,3138,695,0.6928439778828431
A-N3,0.1,3,6219,4054,2165,964,0.7215448963246419
A-N3,0.15,1,6054,4284,1770,734,0.7738439306358381
A-N3,0.15,2,4997,4162,835,856,0.8311532700948576
A-N3,0.15,3,4400,3912,488,1106,0.830749628371204
A-N3,0.2,1,5750,4204,1546,814,0.7808320950965825
A-N3,0.2,2,4796,4083,713,935,0.8320766252292645
A-N3,0.2,3,4252,3840,412,1178,0.8284789644012945
A-N3,0.25,1,5146,3956,1190,1062,0.7784336875245966
A-N3,0.25,2,4350,3839,511,1179,0.819598633646456
A-N3,0.25,3,3891,3612,279,1406,0.8108654169940509
A-N3,0.3,1,5145,3956,1189,1062,0.7785102823969301
A-N3,0.3,2,4350,3839,511,1179,0.819598633646456
A-N3,0.3,3,3891,3612,279,1406,0.8108654169940509
A-N3,0.35,1,5109,3939,1170,1079,0.7779204107830552
A-N3,0.35,2,4327,3822,505,1196,0.8179775280898877
A-N3,0.35,3,3872,3598,274,1420,0.8094488188976378
A-N3,0.4,1,5093,3934,1159,1084,0.7781623973889823
A-N3,0.4,2,4315,3815,500,1203,0.8175291974713382
A-N3,0.4,3,3863,3591,272,1427,0.8086927147843711
A-N3,0.5,1,4891,3818,1073,1200,0.7706125744272884
A-N3,0.5,2,4167,3708,459,1310,0.8074033750680457
A-N3,0.5,3,3739,3491,248,1527,0.7973050131323511
A-N3,0.6,1,4890,3817,1073,1201,0.7704884941461446
A-N3,0.6,2,4166,3707,459,1311,0.807273519163763
A-N3,0.6,3,3738,3490,248,1528,0.7971676564641389
A-N3,0.65,1,4888,3816,1072,1202,0.7704421562689279
A-N3,0.65,2,4164,3706,458,1312,0.8072315399695055
A-N3,0.65,3,3736,3489,247,1529,0.7971213159698424
A-N3,0.7,1,4873,3809,1064,1209,0.7701951268830249
A-N3,0.7,2,4153,3700,453,1318,0.8068912877548795
A-N3,0.7,3,3727,3482,245,1536,0.7963407661520868
A-N3,0.75,1,4858,3802,1056,1216,0.7699473471040906
A-N3,0.75,2,4140,3693,447,1325,0.8065079711727451
A-N3,0.75,3,3715,3475,240,1543,0.7958319019809915
A-N3,0.8,1,4734,3720,1014,1298,0.7629204265791631
A-N3,0.8,2,4034,3607,427,1411,0.7969509500662837
A-N3,0.8,3,3626,3395,231,1623,0.7855159648310966
A-N3,0.85,1,4733,3719,1014,1299,0.7627935596349094
A-N3,0.85,2,4033,3606,427,1412,0.7968180311567783
A-N3,0.85,3,3625,3394,231,1624,0.7853754483396967
A-N3,0.9,1,4329,3426,903,1592,0.7330694340430085
A-N3,0.9,2,3693,3317,376,1701,0.7615658362989323
A-N3,0.9,3,3323,3117,206,1901,0.7473923989929266
A-N3,0.95,1,4327,3424,903,1594,0.7327982878544677
A-N3,0.95,2,3691,3315,376,1703,0.7612814330003445
A-N3,0.95,3,3321,3115,206,1903,0.7470919774553305
A-N3,0.98,1,3061,2451,610,2567,0.6067582621611585
A-N3,0.98,2,2585,2316,269,2702,0.6092331974220703
A-N3,0.98,3,2314,2172,142,2846,0.5924713584288052
A-N3,1.0,1,3059,2449,610,2569,0.60641327225455
A-N3,1.0,2,2583,2314,269,2704,0.6088672543086436
A-N3,1.0,3,2312,2170,142,2848,0.592087312414734
