family,prob_t,min_votes,n_detections,tp,fp,fn,micro_f1_50,tile_mcc,tile_tp,tile_tn,tile_fp,tile_fn
B-N10,0.0,1,57482,4796,52686,222,0.153472,0.061372238760886634,3308,486,4526,221
B-N10,0.0,2,34869,4752,30117,266,0.23827312156843083,0.07174727019470935,3282,565,4447,247
B-N10,0.0,3,28698,4716,23982,302,0.27974848736504926,0.08094676402820578,3266,625,4387,263
B-N10,0.0,4,25090,4694,20396,324,0.31181081440148795,0.08914932346945771,3254,676,4336,275
B-N10,0.0,5,22596,4672,17924,346,0.3383790830738031,0.09623501090287134,3232,742,4270,297
B-N10,0.0,6,20522,4641,15881,377,0.3634299138606108,0.10061589189281082,3199,818,4194,330
B-N10,0.0,7,18709,4589,14120,429,0.38681670670544105,0.10646028635933494,3165,902,4110,364
B-N10,0.0,8,17150,4549,12601,469,0.41041140382533386,0.12119399533954277,3136,1016,3996,393
B-N10,0.0,9,15452,4467,10985,551,0.4364435759648265,0.1427876743046905,3099,1179,3833,430
B-N10,0.0,10,13196,4287,8909,731,0.47073679587130773,0.17220284466371166,3014,1472,3540,515
B-N10,0.05,1,42688,4774,37914,244,0.20014253972246676,0.12449167512673998,3244,832,4180,285
B-N10,0.05,2,25762,4728,21034,290,0.30721247563352827,0.1430114781399046,3192,1009,4003,337
B-N10,0.05,3,21468,4690,16778,328,0.35414936192705576,0.16692379947640795,3176,1148,3864,353
B-N10,0.05,4,18897,4668,14229,350,0.39038260505958605,0.1788387853828447,3160,1235,3777,369
B-N10,0.05,5,17124,4646,12478,372,0.4196549543853311,0.18586169856775184,3128,1330,3682,401
B-N10,0.05,6,15634,4617,11017,401,0.44712376525276004,0.19327752557543887,3089,1440,3572,440
B-N10,0.05,7,14313,4565,9748,453,0.4722983808390667,0.2028923916136457,3045,1570,3442,484
B-N10,0.05,8,13198,4526,8672,492,0.4969257795344752,0.22108569949704315,3016,1717,3295,513
B-N10,0.05,9,12006,4445,7561,573,0.5222039473684211,0.2435242363496339,2976,1908,3104,553
B-N10,0.05,10,10391,4268,6123,750,0.5539619702771108,0.2672997065565159,2887,2193,2819,642
B-N10,0.1,1,17236,4698,12538,320,0.42221623078997034,0.34281806496582173,2973,2457,2555,556
B-N10,0.1,2,12457,4650,7807,368,0.5321888412017167,0.3905170590832959,2900,2846,2166,629
B-N10,0.1,3,10736,4615,6121,403,0.5858829503618128,0.41444735124875487,2867,3030,1982,662
B-N10,0.1,4,9725,4591,5134,427,0.6228040425964864,0.4291771025765384,2843,3147,1865,686
B-N10,0.1,5,9046,4573,4473,445,0.6503128555176336,0.4406890368791449,2821,3242,1770,708
B-N10,0.1,6,8475,4544,3931,474,0.6735344252575408,0.44877147362560643,2792,3328,1684,737
B-N10,0.1,7,7952,4491,3461,527,0.692521202775636,0.4576342080730479,2755,3428,1584,774
B-N10,0.1,8,7547,4454,3093,564,0.7089534421010744,0.47108404887556476,2735,3525,1487,794
B-N10,0.1,9,7045,4373,2672,645,0.7250269418884193,0.4811319561459524,2691,3636,1376,838
B-N10,0.1,10,6390,4206,2184,812,0.7373772791023844,0.4965249122030776,2614,3812,1200,915
B-N10,0.15,1,9230,4540,4690,478,0.6372824256035935,0.6650450769615832,2677,4487,525,852
B-N10,0.15,2,7218,4474,2744,544,0.731284733573063,0.6859262504083481,2628,4618,394,901
B-N10,0.15,3,6468,4436,2032,582,0.7724185965523246,0.6914712975550681,2598,4667,345,931
B-N10,0.15,4,6016,4412,1604,606,0.799709987311945,0.6976425113605311,2585,4702,310,944
B-N10,0.15,5,5713,4394,1319,624,0.8189357934954805,0.7031282193636985,2573,4733,279,956
B-N10,0.15,6,5464,4365,1099,653,0.8328563251287923,0.7034492137517675,2557,4748,264,972
B-N10,0.15,7,5223,4314,909,704,0.842495850014647,0.703566914555895,2534,4768,244,995
B-N10,0.15,8,5047,4280,767,738,0.8504719324391455,0.7045148856990974,2519,4784,228,1010
B-N10,0.15,9,4812,4202,610,816,0.8549338758901323,0.7024256733178192,2482,4807,205,1047
B-N10,0.15,10,4505,4046,459,972,0.8497322272393155,0.6977465726075571,2419,4841,171,1110
B-N10,0.2,1,8632,4463,4169,555,0.6539194139194138,0.6958777650815606,2622,4662,350,907
B-N10,0.2,2,6811,4398,2413,620,0.7435962465128074,0.7058832855982444,2579,4738,274,950
