family,prob_t,min_votes,n_detections,tp,fp,fn,micro_f1_50,tile_mcc,tile_tp,tile_tn,tile_fp,tile_fn
FOURTH-N1,0.0,1,24923,4622,20301,396,0.308740523028623,0.08949994249644114,3248,688,4324,281
FOURTH-N1,0.01,1,19555,4616,14939,402,0.37569690310503395,0.14893857605698535,3164,1088,3924,365
FOURTH-N1,0.02,1,13125,4605,8520,413,0.5076337981590696,0.2913311759487066,3015,2096,2916,514
FOURTH-N1,0.05,1,12622,4603,8019,415,0.5218820861678005,0.3102870367451671,2995,2237,2775,534
FOURTH-N1,0.08,1,7123,4581,2542,437,0.7546330615270572,0.6117277731426363,2694,4243,769,835
FOURTH-N1,0.1,1,7122,4581,2541,437,0.7546952224052718,0.6117277731426363,2694,4243,769,835
FOURTH-N1,0.15,1,6923,4578,2345,440,0.7667699522653044,0.6305855315324469,2679,4341,671,850
FOURTH-N1,0.2,1,6709,4577,2132,441,0.7805917967084506,0.6481917545288487,2659,4436,576,870
FOURTH-N1,0.25,1,6682,4576,2106,442,0.7822222222222224,0.6503577882268932,2657,4447,565,872
FOURTH-N1,0.3,1,6650,4576,2074,442,0.784367500857045,0.6537445572341666,2653,4465,547,876
FOURTH-N1,0.35,1,6649,4576,2073,442,0.7844347304362733,0.6539885109544851,2653,4466,546,876
FOURTH-N1,0.4,1,6627,4575,2052,443,0.7857449549162732,0.6554512027523226,2652,4473,539,877
FOURTH-N1,0.45,1,6607,4574,2033,444,0.7869247311827957,0.6581442999190961,2651,4485,527,878
FOURTH-N1,0.55,1,6591,4573,2018,445,0.7878370229993971,0.660356228459731,2651,4494,518,878
FOURTH-N1,0.65,1,6588,4573,2015,445,0.7880406686196794,0.6606023643899658,2651,4495,517,878
FOURTH-N1,0.7,1,6583,4573,2010,445,0.7883803120420654,0.6613412132778949,2651,4498,514,878
FOURTH-N1,0.75,1,6579,4572,2007,446,0.7884797792532552,0.6618341474737952,2651,4500,512,878
FOURTH-N1,0.8,1,6561,4572,1989,446,0.7897055013386303,0.6625764969733966,2649,4505,507,880
FOURTH-N1,0.85,1,6558,4572,1986,446,0.7899101589495509,0.6630706348528158,2649,4507,505,880
FOURTH-N1,0.88,1,6415,4565,1850,453,0.7985655558471092,0.6751399576515618,2635,4569,443,894
FOURTH-N1,0.9,1,6354,4564,1790,454,0.8026732325008794,0.6838146038414512,2632,4606,406,897
FOURTH-N1,0.92,1,6342,4564,1778,454,0.8035211267605634,0.6850938132125749,2632,4611,401,897
FOURTH-N1,0.95,1,6289,4559,1730,459,0.806403113115769,0.6903799888866324,2624,4639,373,905
FOURTH-N1,0.96,1,5337,4324,1013,694,0.8351521004345727,0.7470836550257224,2473,4967,45,1056
FOURTH-N1,0.98,1,5334,4321,1013,697,0.8348145285935086,0.7466442969018087,2471,4967,45,1058
FOURTH-N1,0.99,1,1464,1273,191,3745,0.39278000617093484,0.4324973926132482,996,5011,1,2533
FOURTH-N1,1.0,1,365,322,43,4696,0.11963589076723016,0.22933558771793838,305,5012,0,3224
