R_m,TP,FP,FN,n_ref_student_only,n_reviewer_promoted_at_R,n_ref_extended,precision,precision_CI_lo,precision_CI_hi,recall,recall_CI_lo,recall_CI_hi,F1,F1_CI_lo,F1_CI_hi,MCC,MCC_CI_lo,MCC_CI_hi,tile_TP,tile_TN,tile_FP,tile_FN,sensitivity,specificity
5,420,4485,4326,4746,0,4746,0.0856269113149847,0.07759486153266176,0.09386218875120787,0.08849557522123894,0.08029786218398027,0.09695177939162303,0.08703761268262356,0.07903593893967177,0.09535554728339098,0.6703000738091267,0.6560842632192146,0.6846824483041668,2369,4832,328,1012,0.7006802721088435,0.9364341085271318
10,1347,3558,3399,4746,0,4746,0.2746177370030581,0.2610473988006013,0.288139144596036,0.2838179519595449,0.2698033320618116,0.2978726881580838,0.2791420578178427,0.26568112010364026,0.2924693400835383,0.6703000738091267,0.6560842632192146,0.6846824483041668,2369,4832,328,1012,0.7006802721088435,0.9364341085271318
15,2272,2633,2474,4746,0,4746,0.46320081549439346,0.4480131374118343,0.4790279359224092,0.4787189211967973,0.462814995833044,0.49447080951159705,0.47083203813076363,0.456188652294177,0.48584599696729724,0.6703000738091267,0.6560842632192146,0.6846824483041668,2369,4832,328,1012,0.7006802721088435,0.9364341085271318
20,3038,1867,1708,4746,0,4746,0.6193679918450561,0.6043189632951529,0.634883276072108,0.640117994100295,0.6249193722323396,0.655586184953678,0.6295720650709771,0.6158718662670094,0.6435563788081958,0.6703000738091267,0.6560842632192146,0.6846824483041668,2369,4832,328,1012,0.7006802721088435,0.9364341085271318
25,3466,1439,1280,4746,0,4746,0.7066258919469929,0.6923713706263254,0.7206717656937827,0.730299199325748,0.7160649600692772,0.7441226824528689,0.7182675370427934,0.705943044290784,0.7302997283066103,0.6703000738091267,0.6560842632192146,0.6846824483041668,2369,4832,328,1012,0.7006802721088435,0.9364341085271318
30,3692,1213,1054,4746,0,4746,0.7527013251783894,0.739183236738048,0.7661158267118816,0.7779182469447956,0.7645954765433466,0.7906687168458291,0.7651020619624909,0.7541014063981534,0.7759197897660487,0.6703000738091267,0.6560842632192146,0.6846824483041668,2369,4832,328,1012,0.7006802721088435,0.9364341085271318
35,3810,1095,936,4746,0,4746,0.7767584097859327,0.7636020781508862,0.7898918817505677,0.8027812895069533,0.7903364923887719,0.8147999415652146,0.7895554864780853,0.7793358958120037,0.7996695708100057,0.6703000738091267,0.6560842632192146,0.6846824483041668,2369,4832,328,1012,0.7006802721088435,0.9364341085271318
40,3862,1043,884,4746,0,4746,0.7873598369011213,0.7745093601713468,0.8002920205317141,0.8137378845343447,0.8015551737520414,0.8256080517530645,0.8003315718578385,0.7903981859689256,0.8100988910523044,0.6703000738091267,0.6560842632192146,0.6846824483041668,2369,4832,328,1012,0.7006802721088435,0.9364341085271318
45,3899,1006,847,4746,0,4746,0.7949031600407748,0.7821106177451607,0.8077958244757325,0.8215339233038348,0.8093733502734587,0.8332981240273932,0.8079991710703555,0.7981786120151328,0.8176374895830303,0.6703000738091267,0.6560842632192146,0.6846824483041668,2369,4832,328,1012,0.7006802721088435,0.9364341085271318
50,4266,639,895,4746,415,5161,0.8697247706422019,0.8592652949000837,0.8797989135639076,0.8265839953497385,0.8148791861131581,0.8378115358225554,0.8476058017087225,0.8388377778083633,0.8559468001624682,0.6903302334580523,0.6765278588986013,0.7039649546456184,2462,4782,235,1062,0.6986379114642451,0.9531592585210285
75,4321,584,1019,4746,594,5340,0.8809378185524974,0.8708147829099012,0.8906797686702133,0.8091760299625468,0.797605405260608,0.8204594528992679,0.8435334309419229,0.8349272557464216,0.8517986312021464,0.6896526743754792,0.6759049468335452,0.7033553602345901,2467,4770,230,1074,0.6966958486303304,0.954
100,4348,557,1083,4746,685,5431,0.8864424057084608,0.8763575039558864,0.8961250370427476,0.8005892100902228,0.7888164738395017,0.8119031239438087,0.8413312693498451,0.8327512041607817,0.849557564523077,0.6882678782336406,0.674427263245759,0.7019465865423705,2468,4761,229,1083,0.695015488594762,0.9541082164328657
125,4366,539,1109,4746,729,5475,0.890112130479103,0.8802594232234511,0.8997112192349371,0.7974429223744293,0.7856065701419425,0.8087532609830251,0.841233140655106,0.832666085869773,0.8494498001896024,0.6883438650191405,0.6746069757646949,0.7020322360366994,2470,4758,227,1086,0.6946006749156356,0.9544633901705115
150,4381,524,1128,4746,763,5509,0.8931702344546382,0.8834251623250371,0.9026112087608996,0.7952441459430024,0.7833798544413136,0.8066372283284756,0.8413673900518532,0.8327970034748658,0.8494633868363568,0.6883438650191405,0.6746069757646949,0.7020322360366994,2470,4758,227,1086,0.6946006749156356,0.9544633901705115
