R_m,TP,FP,FN,n_ref_student_only,n_reviewer_promoted_at_R,n_ref_extended,precision,precision_CI_lo,precision_CI_hi,recall,recall_CI_lo,recall_CI_hi,F1,F1_CI_lo,F1_CI_hi,MCC,MCC_CI_lo,MCC_CI_hi,tile_TP,tile_TN,tile_FP,tile_FN,sensitivity,specificity
5,440,3839,4306,4746,0,4746,0.10282776349614396,0.09307405593797266,0.11259690291666853,0.09270965023177413,0.08386959286701134,0.10137299938199212,0.09750692520775624,0.08833875566001705,0.10653258043476978,0.6398474151700064,0.6251133945630072,0.6545938685509469,2190,4879,281,1191,0.64773735581189,0.9455426356589147
10,1364,2915,3382,4746,0,4746,0.31876606683804626,0.30347471990943586,0.33464303073133983,0.28739991571849977,0.2731500324692762,0.30187895426639993,0.3022714681440444,0.2879534149190335,0.3169548819982799,0.6398474151700064,0.6251133945630072,0.6545938685509469,2190,4879,281,1191,0.64773735581189,0.9455426356589147
15,2241,2038,2505,4746,0,4746,0.5237204954428605,0.5072286830900679,0.5410362405723118,0.4721871049304678,0.45571888830725277,0.48865298867829454,0.4966204986149585,0.4811432262807177,0.5123196338018156,0.6398474151700064,0.6251133945630072,0.6545938685509469,2190,4879,281,1191,0.64773735581189,0.9455426356589147
20,2859,1420,1887,4746,0,4746,0.6681467632624445,0.6520049364603611,0.684512677557639,0.6024020227560051,0.5862646474227724,0.6191900722801988,0.6335734072022161,0.6190103787639231,0.6484422018389643,0.6398474151700064,0.6251133945630072,0.6545938685509469,2190,4879,281,1191,0.64773735581189,0.9455426356589147
25,3207,1072,1539,4746,0,4746,0.7494741762093947,0.7346366848361017,0.764264923472352,0.6757269279393173,0.660195945377295,0.6917867206873825,0.7106925207756233,0.6974145248202166,0.723899062502808,0.6398474151700064,0.6251133945630072,0.6545938685509469,2190,4879,281,1191,0.64773735581189,0.9455426356589147
30,3387,892,1359,4746,0,4746,0.7915400794578172,0.7776007102208058,0.8055044897763884,0.713653603034134,0.6985006900459985,0.7289641577590837,0.7505817174515236,0.7382375250647941,0.7624909987747512,0.6398474151700064,0.6251133945630072,0.6545938685509469,2190,4879,281,1191,0.64773735581189,0.9455426356589147
35,3479,800,1267,4746,0,4746,0.813040430007011,0.7997123565825688,0.8262147059503,0.7330383480825958,0.7183004932268787,0.7477497790959478,0.7709695290858725,0.7592362373847622,0.7823557746566041,0.6398474151700064,0.6251133945630072,0.6545938685509469,2190,4879,281,1191,0.64773735581189,0.9455426356589147
40,3517,762,1229,4746,0,4746,0.8219210095816779,0.8087711893475189,0.8351471442213106,0.7410450906026127,0.7264069652065509,0.7556617494286308,0.7793905817174516,0.7680917471124487,0.7906061623572411,0.6398474151700064,0.6251133945630072,0.6545938685509469,2190,4879,281,1191,0.64773735581189,0.9455426356589147
45,3538,741,1208,4746,0,4746,0.826828698293994,0.8138866949003116,0.8399061169819383,0.7454698693636747,0.7307930641929068,0.7600002118195298,0.78404432132964,0.7728427029109046,0.7950766552782811,0.6398474151700064,0.6251133945630072,0.6545938685509469,2190,4879,281,1191,0.64773735581189,0.9455426356589147
50,3836,443,1325,4746,415,5161,0.8964711381163823,0.886167179272171,0.9061999542438801,0.7432668087579927,0.7294664743384345,0.7571049884802892,0.8127118644067797,0.8024859831414385,0.8227383992973025,0.6579582748365398,0.6443213174781679,0.6720739189373354,2274,4820,197,1250,0.6452894438138479,0.9607335060793303
75,3864,415,1476,4746,594,5340,0.903014723066137,0.8929895727069828,0.9124402194667206,0.7235955056179775,0.7098002707226988,0.7373332022397475,0.8034099178708806,0.7930961439934842,0.8134230884375282,0.656486465989809,0.6427661047935295,0.670541855734003,2277,4806,194,1264,0.6430386896356961,0.9612
100,3881,398,1550,4746,685,5431,0.9069876139284879,0.8971230592151503,0.9162127049558214,0.7146013625483336,0.7007726490070586,0.7284246238070387,0.799382080329557,0.7889419137388649,0.8094533933329942,0.6547022812264065,0.6410041882710866,0.6687287431010125,2277,4796,194,1274,0.6412278231484089,0.961122244488978
125,3891,388,1584,4746,729,5475,0.9093246085534004,0.899495055931829,0.9184550370604054,0.7106849315068493,0.6967610439849492,0.7247042485688702,0.7978265327045315,0.7874615918576963,0.8078328218987472,0.6538121600675694,0.6401889978177433,0.6678393866477543,2277,4791,194,1279,0.640326209223847,0.9610832497492477
150,3904,375,1605,4746,763,5509,0.9123627015657864,0.9027968782957182,0.9214269883410497,0.7086585587220912,0.6948694055956572,0.7226832039897862,0.7977114834491214,0.7874256319489584,0.807645025700911,0.6538121600675694,0.6401889978177433,0.6678393866477543,2277,4791,194,1279,0.640326209223847,0.9610832497492477
