threshold,n_accepted,precision,recall,f1,f1_ci_lower,f1_ci_upper,p_ci_lower,p_ci_upper,r_ci_lower,r_ci_upper
0.0,8939,0.4118,0.7717,0.537,0.5229,0.5512,0.3969,0.4266,0.7565,0.7865
0.05,6710,0.5431,0.7639,0.6348,0.6211,0.6486,0.5268,0.56,0.7489,0.7793
0.1,5197,0.6935,0.7556,0.7232,0.7104,0.7361,0.6782,0.7088,0.7408,0.7709
0.15,4047,0.8619,0.7312,0.7912,0.7802,0.8027,0.8501,0.8736,0.7156,0.7467
0.2,3959,0.8714,0.7233,0.7905,0.7794,0.8017,0.8598,0.8828,0.7074,0.7386
0.25,3621,0.8904,0.6759,0.7684,0.7566,0.7814,0.8789,0.9021,0.6605,0.6921
0.3,3621,0.8904,0.6759,0.7684,0.7566,0.7814,0.8789,0.9021,0.6605,0.6921
0.35,3601,0.892,0.6734,0.7674,0.7557,0.7805,0.8802,0.9035,0.6578,0.6898
0.4,3596,0.8924,0.6727,0.7672,0.7555,0.7801,0.8806,0.9038,0.6574,0.6893
0.45,3453,0.8952,0.648,0.7518,0.7397,0.7647,0.8835,0.9068,0.6327,0.6645
0.5,3453,0.8952,0.648,0.7518,0.7397,0.7647,0.8835,0.9068,0.6327,0.6645
0.55,3453,0.8952,0.648,0.7518,0.7397,0.7647,0.8835,0.9068,0.6327,0.6645
0.6,3453,0.8952,0.648,0.7518,0.7397,0.7647,0.8835,0.9068,0.6327,0.6645
0.65,3451,0.8954,0.6478,0.7517,0.7397,0.7646,0.8836,0.907,0.6324,0.6643
0.7,3443,0.8957,0.6465,0.751,0.7389,0.7638,0.884,0.9072,0.6314,0.6631
0.75,3435,0.8967,0.6457,0.7508,0.7387,0.7636,0.8848,0.9085,0.6302,0.6623
0.8,3380,0.897,0.6356,0.744,0.7318,0.757,0.8851,0.909,0.6204,0.6516
0.85,3379,0.897,0.6354,0.7439,0.7317,0.7569,0.8851,0.9089,0.6204,0.6512
0.9,3078,0.9016,0.5818,0.7072,0.6936,0.7208,0.8897,0.9138,0.5649,0.5992
0.95,3065,0.9018,0.5795,0.7056,0.6923,0.7192,0.8897,0.9139,0.563,0.5965
1.0,2268,0.9052,0.4304,0.5834,0.5681,0.5983,0.8913,0.9191,0.415,0.4454
