candidate_id,verifier_probability,human_label,symbol_type,source_tile,map_name,x,y,buffer_metres,timestamp
7,0.2,not_mound,not_mound,K-35-042-3_x2016_y1344.png,K-35-042-3,470511.92283369775,4735142.634226302,50,2026-04-21T06:58:30.157503+00:00
31,0.2,mound,burial_mound,K-35-042-3_x2688_y1680.png,K-35-042-3,474113.70731988654,4733534.687699565,200,2026-04-21T06:58:37.044619+00:00
40,0.2,not_mound,not_mound,K-35-042-3_x3360_y3024.png,K-35-042-3,476598.8137364808,4726704.702767618,50,2026-04-21T06:58:38.371783+00:00
46,0.85,mound,burial_mound,K-35-042-3_x3696_y1344.png,K-35-042-3,477904.69022187917,4733927.055105984,200,2026-04-21T06:52:28.001624+00:00
61,0.15,not_mound,not_mound,K-35-042-3_x3696_y2352.png,K-35-042-3,477819.62986817915,4729655.669919029,50,2026-04-21T07:03:21.282784+00:00
67,0.2,not_mound,not_mound,K-35-042-3_x672_y1344.png,K-35-042-3,463205.58234907914,4734178.3977256855,50,2026-04-21T06:58:40.323625+00:00
84,1.0,mound,burial_mound,K-35-050-4_x1680_y1008.png,K-35-050-4,323106.53237131215,4700775.938550783,75,2026-04-21T06:26:37.407045+00:00
92,0.15,not_mound,not_mound,K-35-042-3_x672_y1680.png,K-35-042-3,464094.62254302186,4732536.444813102,50,2026-04-21T07:03:22.615418+00:00
97,0.2,not_mound,not_mound,K-35-050-4_x1344_y3024.png,K-35-050-4,321382.2932051864,4691026.383484833,50,2026-04-21T06:58:42.432055+00:00
154,0.85,mound,burial_mound,K-35-050-4_x2352_y2016.png,K-35-050-4,328113.37756634067,4697543.18215676,125,2026-04-21T06:52:33.579099+00:00
166,1.0,mound,burial_mound,K-35-050-4_x3024_y1008.png,K-35-050-4,331061.56367937755,4702423.729949675,200,2026-04-21T06:27:06.045289+00:00
237,1.0,mound,burial_mound,K-35-050-4_x672_y336.png,K-35-050-4,319478.0367622047,4704163.861462545,125,2026-04-21T06:27:20.220502+00:00
245,0.75,not_mound,not_mound,K-35-050-4_x336_y2352.png,K-35-050-4,317659.4703848901,4694638.156196182,50,2026-04-21T06:55:34.491939+00:00
286,0.15,not_mound,not_mound,K-35-050-4_x3696_y1680.png,K-35-050-4,334296.72992582835,4698235.76534946,50,2026-04-21T07:03:24.209151+00:00
287,0.2,not_mound,not_mound,K-35-050-4_x3696_y1680.png,K-35-050-4,334387.3473249859,4698214.061786123,50,2026-04-21T06:58:43.825023+00:00
311,0.2,not_mound,not_mound,K-35-051-3_x2016_y3360.png,K-35-051-3,346401.3399477879,4688585.5805546,50,2026-04-21T06:58:45.264535+00:00
347,1.0,mound,burial_mound,K-35-051-3_x1680_y672.png,K-35-051-3,345243.28310748265,4703553.001679169,75,2026-04-21T06:27:28.860671+00:00
348,0.85,mound,bench_mark_on_mound,K-35-051-3_x3024_y2352.png,K-35-051-3,350339.5257091993,4694943.7960007135,100,2026-04-21T06:52:37.228531+00:00
367,1.0,mound,burial_mound,K-35-051-3_x3024_y1344.png,K-35-051-3,352126.74271345965,4698656.55637447,200,2026-04-21T06:27:40.534967+00:00
385,1.0,mound,burial_mound,K-35-051-3_x4032_y2016.png,K-35-051-3,355333.2840596961,4695696.970738536,75,2026-04-21T06:27:47.820134+00:00
388,0.95,mound,burial_mound,K-35-051-3_x3696_y3360.png,K-35-051-3,354743.2328771641,4688618.743797737,100,2026-04-21T06:45:05.590131+00:00
396,0.95,mound,burial_mound,K-35-051-3_x672_y1344.png,K-35-051-3,338721.53371947235,4700364.47477346,75,2026-04-21T06:45:09.441654+00:00
397,0.7,mound,burial_mound,K-35-051-3_x336_y1344.png,K-35-051-3,338625.15665970766,4698647.502302496,75,2026-04-21T06:56:15.189325+00:00
