label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
TH7-k3-r2-gt,5,0.1161,0.1067,0.1258,0.1189,0.1092,0.1288,0.1134,0.1041,0.123,0.6792,0.6639,0.6944,0.6869,0.9521,0.6791,0.6868,0.9521,sparse_cross_grid,False,0.6210045662100456,8541,zero_fraction_heuristic,
TH7-k3-r2-gt,10,0.3356,0.3218,0.3504,0.3437,0.3295,0.359,0.3278,0.3135,0.343,0.6792,0.6639,0.6944,0.6869,0.9521,0.6791,0.6868,0.9521,sparse_cross_grid,False,0.6270928462709284,8541,zero_fraction_heuristic,
TH7-k3-r2-gt,15,0.5349,0.5202,0.5494,0.5478,0.5324,0.5631,0.5225,0.507,0.5381,0.6792,0.6639,0.6944,0.6869,0.9521,0.6791,0.6868,0.9521,sparse_cross_grid,False,0.6354056902002108,8541,zero_fraction_heuristic,
TH7-k3-r2-gt,20,0.672,0.6584,0.6849,0.6883,0.6737,0.7026,0.6564,0.641,0.6713,0.6792,0.6639,0.6944,0.6869,0.9521,0.6791,0.6868,0.9521,sparse_cross_grid,False,0.6410256410256411,8541,zero_fraction_heuristic,
TH7-k3-r2-gt,25,0.7515,0.7399,0.7625,0.7697,0.7568,0.7823,0.7342,0.7202,0.7476,0.6792,0.6639,0.6944,0.6869,0.9521,0.6791,0.6868,0.9521,sparse_cross_grid,False,0.6438356164383562,8541,zero_fraction_heuristic,
TH7-k3-r2-gt,30,0.7997,0.789,0.8095,0.8191,0.807,0.8306,0.7812,0.768,0.7937,0.6792,0.6639,0.6944,0.6869,0.9521,0.6791,0.6868,0.9521,sparse_cross_grid,False,0.6461772626156188,8541,zero_fraction_heuristic,
TH7-k3-r2-gt,35,0.8229,0.8133,0.8322,0.8429,0.8317,0.8538,0.8039,0.791,0.8159,0.6792,0.6639,0.6944,0.6869,0.9521,0.6791,0.6868,0.9521,sparse_cross_grid,False,0.6475822503219764,8541,zero_fraction_heuristic,
TH7-k3-r2-gt,40,0.8313,0.8219,0.8404,0.8514,0.8404,0.8623,0.8121,0.7994,0.824,0.6792,0.6639,0.6944,0.6869,0.9521,0.6791,0.6868,0.9521,sparse_cross_grid,False,0.6476993326308395,8541,zero_fraction_heuristic,
TH7-k3-r2-gt,45,0.8358,0.8265,0.8446,0.856,0.8452,0.8666,0.8165,0.8039,0.8282,0.6792,0.6639,0.6944,0.6869,0.9521,0.6791,0.6868,0.9521,sparse_cross_grid,False,0.6479334972485657,8541,zero_fraction_heuristic,
TH7-k3-r2-gt,50,0.838,0.8287,0.8467,0.8583,0.8475,0.869,0.8187,0.8062,0.8303,0.6792,0.6639,0.6944,0.6869,0.9521,0.6791,0.6868,0.9521,sparse_cross_grid,False,0.6479334972485657,8541,zero_fraction_heuristic,
TH7-k3-r2-gt,75,0.8407,0.8316,0.8494,0.8611,0.8502,0.8715,0.8212,0.8088,0.8328,0.6792,0.6639,0.6944,0.6869,0.9521,0.6791,0.6868,0.9521,sparse_cross_grid,False,0.6482847441751551,8541,zero_fraction_heuristic,
TH7-k3-r2-gt,100,0.8431,0.834,0.8517,0.8636,0.8527,0.8739,0.8236,0.8112,0.8352,0.6792,0.6639,0.6944,0.6869,0.9521,0.6791,0.6868,0.9521,sparse_cross_grid,False,0.6484018264840182,8541,zero_fraction_heuristic,
TH7-k3-r2-gt,125,0.8452,0.8361,0.8537,0.8656,0.8549,0.8759,0.8256,0.8132,0.8372,0.6792,0.6639,0.6944,0.6869,0.9521,0.6791,0.6868,0.9521,sparse_cross_grid,False,0.6484018264840182,8541,zero_fraction_heuristic,
TH7-k3-r2-gt,150,0.846,0.8369,0.8544,0.8665,0.8557,0.8767,0.8264,0.814,0.8379,0.6792,0.6639,0.6944,0.6869,0.9521,0.6791,0.6868,0.9521,sparse_cross_grid,False,0.6485189087928814,8541,zero_fraction_heuristic,
