label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
TM-n10-k5-r2-gt,5,0.1471,0.1366,0.1584,0.1582,0.1469,0.1703,0.1375,0.1274,0.1484,0.6695,0.6543,0.684,0.6532,0.9643,0.6694,0.6531,0.9643,sparse_cross_grid,False,0.6331811263318112,8541,zero_fraction_heuristic,
TM-n10-k5-r2-gt,10,0.3747,0.3602,0.3903,0.4029,0.3875,0.4194,0.3501,0.3352,0.3654,0.6695,0.6543,0.684,0.6532,0.9643,0.6694,0.6531,0.9643,sparse_cross_grid,False,0.6403231471724622,8541,zero_fraction_heuristic,
TM-n10-k5-r2-gt,15,0.5604,0.5453,0.5754,0.6026,0.5867,0.6188,0.5237,0.5077,0.5395,0.6695,0.6543,0.684,0.6532,0.9643,0.6694,0.6531,0.9643,sparse_cross_grid,False,0.6471139210865239,8541,zero_fraction_heuristic,
TM-n10-k5-r2-gt,20,0.6877,0.6734,0.7012,0.7395,0.7248,0.7539,0.6427,0.6265,0.6584,0.6695,0.6543,0.684,0.6532,0.9643,0.6694,0.6531,0.9643,sparse_cross_grid,False,0.6521484603676384,8541,zero_fraction_heuristic,
TM-n10-k5-r2-gt,25,0.7634,0.7508,0.7751,0.8209,0.8082,0.833,0.7134,0.698,0.728,0.6695,0.6543,0.684,0.6532,0.9643,0.6694,0.6531,0.9643,sparse_cross_grid,False,0.6548413534714904,8541,zero_fraction_heuristic,
TM-n10-k5-r2-gt,30,0.7986,0.7872,0.8093,0.8587,0.8472,0.8699,0.7463,0.7315,0.7602,0.6695,0.6543,0.684,0.6532,0.9643,0.6694,0.6531,0.9643,sparse_cross_grid,False,0.6564805057955743,8541,zero_fraction_heuristic,
TM-n10-k5-r2-gt,35,0.8154,0.805,0.8254,0.8769,0.8662,0.8872,0.7621,0.7478,0.7753,0.6695,0.6543,0.684,0.6532,0.9643,0.6694,0.6531,0.9643,sparse_cross_grid,False,0.6574171642664793,8541,zero_fraction_heuristic,
TM-n10-k5-r2-gt,40,0.8225,0.8123,0.832,0.8844,0.874,0.8946,0.7686,0.7545,0.7817,0.6695,0.6543,0.684,0.6532,0.9643,0.6694,0.6531,0.9643,sparse_cross_grid,False,0.6577684111930687,8541,zero_fraction_heuristic,
TM-n10-k5-r2-gt,45,0.8257,0.8158,0.8352,0.8879,0.8775,0.8979,0.7716,0.7576,0.7846,0.6695,0.6543,0.684,0.6532,0.9643,0.6694,0.6531,0.9643,sparse_cross_grid,False,0.658002575810795,8541,zero_fraction_heuristic,
TM-n10-k5-r2-gt,50,0.8274,0.8174,0.8367,0.8897,0.8793,0.8995,0.7732,0.7591,0.7862,0.6695,0.6543,0.684,0.6532,0.9643,0.6694,0.6531,0.9643,sparse_cross_grid,False,0.6581196581196581,8541,zero_fraction_heuristic,
TM-n10-k5-r2-gt,75,0.8287,0.8188,0.8379,0.8911,0.8806,0.9008,0.7744,0.7604,0.7873,0.6695,0.6543,0.684,0.6532,0.9643,0.6694,0.6531,0.9643,sparse_cross_grid,False,0.6581196581196581,8541,zero_fraction_heuristic,
TM-n10-k5-r2-gt,100,0.8293,0.8194,0.8385,0.8918,0.8813,0.9014,0.775,0.761,0.7879,0.6695,0.6543,0.684,0.6532,0.9643,0.6694,0.6531,0.9643,sparse_cross_grid,False,0.6581196581196581,8541,zero_fraction_heuristic,
TM-n10-k5-r2-gt,125,0.8297,0.8198,0.839,0.8922,0.8819,0.9019,0.7754,0.7614,0.7884,0.6695,0.6543,0.684,0.6532,0.9643,0.6694,0.6531,0.9643,sparse_cross_grid,False,0.6581196581196581,8541,zero_fraction_heuristic,
TM-n10-k5-r2-gt,150,0.831,0.8212,0.8401,0.8936,0.8833,0.9032,0.7766,0.7627,0.7896,0.6695,0.6543,0.684,0.6532,0.9643,0.6694,0.6531,0.9643,sparse_cross_grid,False,0.6583538227373844,8541,zero_fraction_heuristic,
