R_m,TP,FP,FN,n_ref_student_only,n_reviewer_promoted_at_R,n_phantom_duplicates_dropped,n_ref_extended,precision,precision_CI_lo,precision_CI_hi,recall,recall_CI_lo,recall_CI_hi,F1,F1_CI_lo,F1_CI_hi,MCC,MCC_CI_lo,MCC_CI_hi,tile_TP,tile_TN,tile_FP,tile_FN,sensitivity,specificity
5,598,4307,4412,4731,279,0,5010,0.12191641182466871,0.11246373501542728,0.13147904386196074,0.11936127744510978,0.10994658369337032,0.12888101440088642,0.12062531517902168,0.11127703946846049,0.1300565880844473,0.6887952828707767,0.674888946457864,0.7021936743265,2459,4779,238,1065,0.6977866061293984,0.952561291608531
10,1657,3248,3353,4731,279,0,5010,0.3378185524974516,0.3236168661300332,0.3516779039386903,0.33073852295409184,0.3165016154019217,0.34503608938294206,0.3342410489157842,0.32057791000547753,0.3479225587197511,0.6887952828707767,0.674888946457864,0.7021936743265,2459,4779,238,1065,0.6977866061293984,0.952561291608531
15,2608,2297,2402,4731,279,0,5010,0.5317023445463812,0.5166734404536099,0.5465599044627104,0.5205588822355289,0.5052650112523126,0.5360207973924355,0.5260716086737266,0.5118853675833248,0.5403833904273196,0.6887952828707767,0.674888946457864,0.7021936743265,2459,4779,238,1065,0.6977866061293984,0.952561291608531
20,3331,1574,1679,4731,279,0,5010,0.6791029561671763,0.6652083219365427,0.6928616631104557,0.664870259481038,0.6502576954235756,0.6795696043780641,0.6719112455874937,0.6590257857046408,0.6847874132561806,0.6887952828707767,0.674888946457864,0.7021936743265,2459,4779,238,1065,0.6977866061293984,0.952561291608531
25,3732,1173,1278,4731,279,0,5010,0.7608562691131499,0.7478869365081111,0.7735156634969229,0.7449101796407186,0.7313574323939409,0.7581597800145649,0.7527987897125569,0.7412893311595332,0.7640013170420684,0.6887952828707767,0.674888946457864,0.7021936743265,2459,4779,238,1065,0.6977866061293984,0.952561291608531
30,3945,960,1065,4731,279,0,5010,0.8042813455657493,0.7922951402617108,0.8159935544591588,0.7874251497005988,0.7745939601825238,0.7997536424207135,0.7957639939485628,0.7854390246737097,0.8057445426061328,0.6887952828707767,0.674888946457864,0.7021936743265,2459,4779,238,1065,0.6977866061293984,0.952561291608531
35,4057,848,953,4731,279,0,5010,0.8271151885830785,0.8156366530848133,0.8383491033775842,0.8097804391217565,0.7976404719056189,0.8214929047990275,0.8183560262228946,0.8088015897094539,0.8275308722633486,0.6887952828707767,0.674888946457864,0.7021936743265,2459,4779,238,1065,0.6977866061293984,0.952561291608531
40,4109,796,901,4731,279,0,5010,0.837716615698267,0.8264577839249347,0.8486700812638683,0.8201596806387226,0.8084329795833037,0.8316567574145042,0.8288451840645488,0.8196439105684098,0.8376489243380911,0.6887952828707767,0.674888946457864,0.7021936743265,2459,4779,238,1065,0.6977866061293984,0.952561291608531
45,4141,764,869,4731,279,0,5010,0.8442405708460754,0.8332323249581404,0.855037638821206,0.8265469061876247,0.8148073836276083,0.8379296733742461,0.8353000504286434,0.8261726008062489,0.8440222020442764,0.6887952828707767,0.674888946457864,0.7021936743265,2459,4779,238,1065,0.6977866061293984,0.952561291608531
50,4161,744,849,4731,279,0,5010,0.8483180428134557,0.8373996671541787,0.8591039784240432,0.8305389221556886,0.8189345248062841,0.8419395747634364,0.8393343419062027,0.8304154122606565,0.8478868455094826,0.6887952828707767,0.674888946457864,0.7021936743265,2459,4779,238,1065,0.6977866061293984,0.952561291608531
75,4182,723,828,4731,279,0,5010,0.8525993883792049,0.8417452856821568,0.8632427926763028,0.8347305389221557,0.823209576898682,0.8458361641242816,0.84357034795764,0.8348517566125531,0.8520273230435965,0.6887952828707767,0.674888946457864,0.7021936743265,2459,4779,238,1065,0.6977866061293984,0.952561291608531
100,4194,711,816,4731,279,0,5010,0.8550458715596331,0.8442317254854191,0.8656280478988393,0.837125748502994,0.8257513873100413,0.8481239420007918,0.8459909228441755,0.8374127304550213,0.8543692571496513,0.6887952828707767,0.674888946457864,0.7021936743265,2459,4779,238,1065,0.6977866061293984,0.952561291608531
125,4203,702,807,4731,279,0,5010,0.8568807339449541,0.8459300281704616,0.8673909237847282,0.8389221556886227,0.827680718691693,0.8497813098116325,0.8478063540090771,0.8391941468828702,0.8560298238190718,0.6887952828707767,0.674888946457864,0.7021936743265,2459,4779,238,1065,0.6977866061293984,0.952561291608531
150,4212,693,798,4731,279,0,5010,0.8587155963302753,0.8477852704825387,0.8692153320483688,0.8407185628742515,0.8295473563262267,0.8515073811144012,0.8496217851739789,0.8411404236970206,0.8577724161230306,0.6887952828707767,0.674888946457864,0.7021936743265,2459,4779,238,1065,0.6977866061293984,0.952561291608531
