item_id,student_label,vlm_label,vlm_probability,map_name,category,x,y,posterior_p_true,latent_truth
0,1,1,1.0,K-35-042-3,matched,467949.43374018534,4739789.2425672375,1.0,1
1,1,1,1.0,K-35-042-3,matched,475200.3600689111,4733954.1500075795,1.0,1
2,1,1,0.95,K-35-042-3,matched,474131.78705109406,4733325.047822695,1.0,1
3,1,1,1.0,K-35-042-3,matched,471913.23500985187,4740670.140927327,1.0,1
4,1,1,0.85,K-35-042-3,matched,474975.9989496921,4741574.176338952,1.0,1
5,1,1,0.95,K-35-042-3,matched,475594.90346877143,4741161.126786773,1.0,1
6,1,1,1.0,K-35-042-3,matched,463761.70566996787,4742328.048168725,1.0,1
7,1,1,1.0,K-35-042-3,matched,471410.92726534203,4732276.433420524,1.0,1
8,1,1,1.0,K-35-042-3,matched,473260.54706303676,4728841.7939448785,1.0,1
9,1,1,0.95,K-35-042-3,matched,471623.2764711977,4725878.8400786435,1.0,1
10,1,1,1.0,K-35-042-3,matched,471525.13216302125,4725567.0107172225,1.0,1
11,1,1,1.0,K-35-042-3,matched,462544.64508066163,4742254.581180256,1.0,1
12,1,1,1.0,K-35-042-3,matched,477900.4137411779,4734104.090596268,1.0,1
13,1,0,0.0,K-35-042-3,student_only,462577.43246416026,4742015.149192861,1.0,1
14,1,0,0.0,K-35-042-3,student_only,473627.68566049956,4742088.299883381,1.0,1
15,1,0,0.0,K-35-042-3,student_only,477654.01196866477,4735993.517574452,1.0,1
16,1,0,0.0,K-35-042-3,student_only,466440.16894194135,4731621.483272956,1.0,1
17,1,0,0.0,K-35-042-3,student_only,466477.4460256086,4726719.319325663,1.0,1
18,0,1,0.2,K-35-042-3,vlm_only,473668.05023527273,4734482.034556808,0.2914157274285069,0
19,0,1,0.15,K-35-042-3,vlm_only,477815.2788940846,4729652.13046579,0.2914157274285069,0
20,0,1,0.4,K-35-042-3,vlm_only,466275.8986206138,4731605.769193749,0.2914157274285069,0
21,0,1,0.95,K-35-042-3,vlm_only,477833.4153284696,4727160.248246107,0.2914157274285069,0
22,1,1,0.85,K-35-050-4,matched,326343.16316834337,4704199.816826731,1.0,1
23,1,1,0.85,K-35-050-4,matched,325231.40058321215,4695690.442335113,1.0,1
24,1,1,0.95,K-35-050-4,matched,324877.985206321,4694983.72041179,1.0,1
