order_index,tile_name,map_name,tier,minx,miny,maxx,maxy,px_m,source_tile,source_position,gt_id,gt_m,edge_m_source,edge_m_here
0,K-35-050-4_x1344_y1008.png,K-35-050-4,final-check,321235.7229894721,4700726.164971956,323160.1648726215,4702650.606855106,5.0115674040348495,K-35-050-4_x1008_y672.png,3,student:00039,12.8,10.0,134.3
1,K-35-064-1_Sredets_4326_x672_y0.png,K-35-064-1_Sredets_4326,final-check,379022.2036784659,4686234.896991679,380958.5711489185,4688171.264462132,5.042623620970214,K-35-052-3_x336_y3360.png,67,student:00628,8.3,5.0,270.6
2,K-35-063-1_Granit_4326_x1680_y3360.png,K-35-063-1_Granit_4326,final-check,342704.51378928113,4670229.093982133,344644.5421316781,4672169.12232453,5.052157141658729,K-35-063-1_Granit_4326_x1680_y3024.png,180,student:02042,10.1,5.1,237.4
3,K-35-063-1_Granit_4326_x3024_y1344.png,K-35-063-1_Granit_4326,final-check,349494.61298767035,4680414.242779717,351434.6413300673,4682354.271122114,5.052157141658729,K-35-063-1_Granit_4326_x3360_y1344.png,187,student:01880,21.6,0.0,242.5
4,K-35-063-1_Granit_4326_x0_y3360.png,K-35-063-1_Granit_4326,final-check,334216.8897912946,4670229.093982133,336156.91813369154,4672169.12232453,5.052157141658729,K-35-063-1_Granit_4326_x336_y3360.png,204,student:02054,11.3,9.1,233.4
5,K-35-063-2_Chirpan_4326_x3360_y672.png,K-35-063-2_Chirpan_4326,final-check,371884.4031554138,4683297.497577102,373822.5529684809,4685235.647390169,5.047265138195598,K-35-063-2_Chirpan_4326_x3360_y336.png,211,student:02095,29.8,21.2,221.0
6,K-35-063-2_Chirpan_4326_x1344_y1344.png,K-35-063-2_Chirpan_4326,final-check,361709.1166368115,4679905.735404234,363647.26644987863,4681843.885217302,5.047265138195598,K-35-063-2_Chirpan_4326_x1344_y1008.png,218,student:02177,7.5,5.0,237.2
7,K-35-065-1_Radetski_4326_x1344_y672.png,K-35-065-1_Radetski_4326,final-check,423812.374179401,4682126.780850377,425745.07794113917,4684059.484612115,5.0330827128597475,K-35-065-1_Radetski_4326_x1344_y336.png,281,student:02891,4.1,2.5,239.1
8,K-35-066-1_x1680_y336.png,K-35-066-1,final-check,466998.54130401224,4683251.532807669,468925.0684054189,4685178.0599090755,5.016997659913159,K-35-066-1_x1680_y0.png,302,student:03231,19.0,2.5,238.3
9,K-35-067-1_x3696_y2016.png,K-35-067-1,final-check,518413.57636984694,4674758.9957952,520340.0605512884,4676685.479976641,5.016885889170529,K-35-067-1_x3696_y2352.png,352,student:03625,8.8,0.0,240.8
10,K-35-075-1_x336_y1344.png,K-35-075-1,final-check,335489.47779540526,4642969.482215737,337422.1161382575,4644902.120558589,5.032912351177704,K-35-075-1_x336_y1008.png,396,student:03992,12.9,5.0,236.5
11,K-35-077-3_x4032_y672.png,K-35-077-3,final-check,436938.20760779054,4626388.886541999,438873.1665530153,4628323.845487224,5.038955586522813,K-35-077-3_x3696_y1008.png,469,student:04672,8.9,5.0,228.3
12,K-35-077-3_x1680_y1344.png,K-35-077-3,final-check,425086.58406828897,4623002.708387855,427021.5430135137,4624937.66733308,5.038955586522813,K-35-077-3_x1680_y1008.png,473,extension:295,12.3,5.0,236.9
