order_index,tile_name,map_name,tier,verdict,mark_index,x_px,y_px,x_world,y_world,symbol,note,reviewed_at,pass_id
0,K-35-042-3_x672_y0.png,K-35-042-3,census,no_mounds,0,,,,,,,2026-09-06T00:39:29.152150+00:00,20260906T003929152164
0,K-35-042-3_x672_y0.png,K-35-042-3,census,mound,0,60.8,64.3,462557.25,4742063.64,Known (yellow) mound is NOT a mound — GT error,,2026-09-06T00:40:50.070938+00:00,20260906T004050070950
0,K-35-050-4_x3024_y1008.png,K-35-050-4,census,no_mounds,0,,,,,,,2026-09-06T00:44:48.305188+00:00,20260906T004448305212
1,K-35-050-4_x2688_y672.png,K-35-050-4,census,no_mounds,0,,,,,,,2026-09-06T00:45:09.867088+00:00,20260906T004509867101
2,K-35-050-4_x1008_y672.png,K-35-050-4,census,mound,0,362.8,382.0,321370.04,4702420.07,Hairy brown circle,,2026-09-06T00:45:38.596664+00:00,20260906T004538596679
3,K-35-050-4_x2688_y1008.png,K-35-050-4,census,no_mounds,0,,,,,,,2026-09-06T00:45:56.950617+00:00,20260906T004556950628
4,K-35-050-4_x1344_y1008.png,K-35-050-4,census,mound,0,382.5,379.5,323152.65,4700748.72,Hairy brown circle,,2026-09-06T00:46:28.545044+00:00,20260906T004628545055
5,K-35-050-4_x1344_y1344.png,K-35-050-4,census,mound,0,382.6,43.5,323153.14,4700748.72,Hairy brown circle,,2026-09-06T00:47:08.902471+00:00,20260906T004708902483
5,K-35-050-4_x1344_y1344.png,K-35-050-4,census,mound,1,383.0,56.5,323155.15,4700683.57,Hairy brown circle,,2026-09-06T00:47:08.902576+00:00,20260906T004708902579
6,K-35-050-4_x1680_y1008.png,K-35-050-4,census,no_mounds,0,,,,,,,2026-09-06T00:47:18.503077+00:00,20260906T004718503089
7,K-35-050-4_x1680_y1344.png,K-35-050-4,census,no_mounds,0,,,,,,,2026-09-06T00:47:29.948711+00:00,20260906T004729948722
8,K-35-050-4_x2688_y1680.png,K-35-050-4,census,no_mounds,0,,,,,,,2026-09-06T00:47:49.165658+00:00,20260906T004749165676
9,K-35-050-4_x672_y2352.png,K-35-050-4,census,no_mounds,0,,,,,,,2026-09-06T01:05:00.378440+00:00,20260906T010500378453
10,K-35-050-4_x2688_y2688.png,K-35-050-4,census,no_mounds,0,,,,,,,2026-09-06T01:05:05.833899+00:00,20260906T010505833911
11,K-35-050-4_x3024_y2688.png,K-35-050-4,census,no_mounds,0,,,,,,,2026-09-06T01:05:11.735558+00:00,20260906T010511735570
12,K-35-050-4_x1680_y3024.png,K-35-050-4,census,no_mounds,0,,,,,,,2026-09-06T01:05:17.320148+00:00,20260906T010517320158
13,K-35-050-4_x1680_y3360.png,K-35-050-4,census,no_mounds,0,,,,,,,2026-09-06T01:05:23.094680+00:00,20260906T010523094690
14,K-35-051-3_x1680_y336.png,K-35-051-3,census,no_mounds,0,,,,,,,2026-09-06T01:05:39.406574+00:00,20260906T010539406587
15,K-35-051-3_x1680_y672.png,K-35-051-3,census,no_mounds,0,,,,,,,2026-09-06T01:05:53.601756+00:00,20260906T010553601768
16,K-35-051-3_x2016_y336.png,K-35-051-3,census,no_mounds,0,,,,,,,2026-09-06T01:06:02.372135+00:00,20260906T010602372148
17,K-35-051-3_x2016_y672.png,K-35-051-3,census,no_mounds,0,,,,,,,2026-09-06T01:06:08.076254+00:00,20260906T010608076265
18,K-35-051-3_x2352_y1344.png,K-35-051-3,census,no_mounds,0,,,,,,,2026-09-06T01:06:15.246804+00:00,20260906T010615246821
19,K-35-051-3_x336_y1008.png,K-35-051-3,census,no_mounds,0,,,,,,,2026-09-06T01:06:25.514167+00:00,20260906T010625514179
20,K-35-051-3_x336_y1344.png,K-35-051-3,census,no_mounds,0,,,,,,,2026-09-06T01:06:34.215897+00:00,20260906T010634215909
21,K-35-051-3_x672_y1008.png,K-35-051-3,census,no_mounds,0,,,,,,,2026-09-06T01:06:37.534575+00:00,20260906T010637534586
22,K-35-051-3_x672_y1344.png,K-35-051-3,census,no_mounds,0,,,,,,,2026-09-06T01:06:46.612506+00:00,20260906T010646612518
23,K-35-051-3_x1008_y2016.png,K-35-051-3,census,no_mounds,0,,,,,,,2026-09-06T01:06:55.285593+00:00,20260906T010655285605
24,K-35-051-3_x1344_y2016.png,K-35-051-3,census,no_mounds,0,,,,,,,2026-09-06T01:07:41.698917+00:00,20260906T010741698945
25,K-35-051-3_x1008_y2352.png,K-35-051-3,census,no_mounds,0,,,,,,,2026-09-06T01:07:55.944403+00:00,20260906T010755944416
26,K-35-051-3_x1680_y2688.png,K-35-051-3,census,no_mounds,0,,,,,,,2026-09-06T01:08:04.500728+00:00,20260906T010804500736
27,K-35-051-3_x1680_y3024.png,K-35-051-3,census,no_mounds,0,,,,,,,2026-09-06T01:08:13.154505+00:00,20260906T010813154517
28,K-35-050-4_x4032_y3024.png,K-35-050-4,census,no_mounds,0,,,,,,,2026-09-06T01:08:24.085648+00:00,20260906T010824085660
29,K-35-051-3_x0_y3024.png,K-35-051-3,census,no_mounds,0,,,,,,,2026-09-06T01:08:45.084192+00:00,20260906T010845084205
30,K-35-051-3_x1680_y3360.png,K-35-051-3,census,no_mounds,0,,,,,,,2026-09-06T01:08:50.549900+00:00,20260906T010850549911
31,K-35-063-1_Granit_4326_x1680_y0.png,K-35-063-1_Granit_4326,census,no_mounds,0,,,,,,,2026-09-06T01:08:53.892939+00:00,20260906T010853892950
32,K-35-063-1_Granit_4326_x2016_y0.png,K-35-063-1_Granit_4326,census,no_mounds,0,,,,,,,2026-09-06T01:08:58.735202+00:00,20260906T010858735215
33,K-35-051-3_x3360_y3024.png,K-35-051-3,census,no_mounds,0,,,,,,,2026-09-06T01:15:41.913708+00:00,20260906T011541913727
34,K-35-051-3_x3360_y3360.png,K-35-051-3,census,no_mounds,0,,,,,,,2026-09-06T01:16:00.623636+00:00,20260906T011600623649
35,K-35-051-3_x4032_y1680.png,K-35-051-3,census,no_mounds,0,,,,,,,2026-09-06T01:16:03.213817+00:00,20260906T011603213829
36,K-35-051-3_x4032_y2016.png,K-35-051-3,census,no_mounds,0,,,,,,,2026-09-06T01:16:04.401718+00:00,20260906T011604401730
37,K-35-051-4_x0_y1680.png,K-35-051-4,census,no_mounds,0,,,,,,,2026-09-06T01:16:15.124712+00:00,20260906T011615124724
38,K-35-051-4_x2352_y2016.png,K-35-051-4,census,no_mounds,0,,,,,,,2026-09-06T01:16:24.113365+00:00,20260906T011624113376
39,K-35-051-4_x2352_y1680.png,K-35-051-4,census,no_mounds,0,,,,,,,2026-09-06T01:16:31.183508+00:00,20260906T011631183520
40,K-35-051-3_x4032_y2352.png,K-35-051-3,census,no_mounds,0,,,,,,,2026-09-06T01:16:32.290970+00:00,20260906T011632290982
41,K-35-051-4_x0_y2016.png,K-35-051-4,census,no_mounds,0,,,,,,,2026-09-06T01:16:42.270451+00:00,20260906T011642270463
42,K-35-051-4_x0_y2352.png,K-35-051-4,census,no_mounds,0,,,,,,,2026-09-06T01:16:49.565780+00:00,20260906T011649565792
43,K-35-051-3_x4032_y2688.png,K-35-051-3,census,no_mounds,0,,,,,,,2026-09-06T01:16:56.174571+00:00,20260906T011656174582
44,K-35-051-4_x672_y3024.png,K-35-051-4,census,no_mounds,0,,,,,,,2026-09-06T01:17:05.589686+00:00,20260906T011705589698
45,K-35-052-2_x1344_y336.png,K-35-052-2,census,mound,0,310.0,29.5,405436.24,4722684.9,Hairy brown circle,,2026-09-06T01:18:25.719053+00:00,20260906T011825719065
46,K-35-052-2_x1008_y1008.png,K-35-052-2,census,no_mounds,0,,,,,,,2026-09-06T01:18:43.941807+00:00,20260906T011843941818
47,K-35-052-2_x1344_y1008.png,K-35-052-2,census,no_mounds,0,,,,,,,2026-09-06T01:18:49.943840+00:00,20260906T011849943853
48,K-35-052-2_x2352_y2688.png,K-35-052-2,census,no_mounds,0,,,,,,,2026-09-06T01:18:54.350628+00:00,20260906T011854350640
49,K-35-052-2_x1344_y2688.png,K-35-052-2,census,no_mounds,0,,,,,,,2026-09-06T01:18:58.925388+00:00,20260906T011858925400
50,K-35-052-2_x1344_y3024.png,K-35-052-2,census,no_mounds,0,,,,,,,2026-09-06T01:19:05.098572+00:00,20260906T011905098584
51,K-35-052-3_x2688_y1344.png,K-35-052-3,census,no_mounds,0,,,,,,,2026-09-06T01:20:03.292593+00:00,20260906T012003292605
52,K-35-052-3_x3696_y2352.png,K-35-052-3,census,no_mounds,0,,,,,,,2026-09-06T01:20:11.240311+00:00,20260906T012011240323
53,K-35-052-3_x672_y3024.png,K-35-052-3,census,no_mounds,0,,,,,,,2026-09-06T01:20:22.736265+00:00,20260906T012022736284
54,K-35-052-3_x3360_y1008.png,K-35-052-3,census,no_mounds,0,,,,,,,2026-09-06T01:20:54.904676+00:00,20260906T012054904687
55,K-35-052-3_x3696_y2016.png,K-35-052-3,census,no_mounds,0,,,,,,,2026-09-06T01:21:05.042308+00:00,20260906T012105042322
56,K-35-052-3_x672_y2352.png,K-35-052-3,census,no_mounds,0,,,,,,,2026-09-06T01:21:36.939962+00:00,20260906T012136939977
57,K-35-052-3_x0_y2688.png,K-35-052-3,census,no_mounds,0,,,,,,,2026-09-06T01:21:44.462027+00:00,20260906T012144462039
58,K-35-052-3_x336_y2688.png,K-35-052-3,census,no_mounds,0,,,,,,,2026-09-06T01:21:51.017783+00:00,20260906T012151017793
59,K-35-052-3_x2352_y2688.png,K-35-052-3,census,no_mounds,0,,,,,,,2026-09-06T01:22:00.139707+00:00,20260906T012200139719
60,K-35-052-3_x2352_y3024.png,K-35-052-3,census,no_mounds,0,,,,,,,2026-09-06T01:22:11.136596+00:00,20260906T012211136610
61,K-35-052-3_x3696_y2688.png,K-35-052-3,census,no_mounds,0,,,,,,,2026-09-06T01:22:51.194688+00:00,20260906T012251194702
62,K-35-052-3_x3024_y3024.png,K-35-052-3,census,no_mounds,0,,,,,,,2026-09-06T01:23:08.246958+00:00,20260906T012308246968
63,K-35-052-3_x3360_y3024.png,K-35-052-3,census,no_mounds,0,,,,,,,2026-09-06T01:23:53.878159+00:00,20260906T012353878176
64,K-35-052-3_x3360_y3360.png,K-35-052-3,census,no_mounds,0,,,,,,,2026-09-06T01:24:21.510057+00:00,20260906T012421510069
65,K-35-052-3_x672_y3360.png,K-35-052-3,census,no_mounds,0,,,,,,,2026-09-06T01:24:31.695573+00:00,20260906T012431695587
66,K-35-052-3_x336_y3360.png,K-35-052-3,census,mound,0,383,320.0,379894.71,4687900.71,Hairy brown circle,,2026-09-06T01:25:04.825508+00:00,20260906T012504825524
67,K-35-052-3_x336_y3696.png,K-35-052-3,census,no_mounds,0,,,,,,,2026-09-06T01:25:09.705487+00:00,20260906T012509705500
68,K-35-052-3_x672_y3696.png,K-35-052-3,census,no_mounds,0,,,,,,,2026-09-06T01:25:11.527760+00:00,20260906T012511527771
69,K-35-064-1_Sredets_4326_x672_y0.png,K-35-064-1_Sredets_4326,census,no_mounds,0,,,,,,,2026-09-06T01:25:17.338798+00:00,20260906T012517338810
70,K-35-053-1_x2016_y1680.png,K-35-053-1,census,no_mounds,0,,,,,,,2026-09-06T01:25:49.966991+00:00,20260906T012549967003
71,K-35-053-1_x3360_y2688.png,K-35-053-1,census,no_mounds,0,,,,,,,2026-09-06T01:26:05.043602+00:00,20260906T012605043614
72,K-35-053-1_x3360_y3024.png,K-35-053-1,census,no_mounds,0,,,,,,,2026-09-06T01:26:16.766044+00:00,20260906T012616766056
73,K-35-053-1_x3696_y2688.png,K-35-053-1,census,no_mounds,0,,,,,,,2026-09-06T01:26:21.731037+00:00,20260906T012621731048
