label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
gs-v2-consensus-5of5,5,0.276,0.2324,0.3228,0.281,0.235,0.3318,0.2713,0.2265,0.3188,0.5791,0.5032,0.6478,0.7598,0.8178,0.5793,0.7598,0.818,normal,False,0.4784394250513347,487,zero_fraction_heuristic,
gs-v2-consensus-5of5,10,0.6246,0.5764,0.6702,0.6357,0.5733,0.6915,0.6138,0.5624,0.6626,0.5791,0.5032,0.6478,0.7598,0.8178,0.5793,0.7598,0.818,normal,False,0.486652977412731,487,zero_fraction_heuristic,
gs-v2-consensus-5of5,15,0.7415,0.6943,0.7824,0.7548,0.6886,0.8077,0.7287,0.6768,0.7778,0.5791,0.5032,0.6478,0.7598,0.8178,0.5793,0.7598,0.818,normal,False,0.49075975359342916,487,zero_fraction_heuristic,
gs-v2-consensus-5of5,20,0.7649,0.7192,0.804,0.7786,0.7125,0.8301,0.7517,0.7,0.7986,0.5791,0.5032,0.6478,0.7598,0.8178,0.5793,0.7598,0.818,normal,False,0.49075975359342916,487,zero_fraction_heuristic,
gs-v2-consensus-5of5,25,0.7719,0.727,0.8103,0.7857,0.7197,0.8361,0.7586,0.7076,0.8049,0.5791,0.5032,0.6478,0.7598,0.8178,0.5793,0.7598,0.818,normal,False,0.49075975359342916,487,zero_fraction_heuristic,
gs-v2-consensus-5of5,30,0.7813,0.7365,0.8185,0.7952,0.7299,0.8458,0.7678,0.7165,0.812,0.5791,0.5032,0.6478,0.7598,0.8178,0.5793,0.7598,0.818,normal,False,0.49075975359342916,487,zero_fraction_heuristic,
gs-v2-consensus-5of5,35,0.7813,0.7365,0.8185,0.7952,0.7299,0.8458,0.7678,0.7165,0.812,0.5791,0.5032,0.6478,0.7598,0.8178,0.5793,0.7598,0.818,normal,False,0.49075975359342916,487,zero_fraction_heuristic,
gs-v2-consensus-5of5,40,0.7813,0.7365,0.8185,0.7952,0.7299,0.8458,0.7678,0.7165,0.812,0.5791,0.5032,0.6478,0.7598,0.8178,0.5793,0.7598,0.818,normal,False,0.49075975359342916,487,zero_fraction_heuristic,
gs-v2-consensus-5of5,45,0.7813,0.7365,0.8185,0.7952,0.7299,0.8458,0.7678,0.7165,0.812,0.5791,0.5032,0.6478,0.7598,0.8178,0.5793,0.7598,0.818,normal,False,0.49075975359342916,487,zero_fraction_heuristic,
gs-v2-consensus-5of5,50,0.7813,0.7365,0.8185,0.7952,0.7299,0.8458,0.7678,0.7165,0.812,0.5791,0.5032,0.6478,0.7598,0.8178,0.5793,0.7598,0.818,normal,False,0.49075975359342916,487,zero_fraction_heuristic,
