label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles
wbf-gs-v2-detect-vote2plus,5,0.1415,0.1356,0.148,0.0941,0.0897,0.0989,0.2851,0.2747,0.2952,0.1515,0.1336,0.17,0.9127,0.1938,normal,False,0.12320328542094455,487
wbf-gs-v2-detect-vote2plus,10,0.3377,0.3281,0.348,0.2246,0.2166,0.2334,0.6805,0.6697,0.6901,0.1515,0.1336,0.17,0.9127,0.1938,normal,False,0.13141683778234087,487
wbf-gs-v2-detect-vote2plus,15,0.4267,0.416,0.4392,0.2838,0.2746,0.2943,0.8598,0.8515,0.868,0.1515,0.1336,0.17,0.9127,0.1938,normal,False,0.13552361396303902,487
wbf-gs-v2-detect-vote2plus,20,0.4541,0.4426,0.4657,0.302,0.292,0.3124,0.9149,0.9088,0.922,0.1515,0.1336,0.17,0.9127,0.1938,normal,False,0.13552361396303902,487
wbf-gs-v2-detect-vote2plus,25,0.4621,0.4503,0.4734,0.3073,0.2972,0.3175,0.931,0.9253,0.9366,0.1515,0.1336,0.17,0.9127,0.1938,normal,False,0.1375770020533881,487
wbf-gs-v2-detect-vote2plus,30,0.4701,0.4586,0.482,0.3126,0.3022,0.323,0.9471,0.9427,0.9516,0.1515,0.1336,0.17,0.9127,0.1938,normal,False,0.13963039014373715,487
wbf-gs-v2-detect-vote2plus,35,0.4723,0.4606,0.4842,0.3141,0.3038,0.3246,0.9517,0.9475,0.9564,0.1515,0.1336,0.17,0.9127,0.1938,normal,False,0.13963039014373715,487
wbf-gs-v2-detect-vote2plus,40,0.4746,0.4632,0.4865,0.3156,0.3053,0.3261,0.9563,0.9525,0.9606,0.1515,0.1336,0.17,0.9127,0.1938,normal,False,0.14168377823408623,487
wbf-gs-v2-detect-vote2plus,45,0.4758,0.4644,0.4877,0.3164,0.3061,0.3265,0.9586,0.955,0.9631,0.1515,0.1336,0.17,0.9127,0.1938,normal,False,0.14168377823408623,487
wbf-gs-v2-detect-vote2plus,50,0.4758,0.4644,0.4877,0.3164,0.3061,0.3265,0.9586,0.955,0.9631,0.1515,0.1336,0.17,0.9127,0.1938,normal,False,0.14168377823408623,487
