x,y
412434.15075291874,4681940.344237054
412441.61871913786,4681930.512810045
452423.1969689485,4699160.463474449
452403.2588617305,4699164.146083497
446343.6222857721,4696349.960109035
446343.75747882517,4696355.780006649
419731.19513770065,4673383.284340948
419731.9888450656,4673376.217020454
487877.22263271257,4720953.94785082
487889.5191670888,4720965.277044506
327611.82178104017,4661902.967803178
327610.2963292116,4661897.936442189
418599.43259133433,4643982.3230701145
418577.7332216315,4643968.184840445
430626.2145172262,4639682.393822497
430617.05721914815,4639662.850337553
331063.46391991904,4702222.563955236
331058.2680421329,4702221.6153449
443374.4356280512,4644191.904771642
443391.16739403974,4644181.624979846
318519.77331618324,4693884.430970771
318771.5131135931,4693924.424315874
318766.0979971716,4693921.573303582
318502.0982000908,4693892.2055842355
530851.2510041597,4672675.77497922
530850.4059600428,4672677.215844424
347718.39868528483,4648032.804796565
347739.5435959277,4648027.587255952
356301.0232613889,4650469.227987779
357003.5768874816,4649896.682081217
355604.0836650748,4650004.126882206
365766.3056440301,4650866.0881877495
370784.1839849211,4650568.759264827
373605.9084571168,4649402.359466606
372158.0884297499,4649106.391652232
371812.1162351244,4649239.557446504
371640.90862826165,4649669.314598608
355640.3261165074,4649996.260538858
356311.309591801,4650451.010019419
365770.8502960042,4650870.129729654
370789.5402012917,4650574.962951492
373614.0475291335,4649399.500348093
372179.8998005955,4649083.02863713
371825.8912684668,4649211.929229251
371644.23349142994,4649669.561251104
357020.77255138755,4649891.845726502
363607.2784320889,4632133.125948593
363603.29205090896,4632084.132675618
476730.83841899765,4691536.044367002
477009.22096799826,4691414.536574005
476735.5842510038,4691552.384800995
477005.24159199785,4691413.178692001
