candidate_id,verifier_probability,human_label,symbol_type,source_tile,map_name,x,y,buffer_metres,timestamp
0,0.95,mound,bench_mark_on_mound,K-35-050-4_x1344_y3024.png,K-35-050-4,322769.7859799291,4690845.787454296,50.0,2026-04-24T07:12:14.714412+00:00
1,0.2,not_mound,not_mound,K-35-042-3_x2688_y1344.png,K-35-042-3,473668.05023527273,4734482.034556808,50.0,2026-04-24T07:21:12.186071+00:00
2,0.2,not_mound,not_mound,K-35-050-4_x1680_y1008.png,K-35-050-4,324068.5055910902,4701530.542461296,50.0,2026-04-24T07:21:16.067938+00:00
3,0.15,not_mound,not_mound,K-35-042-3_x3696_y2352.png,K-35-042-3,477815.2788940846,4729652.13046579,50.0,2026-04-24T07:33:03.888739+00:00
4,0.4,mound,burial_mound,K-35-042-3_x1344_y2016.png,K-35-042-3,466275.8986206138,4731605.769193749,200.0,2026-04-24T07:19:00.146668+00:00
5,0.95,mound,burial_mound,K-35-042-3_x3696_y2688.png,K-35-042-3,477833.4153284696,4727160.248246107,50.0,2026-04-24T07:12:15.838002+00:00
6,1.0,mound,burial_mound,K-35-050-4_x3696_y3696.png,K-35-050-4,334910.0336445628,4688978.250500925,50.0,2026-04-24T07:05:27.130114+00:00
7,0.15,mound,burial_mound,K-35-051-3_x0_y3024.png,K-35-051-3,335903.1472525997,4691123.2018748,75.0,2026-04-24T07:33:06.887161+00:00
8,1.0,mound,burial_mound,K-35-050-4_x3360_y3024.png,K-35-050-4,332021.2557902749,4690710.398726586,200.0,2026-04-24T07:05:35.267510+00:00
9,0.85,mound,burial_mound,K-35-051-3_x336_y1680.png,K-35-051-3,338635.42459083704,4698657.264279136,50.0,2026-04-24T07:16:18.133163+00:00
10,0.2,not_mound,not_mound,K-35-051-3_x2016_y3360.png,K-35-051-3,345675.124166516,4689710.0438632965,50.0,2026-04-24T07:21:18.028150+00:00
11,0.95,mound,burial_mound,K-35-051-4_x1344_y672.png,K-35-051-4,363183.5038824232,4701467.592736447,50.0,2026-04-24T07:12:17.106967+00:00
12,0.4,not_mound,not_mound,K-35-051-4_x1008_y2016.png,K-35-051-4,361223.74371445033,4695174.428619889,50.0,2026-04-24T07:19:01.712819+00:00
13,0.75,not_mound,not_mound,K-35-051-4_x0_y2016.png,K-35-051-4,356787.9980737567,4696429.192989312,50.0,2026-04-24T07:18:17.889204+00:00
14,0.15,not_mound,not_mound,K-35-051-4_x3696_y2352.png,K-35-051-4,375559.38308450487,4693220.2464174405,50.0,2026-04-24T07:33:09.252632+00:00
15,1.0,mound,bench_mark_on_mound,K-35-051-4_x3696_y3360.png,K-35-051-4,376117.9747674132,4688365.165090363,50.0,2026-04-24T07:05:42.017112+00:00
16,0.85,not_mound,not_mound,K-35-052-2_x0_y2688.png,K-35-052-2,398001.4721296636,4710403.9313706,50.0,2026-04-24T07:16:20.572178+00:00
17,0.95,not_mound,not_mound,K-35-051-4_x336_y2352.png,K-35-051-4,358372.91589152894,4694457.543153116,50.0,2026-04-24T07:12:19.876896+00:00
18,0.2,mound,settlement_mound,K-35-052-2_x2688_y3024.png,K-35-052-2,410767.9918788021,4708204.107468214,50.0,2026-04-24T07:21:21.531495+00:00
19,0.2,not_mound,not_mound,K-35-052-2_x3360_y2352.png,K-35-052-2,415162.5293382136,4712242.639163425,50.0,2026-04-24T07:21:22.805770+00:00
20,0.4,mound,burial_mound,K-35-052-2_x2016_y3024.png,K-35-052-2,407931.4257976249,4708878.636726735,50.0,2026-04-24T07:19:02.924410+00:00
21,0.2,not_mound,not_mound,K-35-052-2_x4032_y672.png,K-35-052-2,417552.4536303903,4720038.225181744,50.0,2026-04-24T07:21:24.220778+00:00
22,1.0,not_mound,not_mound,K-35-052-2_x336_y1680.png,K-35-052-2,399590.1064652229,4715304.78516088,50.0,2026-04-24T07:05:46.403440+00:00
