candidate_id,verifier_probability,human_label,symbol_type,source_tile,map_name,x,y,buffer_metres,timestamp
40,1.0,not_mound,not_mound,K-35-050-4_x1344_y2352.png,K-35-050-4,321576.67036361,4694295.003164018,,2026-06-06T07:33:17.007511+00:00
78,1.0,mound,burial_mound,K-35-051-3_x0_y1344.png,K-35-051-3,336655.8382098699,4699499.118133969,200.0,2026-06-06T07:33:20.830087+00:00
107,0.2,not_mound,not_mound,K-35-051-3_x2688_y1008.png,K-35-051-3,350277.1684929582,4700915.054219565,,2026-06-06T07:38:05.446892+00:00
108,1.0,mound,burial_mound,K-35-051-3_x2688_y1008.png,K-35-051-3,349825.6103858596,4700401.947503516,200.0,2026-06-06T07:33:23.981038+00:00
138,0.15,not_mound,not_mound,K-35-051-4_x3024_y1344.png,K-35-051-4,371835.43873040954,4698275.09488466,,2026-06-06T07:39:55.445342+00:00
143,1.0,not_mound,not_mound,K-35-051-4_x2016_y3024.png,K-35-051-4,366521.29135015,4690352.468451346,,2026-06-06T07:33:25.124634+00:00
171,1.0,mound,burial_mound,K-35-051-3_x1008_y2016.png,K-35-051-3,340604.7934384934,4695662.1041345075,100.0,2026-06-06T07:33:31.464250+00:00
185,1.0,mound,burial_mound,K-35-052-2_x2352_y3360.png,K-35-052-2,409540.14134001575,4707478.185934146,125.0,2026-06-06T07:33:35.589149+00:00
194,0.2,mound,burial_mound,K-35-052-2_x1680_y3696.png,K-35-052-2,406368.087250011,4705927.168112096,100.0,2026-06-06T07:38:09.701923+00:00
203,0.15,mound,burial_mound,K-35-052-2_x2352_y0.png,K-35-052-2,409732.9590157087,4724298.290847827,75.0,2026-06-06T07:39:58.084504+00:00
241,1.0,mound,burial_mound,K-35-052-3_x336_y3024.png,K-35-052-3,378367.2677814091,4689894.322690257,125.0,2026-06-06T07:33:39.104733+00:00
372,1.0,mound,burial_mound,K-35-054-1_Straldzha_4326_x0_y1008.png,K-35-054-1_Straldzha_4326,459146.4452845602,4717039.898714172,75.0,2026-06-06T07:33:41.846401+00:00
417,0.2,mound,trig_point_on_mound,K-35-054-2_Atolov_4326_x1008_y1344.png,K-35-054-2_Atolov_4326,486196.84470820805,4715661.004281358,100.0,2026-06-06T07:38:12.804099+00:00
432,0.85,not_mound,not_mound,K-35-054-2_Atolov_4326_x2016_y1008.png,K-35-054-2_Atolov_4326,490689.1249935844,4716911.176601132,,2026-06-06T07:37:15.872837+00:00
465,1.0,mound,burial_mound,K-35-054-4_Voynika_x1344_y336.png,K-35-054-4_Voynika,486598.14821078436,4701725.30212965,200.0,2026-06-06T07:33:46.539497+00:00
479,1.0,not_mound,not_mound,K-35-054-3_Yambol_x2016_y3696.png,K-35-054-3_Yambol,470486.17977580475,4686833.699746504,,2026-06-06T07:33:47.883644+00:00
539,0.2,not_mound,not_mound,K-35-055-1_x3024_y0.png,K-35-055-1,515252.6142102454,4722384.048981816,,2026-06-06T07:38:15.365445+00:00
562,0.85,mound,burial_mound,K-35-055-2_x2688_y1008.png,K-35-055-2,535194.336655276,4718438.038817292,75.0,2026-06-06T07:37:19.336676+00:00
