label_a,label_b,f1_a,f1_b,delta_f1,p_value_raw,p_value_adj,significant,source_file
"flash-high-image N=10 N=10, 6-of-10","flash-high-image N=5 N=5, 3-of-5",0.811594,0.79915,0.012444,0.2152,0.243682,no,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-image-n-10-n-10-6-of-10-vs-flash-high-image-n-5-n-5-3-of-5.json
"flash-high-image N=10 N=10, 6-of-10","flash-high-text N=10 N=10, 9-of-10",0.811594,0.810624,0.000971,0.9561,0.9561,no,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-image-n-10-n-10-6-of-10-vs-flash-high-text-n-10-n-10-9-of-10.json
"flash-high-image N=10 N=10, 6-of-10","flash-high-text N=5 N=5, 5-of-5",0.811594,0.788235,0.023359,0.2147,0.243682,no,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-image-n-10-n-10-6-of-10-vs-flash-high-text-n-5-n-5-5-of-5.json
"flash-high-image N=10 N=10, 6-of-10","flash-min-image N=10 N=10, 6-of-10",0.811594,0.733202,0.078393,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-image-n-10-n-10-6-of-10-vs-flash-min-image-n-10-n-10-6-of-10.json
"flash-high-image N=10 N=10, 6-of-10","flash-min-image N=5 N=5, 4-of-5",0.811594,0.724426,0.087168,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-image-n-10-n-10-6-of-10-vs-flash-min-image-n-5-n-5-4-of-5.json
"flash-high-image N=10 N=10, 6-of-10","flash-min-text-t07 N=10 N=10, 10-of-10",0.811594,0.641206,0.170388,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-image-n-10-n-10-6-of-10-vs-flash-min-text-t07-n-10-n-10-10-of-10.json
"flash-high-image N=10 N=10, 6-of-10","flash-min-text-t07 N=30 N=30, 29-of-30",0.811594,0.66943,0.142164,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-image-n-10-n-10-6-of-10-vs-flash-min-text-t07-n-30-n-30-29-of-30.json
"flash-high-image N=10 N=10, 6-of-10","flash-min-text-t07 N=5 N=5, 5-of-5",0.811594,0.647059,0.164535,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-image-n-10-n-10-6-of-10-vs-flash-min-text-t07-n-5-n-5-5-of-5.json
"flash-high-image N=10 N=10, 6-of-10",image-baseline--flash-min-vf (t=0.2),0.811594,0.782241,0.029353,0.1008,0.12191,no,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-image-n-10-n-10-6-of-10-vs-image-baseline-flash-min-vf-t-0-2.json
"flash-high-image N=10 N=10, 6-of-10","single-pass-t0 N=10 N=10, 10-of-10",0.811594,0.562641,0.248954,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-image-n-10-n-10-6-of-10-vs-single-pass-t0-n-10-n-10-10-of-10.json
"flash-high-image N=10 N=10, 6-of-10","single-pass-t0 N=5 N=5, 5-of-5",0.811594,0.554113,0.257482,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-image-n-10-n-10-6-of-10-vs-single-pass-t0-n-5-n-5-5-of-5.json
"flash-high-image N=5 N=5, 3-of-5","flash-high-text N=5 N=5, 5-of-5",0.79915,0.788235,0.010915,0.5589,0.58419,no,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-image-n-5-n-5-3-of-5-vs-flash-high-text-n-5-n-5-5-of-5.json
"flash-high-image N=5 N=5, 3-of-5","flash-min-image N=10 N=10, 6-of-10",0.79915,0.733202,0.065948,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-image-n-5-n-5-3-of-5-vs-flash-min-image-n-10-n-10-6-of-10.json
"flash-high-image N=5 N=5, 3-of-5","flash-min-image N=5 N=5, 4-of-5",0.79915,0.724426,0.074724,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-image-n-5-n-5-3-of-5-vs-flash-min-image-n-5-n-5-4-of-5.json
"flash-high-image N=5 N=5, 3-of-5","flash-min-text-t07 N=10 N=10, 10-of-10",0.79915,0.641206,0.157944,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-image-n-5-n-5-3-of-5-vs-flash-min-text-t07-n-10-n-10-10-of-10.json
"flash-high-image N=5 N=5, 3-of-5","flash-min-text-t07 N=30 N=30, 29-of-30",0.79915,0.66943,0.12972,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-image-n-5-n-5-3-of-5-vs-flash-min-text-t07-n-30-n-30-29-of-30.json
"flash-high-image N=5 N=5, 3-of-5","flash-min-text-t07 N=5 N=5, 5-of-5",0.79915,0.647059,0.152091,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-image-n-5-n-5-3-of-5-vs-flash-min-text-t07-n-5-n-5-5-of-5.json
"flash-high-image N=5 N=5, 3-of-5",image-baseline--flash-min-vf (t=0.2),0.79915,0.782241,0.016909,0.3552,0.381633,no,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-image-n-5-n-5-3-of-5-vs-image-baseline-flash-min-vf-t-0-2.json
"flash-high-image N=5 N=5, 3-of-5","single-pass-t0 N=10 N=10, 10-of-10",0.79915,0.562641,0.236509,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-image-n-5-n-5-3-of-5-vs-single-pass-t0-n-10-n-10-10-of-10.json
"flash-high-image N=5 N=5, 3-of-5","single-pass-t0 N=5 N=5, 5-of-5",0.79915,0.554113,0.245037,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-image-n-5-n-5-3-of-5-vs-single-pass-t0-n-5-n-5-5-of-5.json
flash-high-image-3-of-5--flash-min-vf (t=0.15),"flash-high-image N=10 N=10, 6-of-10",0.851064,0.811594,0.03947,0.0052,0.007369,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-image-3-of-5-flash-min-vf-t-0-15-vs-flash-high-image-n-10-n-10-6-of-10.json
flash-high-image-3-of-5--flash-min-vf (t=0.15),"flash-high-image N=5 N=5, 3-of-5",0.851064,0.79915,0.051914,0.0002,0.000332,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-image-3-of-5-flash-min-vf-t-0-15-vs-flash-high-image-n-5-n-5-3-of-5.json
flash-high-image-3-of-5--flash-min-vf (t=0.15),"flash-high-text N=10 N=10, 9-of-10",0.851064,0.810624,0.04044,0.0371,0.047349,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-image-3-of-5-flash-min-vf-t-0-15-vs-flash-high-text-n-10-n-10-9-of-10.json
flash-high-image-3-of-5--flash-min-vf (t=0.15),"flash-high-text N=30 N=30, 26-of-30",0.851064,0.825882,0.025181,0.1704,0.195833,no,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-image-3-of-5-flash-min-vf-t-0-15-vs-flash-high-text-n-30-n-30-26-of-30.json
flash-high-image-3-of-5--flash-min-vf (t=0.15),"flash-high-text N=5 N=5, 5-of-5",0.851064,0.788235,0.062829,0.0008,0.001249,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-image-3-of-5-flash-min-vf-t-0-15-vs-flash-high-text-n-5-n-5-5-of-5.json
flash-high-image-3-of-5--flash-min-vf (t=0.15),"flash-min-image N=10 N=10, 6-of-10",0.851064,0.733202,0.117862,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-image-3-of-5-flash-min-vf-t-0-15-vs-flash-min-image-n-10-n-10-6-of-10.json
flash-high-image-3-of-5--flash-min-vf (t=0.15),"flash-min-image N=5 N=5, 4-of-5",0.851064,0.724426,0.126638,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-image-3-of-5-flash-min-vf-t-0-15-vs-flash-min-image-n-5-n-5-4-of-5.json
flash-high-image-3-of-5--flash-min-vf (t=0.15),"flash-min-text-t07 N=10 N=10, 10-of-10",0.851064,0.641206,0.209858,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-image-3-of-5-flash-min-vf-t-0-15-vs-flash-min-text-t07-n-10-n-10-10-of-10.json
flash-high-image-3-of-5--flash-min-vf (t=0.15),"flash-min-text-t07 N=30 N=30, 29-of-30",0.851064,0.66943,0.181634,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-image-3-of-5-flash-min-vf-t-0-15-vs-flash-min-text-t07-n-30-n-30-29-of-30.json
flash-high-image-3-of-5--flash-min-vf (t=0.15),"flash-min-text-t07 N=5 N=5, 5-of-5",0.851064,0.647059,0.204005,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-image-3-of-5-flash-min-vf-t-0-15-vs-flash-min-text-t07-n-5-n-5-5-of-5.json
flash-high-image-3-of-5--flash-min-vf (t=0.15),image-baseline--flash-min-vf (t=0.2),0.851064,0.782241,0.068823,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-image-3-of-5-flash-min-vf-t-0-15-vs-image-baseline-flash-min-vf-t-0-2.json
flash-high-image-3-of-5--flash-min-vf (t=0.15),"pro-high-image N=5 N=5, 3-of-5",0.851064,0.821192,0.029872,0.1419,0.16639,no,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-image-3-of-5-flash-min-vf-t-0-15-vs-pro-high-image-n-5-n-5-3-of-5.json
flash-high-image-3-of-5--flash-min-vf (t=0.15),"single-pass-t0 N=10 N=10, 10-of-10",0.851064,0.562641,0.288423,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-image-3-of-5-flash-min-vf-t-0-15-vs-single-pass-t0-n-10-n-10-10-of-10.json
