threshold,n_accepted,precision,recall,f1,f1_ci_lower,f1_ci_upper,p_ci_lower,p_ci_upper,r_ci_lower,r_ci_upper
0.0,572,0.3654,0.4805,0.4151,0.3393,0.4826,0.2854,0.4493,0.3971,0.5558
0.05,393,0.5267,0.4759,0.5,0.4225,0.5635,0.4337,0.6166,0.3931,0.5509
0.1,291,0.6942,0.4644,0.5565,0.4791,0.6172,0.613,0.7647,0.3819,0.537
0.15,239,0.8326,0.4575,0.5905,0.508,0.6541,0.7574,0.895,0.3739,0.5287
0.2,233,0.8369,0.4483,0.5838,0.5032,0.6482,0.7639,0.8971,0.3668,0.5188
0.25,224,0.8393,0.4322,0.5706,0.4888,0.6362,0.7704,0.8959,0.3535,0.5036
0.3,224,0.8393,0.4322,0.5706,0.4888,0.6362,0.7704,0.8959,0.3535,0.5036
0.35,223,0.8386,0.4299,0.5684,0.4873,0.633,0.769,0.895,0.3517,0.5
0.4,223,0.8386,0.4299,0.5684,0.4873,0.633,0.769,0.895,0.3517,0.5
0.45,218,0.8486,0.4253,0.5666,0.4849,0.6321,0.7746,0.9076,0.3452,0.4951
0.5,218,0.8486,0.4253,0.5666,0.4849,0.6321,0.7746,0.9076,0.3452,0.4951
0.55,218,0.8486,0.4253,0.5666,0.4849,0.6321,0.7746,0.9076,0.3452,0.4951
0.6,218,0.8486,0.4253,0.5666,0.4849,0.6321,0.7746,0.9076,0.3452,0.4951
0.65,218,0.8486,0.4253,0.5666,0.4849,0.6321,0.7746,0.9076,0.3452,0.4951
0.7,218,0.8486,0.4253,0.5666,0.4849,0.6321,0.7746,0.9076,0.3452,0.4951
0.75,217,0.8525,0.4253,0.5675,0.4857,0.6331,0.7815,0.911,0.3452,0.4951
0.8,217,0.8525,0.4253,0.5675,0.4857,0.6331,0.7815,0.911,0.3452,0.4951
0.85,216,0.8519,0.423,0.5653,0.4839,0.6311,0.7788,0.9104,0.3452,0.4901
0.9,194,0.8763,0.3908,0.5405,0.4626,0.6013,0.8103,0.9326,0.3178,0.4556
0.95,194,0.8763,0.3908,0.5405,0.4626,0.6013,0.8103,0.9326,0.3178,0.4556
1.0,152,0.8882,0.3103,0.46,0.3846,0.5254,0.8069,0.9508,0.2477,0.3714
