threshold,n_accepted,precision,recall,f1,f1_ci_lower,f1_ci_upper,p_ci_lower,p_ci_upper,r_ci_lower,r_ci_upper
0.0,1072,0.3787,0.9333,0.5388,0.4827,0.5908,0.3256,0.4315,0.9087,0.9561
0.05,844,0.4799,0.931,0.6333,0.5783,0.6787,0.4213,0.5333,0.9054,0.9544
0.1,625,0.6448,0.9264,0.7604,0.7226,0.7934,0.5972,0.6912,0.8994,0.9494
0.15,503,0.7674,0.8874,0.823,0.7955,0.8502,0.7274,0.8045,0.86,0.9165
0.2,492,0.7744,0.8759,0.822,0.7935,0.8488,0.7336,0.8096,0.8454,0.9071
0.25,464,0.7888,0.8414,0.8142,0.7866,0.8421,0.7489,0.8275,0.808,0.8758
0.3,464,0.7888,0.8414,0.8142,0.7866,0.8421,0.7489,0.8275,0.808,0.8758
0.35,460,0.7891,0.8345,0.8112,0.7829,0.8402,0.75,0.8283,0.8012,0.871
0.4,460,0.7891,0.8345,0.8112,0.7829,0.8402,0.75,0.8283,0.8012,0.871
0.45,443,0.7923,0.8069,0.7995,0.7703,0.8275,0.752,0.8305,0.7713,0.8438
0.5,443,0.7923,0.8069,0.7995,0.7703,0.8275,0.752,0.8305,0.7713,0.8438
0.55,443,0.7923,0.8069,0.7995,0.7703,0.8275,0.752,0.8305,0.7713,0.8438
0.6,443,0.7923,0.8069,0.7995,0.7703,0.8275,0.752,0.8305,0.7713,0.8438
0.65,443,0.7923,0.8069,0.7995,0.7703,0.8275,0.752,0.8305,0.7713,0.8438
0.7,442,0.7941,0.8069,0.8005,0.7712,0.8288,0.754,0.8329,0.7713,0.8438
0.75,442,0.7941,0.8069,0.8005,0.7712,0.8288,0.754,0.8329,0.7713,0.8438
0.8,439,0.7927,0.8,0.7963,0.7664,0.8253,0.7527,0.8323,0.763,0.8375
0.85,439,0.7927,0.8,0.7963,0.7664,0.8253,0.7527,0.8323,0.763,0.8375
0.9,399,0.8045,0.7379,0.7698,0.7378,0.8021,0.766,0.8425,0.697,0.7803
0.95,396,0.8081,0.7356,0.7702,0.738,0.8014,0.771,0.8445,0.6943,0.7778
1.0,320,0.8313,0.6115,0.7046,0.6686,0.7406,0.7934,0.8671,0.5653,0.6584
