order_index,tile_name,map_name,tier,minx,miny,maxx,maxy,px_m
0,K-35-056-3_x3696_y672.png,K-35-056-3,10pct,559449.5364674543,4700257.670391749,561373.3111847979,4702181.445109093,5.009829993082349
1,K-35-065-2_GManastir_4326_x1680_y2016.png,K-35-065-2_GManastir_4326,10pct,446201.9479802478,4675100.173323161,448132.83454892744,4677031.05989184,5.028350439269919
2,K-35-077-1_x672_y336.png,K-35-077-1,10pct,420217.54695685406,4646592.2818849785,422149.73482314724,4648524.469751271,5.031739235138502
3,K-35-067-3_x2688_y3024.png,K-35-067-3,10pct,513375.97979003383,4651171.468231371,515305.23860831774,4653100.727049654,5.024111505947682
4,K-35-066-3_x2688_y3696.png,K-35-066-3,10pct,471966.9156669226,4647858.914699165,473896.2247552208,4649788.223787463,5.024242417443323
5,K-35-066-2_x3696_y672.png,K-35-066-2,10pct,497763.22023600026,4681475.0942390505,499689.7270016516,4683401.601004702,5.016944702217036
6,K-35-051-4_x3360_y672.png,K-35-051-4,10pct,372531.35333020217,4701441.576366309,374455.494305443,4703365.71734155,5.010783789689715
7,K-35-074-1_x1680_y0.png,K-35-074-1,10pct,300734.3866275344,4650822.124447172,302667.3729272266,4652755.110746863,5.033818488781738
8,K-35-064-1_Sredets_4326_x3024_y672.png,K-35-064-1_Sredets_4326,10pct,390882.45443498803,4682846.253918387,392818.8219054406,4684782.62138884,5.042623620970214
9,K-35-074-4_x672_y1344.png,K-35-074-4,10pct,315941.29644279496,4624964.001100763,317876.87371545756,4626899.578373426,5.040565814225526
10,K-35-074-1_x2688_y3360.png,K-35-074-1,10pct,305808.47566422634,4633908.494324865,307741.4619639185,4635841.480624557,5.033818488781738
11,K-35-054-4_Voynika_x1008_y1344.png,K-35-054-4_Voynika,10pct,484324.64856051543,4696622.684615674,486248.36778333614,4698546.403838495,5.0096854760956075
12,K-35-074-4_x2688_y2688.png,K-35-074-4,10pct,326103.07712427375,4618189.480646444,328038.65439693636,4620125.057919106,5.040565814225526
13,K-35-074-2_x2688_y3024.png,K-35-074-2,10pct,326567.80578385625,4635026.834785709,328500.60787634953,4636959.636878203,5.033338782534581
14,K-35-077-2_x3024_y2352.png,K-35-077-2,10pct,452810.6007408054,4636237.141511653,454742.7271081577,4638169.267879005,5.031579081646669
15,K-35-076-2_x672_y2352.png,K-35-076-2,10pct,399458.6147081362,4636719.775806562,401390.8845197882,4638652.045618214,5.031952634510465
