label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
accepted_t0.15,5,0.172,0.1385,0.2112,0.1948,0.1585,0.2388,0.154,0.1222,0.1915,0.7853,0.7202,0.8394,0.8235,0.9779,0.7856,0.8239,0.978,normal,False,0.4264705882352941,340,zero_fraction_heuristic,
accepted_t0.15,10,0.4269,0.378,0.4769,0.4836,0.4317,0.5373,0.3822,0.3321,0.4319,0.7853,0.7202,0.8394,0.8235,0.9779,0.7856,0.8239,0.978,normal,False,0.4441176470588235,340,zero_fraction_heuristic,
accepted_t0.15,15,0.6321,0.5853,0.6767,0.716,0.6702,0.7591,0.5659,0.5118,0.6173,0.7853,0.7202,0.8394,0.8235,0.9779,0.7856,0.8239,0.978,normal,False,0.45,340,zero_fraction_heuristic,
accepted_t0.15,20,0.7275,0.6835,0.7658,0.8239,0.7836,0.8596,0.6512,0.5959,0.7,0.7853,0.7202,0.8394,0.8235,0.9779,0.7856,0.8239,0.978,normal,False,0.45294117647058824,340,zero_fraction_heuristic,
accepted_t0.15,25,0.7585,0.7157,0.7939,0.8592,0.8214,0.8904,0.679,0.623,0.7271,0.7853,0.7202,0.8394,0.8235,0.9779,0.7856,0.8239,0.978,normal,False,0.45588235294117646,340,zero_fraction_heuristic,
accepted_t0.15,30,0.7855,0.7434,0.8212,0.8897,0.8531,0.9193,0.7032,0.6471,0.7519,0.7853,0.7202,0.8394,0.8235,0.9779,0.7856,0.8239,0.978,normal,False,0.45588235294117646,340,zero_fraction_heuristic,
accepted_t0.15,35,0.8041,0.7654,0.8365,0.9108,0.8793,0.9355,0.7199,0.6638,0.7664,0.7853,0.7202,0.8394,0.8235,0.9779,0.7856,0.8239,0.978,normal,False,0.4588235294117647,340,zero_fraction_heuristic,
accepted_t0.15,40,0.8124,0.7747,0.8438,0.9202,0.8912,0.9428,0.7273,0.6716,0.774,0.7853,0.7202,0.8394,0.8235,0.9779,0.7856,0.8239,0.978,normal,False,0.4588235294117647,340,zero_fraction_heuristic,
accepted_t0.15,45,0.8187,0.7805,0.8491,0.9272,0.9004,0.9488,0.7328,0.6771,0.7796,0.7853,0.7202,0.8394,0.8235,0.9779,0.7856,0.8239,0.978,normal,False,0.4588235294117647,340,zero_fraction_heuristic,
accepted_t0.15,50,0.8228,0.784,0.8536,0.9319,0.9062,0.9527,0.7365,0.6798,0.7841,0.7853,0.7202,0.8394,0.8235,0.9779,0.7856,0.8239,0.978,normal,False,0.4588235294117647,340,zero_fraction_heuristic,
accepted_t0.15,75,0.8352,0.7967,0.8665,0.946,0.9208,0.9643,0.7477,0.6916,0.7958,0.7853,0.7202,0.8394,0.8235,0.9779,0.7856,0.8239,0.978,normal,False,0.4588235294117647,340,zero_fraction_heuristic,
accepted_t0.15,100,0.8373,0.8,0.8678,0.9484,0.9235,0.9663,0.7495,0.6937,0.7965,0.7853,0.7202,0.8394,0.8235,0.9779,0.7856,0.8239,0.978,normal,False,0.4588235294117647,340,zero_fraction_heuristic,
accepted_t0.15,125,0.8394,0.8023,0.8698,0.9507,0.9262,0.9678,0.7514,0.6955,0.7985,0.7853,0.7202,0.8394,0.8235,0.9779,0.7856,0.8239,0.978,normal,False,0.4588235294117647,340,zero_fraction_heuristic,
accepted_t0.15,150,0.8394,0.8023,0.8698,0.9507,0.9262,0.9678,0.7514,0.6955,0.7985,0.7853,0.7202,0.8394,0.8235,0.9779,0.7856,0.8239,0.978,normal,False,0.4588235294117647,340,zero_fraction_heuristic,
