label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles
accepted_t0.1,5,0.2935,0.2668,0.3143,0.3373,0.3079,0.359,0.2597,0.2335,0.281,0.6772,0.6299,0.7164,0.7399,0.9499,normal,False,0.4323529411764706,340
accepted_t0.1,10,0.6184,0.584,0.6499,0.7108,0.6749,0.7394,0.5473,0.509,0.5789,0.6772,0.6299,0.7164,0.7399,0.9499,normal,False,0.45,340
accepted_t0.1,15,0.7505,0.725,0.7804,0.8627,0.8401,0.8837,0.6642,0.6309,0.7023,0.6772,0.6299,0.7164,0.7399,0.9499,normal,False,0.45294117647058824,340
accepted_t0.1,20,0.7925,0.7675,0.819,0.9108,0.8922,0.928,0.7013,0.6665,0.7375,0.6772,0.6299,0.7164,0.7399,0.9499,normal,False,0.45588235294117646,340
accepted_t0.1,25,0.8113,0.7855,0.8364,0.9325,0.9149,0.9468,0.718,0.6821,0.7531,0.6772,0.6299,0.7164,0.7399,0.9499,normal,False,0.45588235294117646,340
accepted_t0.1,30,0.8155,0.7905,0.8383,0.9373,0.9198,0.9507,0.7217,0.685,0.7564,0.6772,0.6299,0.7164,0.7399,0.9499,normal,False,0.45588235294117646,340
accepted_t0.1,35,0.8218,0.7973,0.8447,0.9446,0.9284,0.9567,0.7273,0.6917,0.7631,0.6772,0.6299,0.7164,0.7399,0.9499,normal,False,0.45588235294117646,340
accepted_t0.1,40,0.8239,0.7993,0.849,0.947,0.9314,0.9586,0.7291,0.694,0.7648,0.6772,0.6299,0.7164,0.7399,0.9499,normal,False,0.45588235294117646,340
accepted_t0.1,45,0.826,0.8013,0.8488,0.9494,0.9334,0.961,0.731,0.6946,0.7641,0.6772,0.6299,0.7164,0.7399,0.9499,normal,False,0.45588235294117646,340
accepted_t0.1,50,0.826,0.8013,0.8488,0.9494,0.9334,0.961,0.731,0.6946,0.7641,0.6772,0.6299,0.7164,0.7399,0.9499,normal,False,0.45588235294117646,340
accepted_t0.1,75,0.8281,0.8048,0.8525,0.9518,0.9368,0.9625,0.7328,0.6981,0.7672,0.6772,0.6299,0.7164,0.7399,0.9499,normal,False,0.45588235294117646,340
accepted_t0.1,100,0.8281,0.8048,0.8525,0.9518,0.9368,0.9625,0.7328,0.6981,0.7672,0.6772,0.6299,0.7164,0.7399,0.9499,normal,False,0.45588235294117646,340
accepted_t0.1,125,0.8281,0.8048,0.8525,0.9518,0.9368,0.9625,0.7328,0.6981,0.7672,0.6772,0.6299,0.7164,0.7399,0.9499,normal,False,0.45588235294117646,340
accepted_t0.1,150,0.8302,0.807,0.8538,0.9542,0.9392,0.9652,0.7347,0.6992,0.7693,0.6772,0.6299,0.7164,0.7399,0.9499,normal,False,0.45588235294117646,340
