label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
512-single-image-t0.0,5,0.1643,0.1345,0.1974,0.161,0.1319,0.1941,0.1676,0.136,0.2018,0.8894,0.8328,0.9314,0.9379,0.9583,0.8894,0.9379,0.9584,normal,False,0.0,0,,
512-single-image-t0.0,10,0.3958,0.3504,0.4453,0.388,0.3434,0.4382,0.4038,0.3553,0.4565,0.8894,0.8328,0.9314,0.9379,0.9583,0.8894,0.9379,0.9584,normal,False,0.0,0,,
512-single-image-t0.0,15,0.5818,0.5362,0.6281,0.5704,0.5247,0.6179,0.5937,0.5418,0.6449,0.8894,0.8328,0.9314,0.9379,0.9583,0.8894,0.9379,0.9584,normal,False,0.0,0,,
512-single-image-t0.0,20,0.6739,0.6289,0.7158,0.6607,0.616,0.7035,0.6877,0.6344,0.7368,0.8894,0.8328,0.9314,0.9379,0.9583,0.8894,0.9379,0.9584,normal,False,0.0,0,,
512-single-image-t0.0,25,0.7291,0.6897,0.7659,0.7148,0.6728,0.7539,0.744,0.6977,0.7871,0.8894,0.8328,0.9314,0.9379,0.9583,0.8894,0.9379,0.9584,normal,False,0.0,0,,
512-single-image-t0.0,30,0.7467,0.7088,0.7814,0.732,0.6904,0.7704,0.7619,0.7165,0.8029,0.8894,0.8328,0.9314,0.9379,0.9583,0.8894,0.9379,0.9584,normal,False,0.0,0,,
512-single-image-t0.0,35,0.7685,0.7316,0.8016,0.7534,0.7132,0.7899,0.7842,0.7396,0.8235,0.8894,0.8328,0.9314,0.9379,0.9583,0.8894,0.9379,0.9584,normal,False,0.0,0,,
512-single-image-t0.0,40,0.78,0.7444,0.8124,0.7647,0.7242,0.8007,0.7959,0.752,0.835,0.8894,0.8328,0.9314,0.9379,0.9583,0.8894,0.9379,0.9584,normal,False,0.0,0,,
512-single-image-t0.0,45,0.7879,0.7531,0.8192,0.7724,0.7328,0.8076,0.804,0.7604,0.8425,0.8894,0.8328,0.9314,0.9379,0.9583,0.8894,0.9379,0.9584,normal,False,0.0,0,,
512-single-image-t0.0,50,0.7964,0.7615,0.8287,0.7808,0.7403,0.8165,0.8126,0.7688,0.8517,0.8894,0.8328,0.9314,0.9379,0.9583,0.8894,0.9379,0.9584,normal,False,0.0,0,,
512-single-image-t0.0,75,0.8158,0.7835,0.8449,0.7998,0.7597,0.8334,0.8324,0.7909,0.8683,0.8894,0.8328,0.9314,0.9379,0.9583,0.8894,0.9379,0.9584,normal,False,0.0,0,,
512-single-image-t0.0,100,0.8218,0.7904,0.8501,0.8058,0.7666,0.8394,0.8386,0.7983,0.8731,0.8894,0.8328,0.9314,0.9379,0.9583,0.8894,0.9379,0.9584,normal,False,0.0,0,,
512-single-image-t0.0,125,0.8273,0.7968,0.8543,0.8111,0.7723,0.8444,0.8442,0.8045,0.8774,0.8894,0.8328,0.9314,0.9379,0.9583,0.8894,0.9379,0.9584,normal,False,0.0,0,,
512-single-image-t0.0,150,0.8291,0.7989,0.8556,0.8129,0.7744,0.846,0.846,0.8069,0.8788,0.8894,0.8328,0.9314,0.9379,0.9583,0.8894,0.9379,0.9584,normal,False,0.0,0,,
