family,question,label_a,label_b,f1_a,f1_b,delta_f1,p_value_raw,p_value_adj,significant,source
architecture,N=1 vs consensus (FH text),FH text run_1 (N=1),FH text 5-of-5 consensus,0.391763,0.778824,-0.38706,0.0,0.0,***,factor-analysis-384px
architecture,N=1 vs consensus (FH image),FH image run_1 (N=1),FH image 3-of-5 consensus,0.515008,0.726886,-0.211878,0.0,0.0,***,factor-analysis-384px
architecture,N=1 vs consensus (FM text),FM text run_1 (N=1),FM text 5-of-5 consensus,0.493115,0.639706,-0.146591,0.0,0.0,***,factor-analysis-384px
architecture,N=1 vs consensus (Pro text),Pro text run_1 (N=1),Pro text 3-of-5 consensus,0.738286,0.840399,-0.102113,0.0,0.0,***,factor-analysis-384px
architecture,PV vs consensus,Flash HIGH text 16-of-30 + PV,Flash HIGH text 26-of-30,0.890201,0.814118,0.076083,0.0,0.0,***,reused-hypothesis-20m
architecture,PV vs consensus,Flash HIGH text 9-of-10 + PV,Flash HIGH text 9-of-10,0.856417,0.796767,0.05965,0.0,0.0,***,reused-hypothesis-20m
architecture,PV vs consensus,Flash HIGH text 4-of-5 + PV,Flash HIGH text 5-of-5,0.864078,0.778824,0.085254,0.0,0.0,***,reused-hypothesis-20m
architecture,PV verifier thinking,Flash HIGH text 4-of-5 + medium vf,Flash HIGH text 5-of-5,0.859155,0.778824,0.080331,0.0,0.0,***,reused-hypothesis-20m
architecture,PV vs consensus (image),Flash HIGH image 3-of-5 + PV,Flash HIGH image 3-of-5,0.777778,0.726886,0.050891,0.0004,0.0004,***,reused-hypothesis-20m
architecture,PV vs consensus (Pro),Pro HIGH text 3-of-5 + PV,Pro HIGH text 3-of-5,0.849105,0.840399,0.008706,0.258,0.258,ns,reused-hypothesis-20m
architecture,PV on single-pass text,Text baseline + PV,Single-pass text 5-of-5,0.814238,0.544012,0.270226,0.0,0.0,***,reused-hypothesis-20m
architecture,PV on single-pass image,Image baseline + PV,Single-pass text 5-of-5,0.716702,0.544012,0.17269,0.0,0.0,***,reused-hypothesis-20m
modality,"Text vs image (N=1, FH)",FH text run_1 (N=1),FH image run_1 (N=1),0.391763,0.515008,-0.123244,0.0001,0.0002,***,factor-analysis-384px
modality,"Text vs image (N=1, FM)",FM text run_1 (N=1),FM image run_1 (N=1),0.493115,0.559933,-0.066818,0.0158,0.0178,*,factor-analysis-384px
modality,"Text vs image (N=1, Pro)",Pro text run_1 (N=1),Pro image run_1 (N=1),0.738286,0.589641,0.148644,0.0,0.0,***,factor-analysis-384px
modality,Text vs image (Pro consensus N=5),Pro text 3-of-5 consensus,Pro image 3-of-5 consensus,0.840399,0.699779,0.14062,0.0,0.0,***,factor-analysis-384px
modality,Text vs image (baseline + PV),Text baseline + PV,Image baseline + PV,0.814238,0.716702,0.097536,0.0,0.0,***,factor-analysis-384px
modality,Text vs image,Flash HIGH text 5-of-5,Flash HIGH image 3-of-5,0.778824,0.726886,0.051937,0.0143,0.0178,*,reused-hypothesis-20m
modality,Text vs image (N=10),Flash HIGH text 9-of-10,Flash HIGH image 6-of-10,0.796767,0.740245,0.056521,0.0054,0.0081,**,reused-hypothesis-20m
modality,Text vs image (MINIMAL),Flash MIN text 5-of-5,Flash MIN image 4-of-5,0.639706,0.663883,-0.024177,0.3604,0.3604,ns,reused-hypothesis-20m
modality,Text vs image (PV),Flash HIGH text 4-of-5 + PV,Flash HIGH image 3-of-5 + PV,0.864078,0.777778,0.0863,0.0,0.0,***,reused-hypothesis-20m
prompt_engineering,Library composition (text),P2c Text canonical,P2c Text plus-hp,0.6045,0.5969,0.0075,0.563,0.8147,ns,prompt-engineering-512px
prompt_engineering,Library composition (text),P2c Text canonical,P2c Text pure-positive-canon,0.6045,0.6045,-0.0,1.0,1.0,ns,prompt-engineering-512px
prompt_engineering,Library composition (text),P2c Text canonical,P2c Text scale-4,0.6045,0.6094,-0.005,0.6216,0.8147,ns,prompt-engineering-512px
prompt_engineering,Library composition (text),P2c Text canonical,P2c Text scale-8,0.6045,0.607,-0.0026,0.8057,0.94,ns,prompt-engineering-512px
prompt_engineering,Library composition (text),P2c Text plus-hp,P2c Text pure-positive-canon,0.5969,0.6045,-0.0076,0.608,0.8147,ns,prompt-engineering-512px
prompt_engineering,Library composition (text),P2c Text plus-hp,P2c Text scale-4,0.5969,0.6094,-0.0125,0.0588,0.5488,ns,prompt-engineering-512px
prompt_engineering,Library composition (text),P2c Text plus-hp,P2c Text scale-8,0.5969,0.607,-0.0101,0.3089,0.7957,ns,prompt-engineering-512px
prompt_engineering,Library composition (text),P2c Text pure-positive-canon,P2c Text scale-4,0.6045,0.6094,-0.0049,0.2623,0.7957,ns,prompt-engineering-512px
prompt_engineering,Library composition (text),P2c Text pure-positive-canon,P2c Text scale-8,0.6045,0.607,-0.0026,0.4549,0.7957,ns,prompt-engineering-512px
prompt_engineering,Library composition (text),P2c Text scale-4,P2c Text scale-8,0.6094,0.607,0.0024,0.4338,0.7957,ns,prompt-engineering-512px
prompt_engineering,Library composition (image),P2c Image canonical,P2c Image plus-hp,0.5814,0.5985,-0.0171,0.3691,0.7957,ns,prompt-engineering-512px
prompt_engineering,Library composition (image),P2c Image canonical,P2c Image pure-positive-canon,0.5814,0.5678,0.0136,0.4001,0.7957,ns,prompt-engineering-512px
prompt_engineering,Library composition (image),P2c Image canonical,P2c Image scale-4,0.5814,0.5837,-0.0023,0.9158,0.9497,ns,prompt-engineering-512px
prompt_engineering,Library composition (image),P2c Image canonical,P2c Image scale-8,0.5814,0.5867,-0.0053,0.7611,0.9266,ns,prompt-engineering-512px
prompt_engineering,Library composition (image),P2c Image plus-hp,P2c Image pure-positive-canon,0.5985,0.5678,0.0306,0.0907,0.6349,ns,prompt-engineering-512px
prompt_engineering,Library composition (image),P2c Image plus-hp,P2c Image scale-4,0.5985,0.5837,0.0148,0.5115,0.7957,ns,prompt-engineering-512px
