label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
min6-true,5,0.4038,0.3538,0.4554,0.415,0.3645,0.4692,0.3931,0.3417,0.4466,0.7903,0.7324,0.8375,0.821,0.9574,0.7901,0.8209,0.9573,sparse_cross_grid,False,0.5462012320328542,487,zero_fraction_heuristic,
min6-true,10,0.7414,0.6979,0.7825,0.7621,0.7161,0.8069,0.7218,0.6744,0.766,0.7903,0.7324,0.8375,0.821,0.9574,0.7901,0.8209,0.9573,sparse_cross_grid,False,0.5605749486652978,487,zero_fraction_heuristic,
min6-true,15,0.8453,0.8128,0.8747,0.8689,0.8322,0.9005,0.823,0.7828,0.8582,0.7903,0.7324,0.8375,0.821,0.9574,0.7901,0.8209,0.9573,sparse_cross_grid,False,0.5667351129363449,487,zero_fraction_heuristic,
min6-true,20,0.8784,0.8503,0.9035,0.9029,0.869,0.9303,0.8552,0.8188,0.8877,0.7903,0.7324,0.8375,0.821,0.9574,0.7901,0.8209,0.9573,sparse_cross_grid,False,0.5687885010266941,487,zero_fraction_heuristic,
min6-true,25,0.8831,0.8554,0.9079,0.9078,0.8738,0.9343,0.8598,0.824,0.8926,0.7903,0.7324,0.8375,0.821,0.9574,0.7901,0.8209,0.9573,sparse_cross_grid,False,0.5687885010266941,487,zero_fraction_heuristic,
min6-true,30,0.8902,0.863,0.9138,0.915,0.882,0.9407,0.8667,0.8315,0.8979,0.7903,0.7324,0.8375,0.821,0.9574,0.7901,0.8209,0.9573,sparse_cross_grid,False,0.5687885010266941,487,zero_fraction_heuristic,
min6-true,35,0.8926,0.8655,0.9157,0.9175,0.885,0.9427,0.869,0.834,0.9,0.7903,0.7324,0.8375,0.821,0.9574,0.7901,0.8209,0.9573,sparse_cross_grid,False,0.5687885010266941,487,zero_fraction_heuristic,
min6-true,40,0.8926,0.8655,0.9157,0.9175,0.885,0.9427,0.869,0.834,0.9,0.7903,0.7324,0.8375,0.821,0.9574,0.7901,0.8209,0.9573,sparse_cross_grid,False,0.5687885010266941,487,zero_fraction_heuristic,
min6-true,45,0.8996,0.8738,0.9219,0.9248,0.8925,0.9492,0.8759,0.8412,0.9061,0.7903,0.7324,0.8375,0.821,0.9574,0.7901,0.8209,0.9573,sparse_cross_grid,False,0.5687885010266941,487,zero_fraction_heuristic,
min6-true,50,0.8996,0.8738,0.9219,0.9248,0.8925,0.9492,0.8759,0.8412,0.9061,0.7903,0.7324,0.8375,0.821,0.9574,0.7901,0.8209,0.9573,sparse_cross_grid,False,0.5687885010266941,487,zero_fraction_heuristic,
min6-true,75,0.902,0.8768,0.9242,0.9272,0.8955,0.9513,0.8782,0.8434,0.9078,0.7903,0.7324,0.8375,0.821,0.9574,0.7901,0.8209,0.9573,sparse_cross_grid,False,0.5687885010266941,487,zero_fraction_heuristic,
min6-true,100,0.902,0.8768,0.9242,0.9272,0.8955,0.9513,0.8782,0.8434,0.9078,0.7903,0.7324,0.8375,0.821,0.9574,0.7901,0.8209,0.9573,sparse_cross_grid,False,0.5687885010266941,487,zero_fraction_heuristic,
min6-true,125,0.9044,0.8792,0.9258,0.9296,0.8978,0.9536,0.8805,0.8465,0.9097,0.7903,0.7324,0.8375,0.821,0.9574,0.7901,0.8209,0.9573,sparse_cross_grid,False,0.5687885010266941,487,zero_fraction_heuristic,
min6-true,150,0.9044,0.8792,0.9258,0.9296,0.8978,0.9536,0.8805,0.8465,0.9097,0.7903,0.7324,0.8375,0.821,0.9574,0.7901,0.8209,0.9573,sparse_cross_grid,False,0.5687885010266941,487,zero_fraction_heuristic,
