label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
G3IMG-ARM1-K5-f1-oracle-image-55map-r2,5,0.08,0.0726,0.0878,0.0813,0.0738,0.0893,0.0787,0.0714,0.0865,0.7165,0.7024,0.7304,0.7042,0.9685,0.7165,0.7041,0.9685,sparse_cross_grid,False,0.6444210279826719,8541,zero_fraction_heuristic,
G3IMG-ARM1-K5-f1-oracle-image-55map-r2,10,0.2712,0.2591,0.2838,0.2756,0.2632,0.2886,0.2668,0.2544,0.2799,0.7165,0.7024,0.7304,0.7042,0.9685,0.7165,0.7041,0.9685,sparse_cross_grid,False,0.6465285095422082,8541,zero_fraction_heuristic,
G3IMG-ARM1-K5-f1-oracle-image-55map-r2,15,0.4716,0.4581,0.4853,0.4794,0.4653,0.4937,0.4641,0.4495,0.4787,0.7165,0.7024,0.7304,0.7042,0.9685,0.7165,0.7041,0.9685,sparse_cross_grid,False,0.6496897318815127,8541,zero_fraction_heuristic,
G3IMG-ARM1-K5-f1-oracle-image-55map-r2,20,0.6166,0.6035,0.6298,0.6268,0.6128,0.6403,0.6068,0.592,0.6215,0.7165,0.7024,0.7304,0.7042,0.9685,0.7165,0.7041,0.9685,sparse_cross_grid,False,0.652616789603091,8541,zero_fraction_heuristic,
G3IMG-ARM1-K5-f1-oracle-image-55map-r2,25,0.7147,0.7028,0.7257,0.7264,0.7137,0.7386,0.7033,0.689,0.717,0.7165,0.7024,0.7304,0.7042,0.9685,0.7165,0.7041,0.9685,sparse_cross_grid,False,0.654490106544901,8541,zero_fraction_heuristic,
G3IMG-ARM1-K5-f1-oracle-image-55map-r2,30,0.771,0.7603,0.7807,0.7837,0.7718,0.7948,0.7587,0.7453,0.7714,0.7165,0.7024,0.7304,0.7042,0.9685,0.7165,0.7041,0.9685,sparse_cross_grid,False,0.6561292588689849,8541,zero_fraction_heuristic,
G3IMG-ARM1-K5-f1-oracle-image-55map-r2,35,0.7977,0.7881,0.8066,0.8108,0.7998,0.8214,0.785,0.772,0.7974,0.7165,0.7024,0.7304,0.7042,0.9685,0.7165,0.7041,0.9685,sparse_cross_grid,False,0.6568317527221637,8541,zero_fraction_heuristic,
G3IMG-ARM1-K5-f1-oracle-image-55map-r2,40,0.8086,0.7992,0.8172,0.8219,0.8112,0.8322,0.7957,0.7829,0.8079,0.7165,0.7024,0.7304,0.7042,0.9685,0.7165,0.7041,0.9685,sparse_cross_grid,False,0.6574171642664793,8541,zero_fraction_heuristic,
G3IMG-ARM1-K5-f1-oracle-image-55map-r2,45,0.8149,0.806,0.8232,0.8283,0.8177,0.8385,0.8019,0.7894,0.8139,0.7165,0.7024,0.7304,0.7042,0.9685,0.7165,0.7041,0.9685,sparse_cross_grid,False,0.6576513288842056,8541,zero_fraction_heuristic,
G3IMG-ARM1-K5-f1-oracle-image-55map-r2,50,0.8177,0.8089,0.8259,0.8312,0.8206,0.8412,0.8047,0.7923,0.8167,0.7165,0.7024,0.7304,0.7042,0.9685,0.7165,0.7041,0.9685,sparse_cross_grid,False,0.6577684111930687,8541,zero_fraction_heuristic,
G3IMG-ARM1-K5-f1-oracle-image-55map-r2,75,0.8236,0.8153,0.8315,0.8372,0.8267,0.8471,0.8105,0.7983,0.8223,0.7165,0.7024,0.7304,0.7042,0.9685,0.7165,0.7041,0.9685,sparse_cross_grid,False,0.6578854935019318,8541,zero_fraction_heuristic,
G3IMG-ARM1-K5-f1-oracle-image-55map-r2,100,0.8252,0.8169,0.833,0.8388,0.8283,0.8487,0.8121,0.7998,0.8237,0.7165,0.7024,0.7304,0.7042,0.9685,0.7165,0.7041,0.9685,sparse_cross_grid,False,0.6578854935019318,8541,zero_fraction_heuristic,
G3IMG-ARM1-K5-f1-oracle-image-55map-r2,125,0.8264,0.8181,0.8342,0.8401,0.8296,0.8499,0.8133,0.8009,0.8249,0.7165,0.7024,0.7304,0.7042,0.9685,0.7165,0.7041,0.9685,sparse_cross_grid,False,0.6578854935019318,8541,zero_fraction_heuristic,
G3IMG-ARM1-K5-f1-oracle-image-55map-r2,150,0.8269,0.8185,0.8346,0.8405,0.83,0.8503,0.8137,0.8013,0.8253,0.7165,0.7024,0.7304,0.7042,0.9685,0.7165,0.7041,0.9685,sparse_cross_grid,False,0.6578854935019318,8541,zero_fraction_heuristic,
