label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
G3IMG-ARM1-K5-mcc-oracle-image-55map-r2,5,0.0528,0.048,0.0576,0.0377,0.0343,0.0412,0.0881,0.0802,0.0963,0.7496,0.736,0.7632,0.7359,0.9739,0.7497,0.736,0.9739,sparse_cross_grid,False,0.6421964641142723,8541,zero_fraction_heuristic,
G3IMG-ARM1-K5-mcc-oracle-image-55map-r2,10,0.1831,0.1753,0.191,0.1307,0.1249,0.1367,0.3057,0.2929,0.3193,0.7496,0.736,0.7632,0.7359,0.9739,0.7497,0.736,0.9739,sparse_cross_grid,False,0.6450064395269874,8541,zero_fraction_heuristic,
G3IMG-ARM1-K5-mcc-oracle-image-55map-r2,15,0.3205,0.3114,0.3293,0.2287,0.2216,0.2357,0.5351,0.5207,0.5496,0.7496,0.736,0.7632,0.7359,0.9739,0.7497,0.736,0.9739,sparse_cross_grid,False,0.6488701557194708,8541,zero_fraction_heuristic,
G3IMG-ARM1-K5-mcc-oracle-image-55map-r2,20,0.4097,0.4007,0.4182,0.2924,0.2849,0.2997,0.6841,0.6704,0.6976,0.7496,0.736,0.7632,0.7359,0.9739,0.7497,0.736,0.9739,sparse_cross_grid,False,0.651797213441049,8541,zero_fraction_heuristic,
G3IMG-ARM1-K5-mcc-oracle-image-55map-r2,25,0.4621,0.4536,0.4702,0.3298,0.3222,0.3371,0.7716,0.759,0.7837,0.7496,0.736,0.7632,0.7359,0.9739,0.7497,0.736,0.9739,sparse_cross_grid,False,0.6536705303828592,8541,zero_fraction_heuristic,
G3IMG-ARM1-K5-mcc-oracle-image-55map-r2,30,0.4911,0.4832,0.4989,0.3505,0.3431,0.3579,0.82,0.8083,0.8313,0.7496,0.736,0.7632,0.7359,0.9739,0.7497,0.736,0.9739,sparse_cross_grid,False,0.6547242711626273,8541,zero_fraction_heuristic,
G3IMG-ARM1-K5-mcc-oracle-image-55map-r2,35,0.5052,0.4974,0.5129,0.3606,0.3532,0.3679,0.8436,0.8326,0.8543,0.7496,0.736,0.7632,0.7359,0.9739,0.7497,0.736,0.9739,sparse_cross_grid,False,0.6554267650158061,8541,zero_fraction_heuristic,
G3IMG-ARM1-K5-mcc-oracle-image-55map-r2,40,0.5124,0.5046,0.52,0.3657,0.3583,0.3731,0.8555,0.8448,0.8658,0.7496,0.736,0.7632,0.7359,0.9739,0.7497,0.736,0.9739,sparse_cross_grid,False,0.6558950942512586,8541,zero_fraction_heuristic,
G3IMG-ARM1-K5-mcc-oracle-image-55map-r2,45,0.5174,0.5095,0.525,0.3693,0.3617,0.3767,0.8639,0.8535,0.8736,0.7496,0.736,0.7632,0.7359,0.9739,0.7497,0.736,0.9739,sparse_cross_grid,False,0.6558950942512586,8541,zero_fraction_heuristic,
G3IMG-ARM1-K5-mcc-oracle-image-55map-r2,50,0.5205,0.5128,0.528,0.3715,0.364,0.3789,0.8691,0.8589,0.8786,0.7496,0.736,0.7632,0.7359,0.9739,0.7497,0.736,0.9739,sparse_cross_grid,False,0.6560121765601218,8541,zero_fraction_heuristic,
G3IMG-ARM1-K5-mcc-oracle-image-55map-r2,75,0.5271,0.5194,0.5346,0.3762,0.3686,0.3838,0.88,0.8704,0.8893,0.7496,0.736,0.7632,0.7359,0.9739,0.7497,0.736,0.9739,sparse_cross_grid,False,0.6561292588689849,8541,zero_fraction_heuristic,
G3IMG-ARM1-K5-mcc-oracle-image-55map-r2,100,0.5309,0.5232,0.5384,0.3789,0.3713,0.3865,0.8864,0.8768,0.8955,0.7496,0.736,0.7632,0.7359,0.9739,0.7497,0.736,0.9739,sparse_cross_grid,False,0.6563634234867112,8541,zero_fraction_heuristic,
G3IMG-ARM1-K5-mcc-oracle-image-55map-r2,125,0.5327,0.5251,0.5403,0.3802,0.3726,0.3879,0.8894,0.8799,0.8984,0.7496,0.736,0.7632,0.7359,0.9739,0.7497,0.736,0.9739,sparse_cross_grid,False,0.6565975881044375,8541,zero_fraction_heuristic,
G3IMG-ARM1-K5-mcc-oracle-image-55map-r2,150,0.5348,0.527,0.5424,0.3817,0.3741,0.3894,0.893,0.8835,0.9019,0.7496,0.736,0.7632,0.7359,0.9739,0.7497,0.736,0.9739,sparse_cross_grid,False,0.6568317527221637,8541,zero_fraction_heuristic,
