label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
G3IMG-ARM2-K5-carried-image-55map-r2,5,0.081,0.0737,0.0889,0.0799,0.0727,0.0877,0.0821,0.0747,0.0902,0.7253,0.7111,0.7394,0.7274,0.9615,0.7253,0.7274,0.9615,sparse_cross_grid,False,0.6388010771572415,8541,zero_fraction_heuristic,
G3IMG-ARM2-K5-carried-image-55map-r2,10,0.2735,0.2615,0.286,0.2698,0.2578,0.2823,0.2772,0.2646,0.2905,0.7253,0.7111,0.7394,0.7274,0.9615,0.7253,0.7274,0.9615,sparse_cross_grid,False,0.6410256410256411,8541,zero_fraction_heuristic,
G3IMG-ARM2-K5-carried-image-55map-r2,15,0.4768,0.4635,0.4904,0.4704,0.4566,0.4843,0.4833,0.4686,0.4982,0.7253,0.7111,0.7394,0.7274,0.9615,0.7253,0.7274,0.9615,sparse_cross_grid,False,0.6444210279826719,8541,zero_fraction_heuristic,
G3IMG-ARM2-K5-carried-image-55map-r2,20,0.625,0.6121,0.6378,0.6167,0.6032,0.6299,0.6335,0.619,0.6482,0.7253,0.7111,0.7394,0.7274,0.9615,0.7253,0.7274,0.9615,sparse_cross_grid,False,0.6475822503219764,8541,zero_fraction_heuristic,
G3IMG-ARM2-K5-carried-image-55map-r2,25,0.7254,0.7141,0.7364,0.7158,0.7033,0.7277,0.7354,0.7217,0.7483,0.7253,0.7111,0.7394,0.7274,0.9615,0.7253,0.7274,0.9615,sparse_cross_grid,False,0.6495726495726496,8541,zero_fraction_heuristic,
G3IMG-ARM2-K5-carried-image-55map-r2,30,0.7823,0.7723,0.7917,0.7719,0.7604,0.7831,0.7929,0.7804,0.8049,0.7253,0.7111,0.7394,0.7274,0.9615,0.7253,0.7274,0.9615,sparse_cross_grid,False,0.6513288842055965,8541,zero_fraction_heuristic,
G3IMG-ARM2-K5-carried-image-55map-r2,35,0.81,0.801,0.8185,0.7992,0.7883,0.8095,0.821,0.8089,0.8323,0.7253,0.7111,0.7394,0.7274,0.9615,0.7253,0.7274,0.9615,sparse_cross_grid,False,0.6521484603676384,8541,zero_fraction_heuristic,
G3IMG-ARM2-K5-carried-image-55map-r2,40,0.8212,0.8123,0.8292,0.8103,0.7997,0.8203,0.8324,0.8206,0.8435,0.7253,0.7111,0.7394,0.7274,0.9615,0.7253,0.7274,0.9615,sparse_cross_grid,False,0.6527338719119541,8541,zero_fraction_heuristic,
G3IMG-ARM2-K5-carried-image-55map-r2,45,0.8277,0.8194,0.8355,0.8167,0.8064,0.8266,0.839,0.8276,0.8499,0.7253,0.7111,0.7394,0.7274,0.9615,0.7253,0.7274,0.9615,sparse_cross_grid,False,0.6529680365296804,8541,zero_fraction_heuristic,
G3IMG-ARM2-K5-carried-image-55map-r2,50,0.8306,0.8224,0.8382,0.8196,0.8093,0.8295,0.842,0.8307,0.8528,0.7253,0.7111,0.7394,0.7274,0.9615,0.7253,0.7274,0.9615,sparse_cross_grid,False,0.6530851188385435,8541,zero_fraction_heuristic,
G3IMG-ARM2-K5-carried-image-55map-r2,75,0.8363,0.8285,0.8438,0.8252,0.8149,0.8352,0.8477,0.8366,0.8581,0.7253,0.7111,0.7394,0.7274,0.9615,0.7253,0.7274,0.9615,sparse_cross_grid,False,0.6532022011474067,8541,zero_fraction_heuristic,
G3IMG-ARM2-K5-carried-image-55map-r2,100,0.8383,0.8306,0.8456,0.8272,0.8168,0.8369,0.8497,0.8387,0.86,0.7253,0.7111,0.7394,0.7274,0.9615,0.7253,0.7274,0.9615,sparse_cross_grid,False,0.6532022011474067,8541,zero_fraction_heuristic,
G3IMG-ARM2-K5-carried-image-55map-r2,125,0.8397,0.832,0.847,0.8285,0.8183,0.8383,0.8511,0.8402,0.8615,0.7253,0.7111,0.7394,0.7274,0.9615,0.7253,0.7274,0.9615,sparse_cross_grid,False,0.6532022011474067,8541,zero_fraction_heuristic,
G3IMG-ARM2-K5-carried-image-55map-r2,150,0.8405,0.8327,0.8478,0.8293,0.819,0.8391,0.8519,0.841,0.8622,0.7253,0.7111,0.7394,0.7274,0.9615,0.7253,0.7274,0.9615,sparse_cross_grid,False,0.6532022011474067,8541,zero_fraction_heuristic,
