label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
G3IMG-ARM2-K5-mcc-oracle-unconstrained-image-55map-r2,5,0.0571,0.0523,0.0619,0.04,0.0366,0.0434,0.0996,0.0914,0.1082,0.7755,0.7629,0.788,0.7433,0.9878,0.7755,0.7433,0.9878,sparse_cross_grid,False,0.6513288842055965,8541,zero_fraction_heuristic,
G3IMG-ARM2-K5-mcc-oracle-unconstrained-image-55map-r2,10,0.1927,0.1849,0.2008,0.135,0.1293,0.1411,0.3366,0.3231,0.3503,0.7755,0.7629,0.788,0.7433,0.9878,0.7755,0.7433,0.9878,sparse_cross_grid,False,0.6542559419271748,8541,zero_fraction_heuristic,
G3IMG-ARM2-K5-mcc-oracle-unconstrained-image-55map-r2,15,0.3323,0.3235,0.3411,0.2328,0.2258,0.2398,0.5803,0.5662,0.5945,0.7755,0.7629,0.788,0.7433,0.9878,0.7755,0.7433,0.9878,sparse_cross_grid,False,0.6582367404285212,8541,zero_fraction_heuristic,
G3IMG-ARM2-K5-mcc-oracle-unconstrained-image-55map-r2,20,0.4247,0.4159,0.433,0.2976,0.2901,0.3046,0.7417,0.7288,0.754,0.7755,0.7629,0.788,0.7433,0.9878,0.7755,0.7433,0.9878,sparse_cross_grid,False,0.6617492096944152,8541,zero_fraction_heuristic,
G3IMG-ARM2-K5-mcc-oracle-unconstrained-image-55map-r2,25,0.4755,0.4672,0.4833,0.3331,0.3258,0.3404,0.8304,0.8194,0.8409,0.7755,0.7629,0.788,0.7433,0.9878,0.7755,0.7433,0.9878,sparse_cross_grid,False,0.6636225266362252,8541,zero_fraction_heuristic,
G3IMG-ARM2-K5-mcc-oracle-unconstrained-image-55map-r2,30,0.5009,0.4929,0.5086,0.3509,0.3437,0.3582,0.8747,0.8649,0.8837,0.7755,0.7629,0.788,0.7433,0.9878,0.7755,0.7433,0.9878,sparse_cross_grid,False,0.6646762674159934,8541,zero_fraction_heuristic,
G3IMG-ARM2-K5-mcc-oracle-unconstrained-image-55map-r2,35,0.5125,0.5047,0.52,0.3591,0.3517,0.3663,0.895,0.8859,0.9034,0.7755,0.7629,0.788,0.7433,0.9878,0.7755,0.7433,0.9878,sparse_cross_grid,False,0.6653787612691723,8541,zero_fraction_heuristic,
G3IMG-ARM2-K5-mcc-oracle-unconstrained-image-55map-r2,40,0.5168,0.5091,0.5244,0.3621,0.3548,0.3694,0.9026,0.8938,0.9108,0.7755,0.7629,0.788,0.7433,0.9878,0.7755,0.7433,0.9878,sparse_cross_grid,False,0.6656129258868985,8541,zero_fraction_heuristic,
G3IMG-ARM2-K5-mcc-oracle-unconstrained-image-55map-r2,45,0.5201,0.5125,0.5278,0.3644,0.3571,0.3718,0.9083,0.8996,0.9163,0.7755,0.7629,0.788,0.7433,0.9878,0.7755,0.7433,0.9878,sparse_cross_grid,False,0.6657300081957617,8541,zero_fraction_heuristic,
G3IMG-ARM2-K5-mcc-oracle-unconstrained-image-55map-r2,50,0.5217,0.5141,0.5294,0.3655,0.3583,0.3729,0.9111,0.9027,0.919,0.7755,0.7629,0.788,0.7433,0.9878,0.7755,0.7433,0.9878,sparse_cross_grid,False,0.6657300081957617,8541,zero_fraction_heuristic,
G3IMG-ARM2-K5-mcc-oracle-unconstrained-image-55map-r2,75,0.5244,0.5168,0.5321,0.3674,0.3601,0.3748,0.9157,0.9073,0.9235,0.7755,0.7629,0.788,0.7433,0.9878,0.7755,0.7433,0.9878,sparse_cross_grid,False,0.6658470905046248,8541,zero_fraction_heuristic,
G3IMG-ARM2-K5-mcc-oracle-unconstrained-image-55map-r2,100,0.5261,0.5184,0.5338,0.3686,0.3612,0.376,0.9187,0.9103,0.9263,0.7755,0.7629,0.788,0.7433,0.9878,0.7755,0.7433,0.9878,sparse_cross_grid,False,0.6658470905046248,8541,zero_fraction_heuristic,
G3IMG-ARM2-K5-mcc-oracle-unconstrained-image-55map-r2,125,0.5269,0.5192,0.5345,0.3691,0.3618,0.3765,0.9201,0.9118,0.9277,0.7755,0.7629,0.788,0.7433,0.9878,0.7755,0.7433,0.9878,sparse_cross_grid,False,0.6660812551223511,8541,zero_fraction_heuristic,
G3IMG-ARM2-K5-mcc-oracle-unconstrained-image-55map-r2,150,0.5277,0.52,0.5353,0.3697,0.3624,0.3771,0.9215,0.9133,0.929,0.7755,0.7629,0.788,0.7433,0.9878,0.7755,0.7433,0.9878,sparse_cross_grid,False,0.6660812551223511,8541,zero_fraction_heuristic,
