rung,prob_t,min_votes,n_detections,tp,fp,fn,micro_f1_50,tile_mcc,tile_tp,tile_tn,tile_fp,tile_fn
G3IMG-ARM2-K1,0.0,1,22785,4773.0,18012.0,245.0,0.3433442434269683,0.10525006910843339,3187,858,4154,342
G3IMG-ARM2-K1,0.01,1,18679,4762.0,13917.0,256.0,0.4019074144406465,0.19129624970860193,3112,1387,3625,417
G3IMG-ARM2-K1,0.02,1,14319,4752.0,9567.0,266.0,0.49149299270827945,0.3521543309535274,2986,2486,2526,543
G3IMG-ARM2-K1,0.05,1,14128,4752.0,9376.0,266.0,0.4963961140708242,0.3616792881616088,2981,2548,2464,548
G3IMG-ARM2-K1,0.1,1,9796,4729.0,5067.0,289.0,0.6384501147563116,0.6501446379657697,2760,4337,675,769
G3IMG-ARM2-K1,0.15,1,9638,4724.0,4914.0,294.0,0.6446506550218342,0.66305248974241,2751,4402,610,778
G3IMG-ARM2-K1,0.2,1,9436,4719.0,4717.0,299.0,0.6529680365296804,0.6793814703703741,2737,4485,527,792
G3IMG-ARM2-K1,0.25,1,9416,4718.0,4698.0,300.0,0.6537342386032978,0.6805868548659437,2736,4491,521,793
G3IMG-ARM2-K1,0.3,1,9392,4718.0,4674.0,300.0,0.6548230395558641,0.6822772572061554,2734,4500,512,795
G3IMG-ARM2-K1,0.35,1,9390,4718.0,4672.0,300.0,0.6549139367018323,0.6822772572061554,2734,4500,512,795
G3IMG-ARM2-K1,0.4,1,9369,4717.0,4652.0,301.0,0.6557308681448529,0.6844677719819078,2734,4509,503,795
G3IMG-ARM2-K1,0.45,1,9354,4717.0,4637.0,301.0,0.6564152518786529,0.6861737044986264,2733,4517,495,796
G3IMG-ARM2-K1,0.55,1,9327,4716.0,4611.0,302.0,0.6575113279888463,0.6886196715538623,2730,4530,482,799
G3IMG-ARM2-K1,0.65,1,9325,4716.0,4609.0,302.0,0.6576030119221921,0.6888651119078385,2730,4531,481,799
G3IMG-ARM2-K1,0.7,1,9319,4716.0,4603.0,302.0,0.6578782172002511,0.6893565843492545,2729,4534,478,800
G3IMG-ARM2-K1,0.75,1,9318,4716.0,4602.0,302.0,0.6579241071428571,0.6893565843492545,2729,4534,478,800
G3IMG-ARM2-K1,0.8,1,9297,4716.0,4581.0,302.0,0.6588892769821865,0.6915712312728687,2729,4543,469,800
G3IMG-ARM2-K1,0.85,1,9291,4716.0,4575.0,302.0,0.6591655601369768,0.6928041820738742,2729,4548,464,800
G3IMG-ARM2-K1,0.88,1,9172,4714.0,4458.0,304.0,0.6644115574348132,0.7062858667200745,2724,4607,405,805
G3IMG-ARM2-K1,0.9,1,9107,4712.0,4395.0,306.0,0.6671858407079646,0.7133995882475272,2721,4638,374,808
G3IMG-ARM2-K1,0.92,1,9083,4712.0,4371.0,306.0,0.6683213956456989,0.7172364954683482,2720,4654,358,809
G3IMG-ARM2-K1,0.95,1,9033,4708.0,4325.0,310.0,0.6701302398405807,0.7204342424170632,2713,4673,339,816
G3IMG-ARM2-K1,0.96,1,7934,4483.0,3451.0,535.0,0.6922483014206301,0.7655675463438598,2573,4955,57,956
G3IMG-ARM2-K1,0.98,1,7931,4482.0,3449.0,536.0,0.692254228125724,0.76586121328068,2573,4956,56,956
G3IMG-ARM2-K1,0.99,1,2226,1576.0,650.0,3442.0,0.43511871893981224,0.4760385132468591,1183,5008,4,2346
G3IMG-ARM2-K1,1.0,1,692,523.0,169.0,4495.0,0.1831873905429072,0.2935564996188274,493,5010,2,3036
