rung,prob_t,min_votes,n_detections,tp,fp,fn,micro_f1_50,tile_mcc,tile_tp,tile_tn,tile_fp,tile_fn
IMG-ARM2-K3-inherited,0.0,1,8335,4887.0,3448.0,131.0,0.7319703437429791,0.6443552393545356,2800,4267,745,729
IMG-ARM2-K3-inherited,0.0,2,6586,4864.0,1722.0,154.0,0.8383316097897278,0.6986801019601607,2753,4548,464,776
IMG-ARM2-K3-inherited,0.0,3,5825,4830.0,995.0,188.0,0.8908973531310523,0.7250397128539292,2715,4689,323,814
IMG-ARM2-K3-inherited,0.01,1,7981,4878.0,3103.0,140.0,0.7505192707131318,0.6637535622643489,2778,4376,636,751
IMG-ARM2-K3-inherited,0.01,2,6427,4857.0,1570.0,161.0,0.8487549148099607,0.7126810722860164,2739,4618,394,790
IMG-ARM2-K3-inherited,0.01,3,5752,4824.0,928.0,194.0,0.8958217270194986,0.7327547224544688,2708,4725,287,821
IMG-ARM2-K3-inherited,0.02,1,7631,4868.0,2763.0,150.0,0.7697051150288561,0.6837959451955863,2748,4492,520,781
IMG-ARM2-K3-inherited,0.02,2,6279,4849.0,1430.0,169.0,0.858457997698504,0.7230794748953514,2723,4674,338,806
IMG-ARM2-K3-inherited,0.02,3,5668,4817.0,851.0,201.0,0.9015534344001498,0.7409083427616918,2700,4763,249,829
IMG-ARM2-K3-inherited,0.05,1,7591,4866.0,2725.0,152.0,0.7718296454913156,0.6864533594627257,2746,4505,507,783
IMG-ARM2-K3-inherited,0.05,2,6257,4847.0,1410.0,171.0,0.8597782705099779,0.7241845902306405,2719,4682,330,810
IMG-ARM2-K3-inherited,0.05,3,5655,4815.0,840.0,203.0,0.9022767731659326,0.7418047604494781,2697,4769,243,832
IMG-ARM2-K3-inherited,0.1,1,6936,4831.0,2105.0,187.0,0.8082650158942614,0.7323617942936346,2703,4728,284,826
IMG-ARM2-K3-inherited,0.1,2,5921,4817.0,1104.0,201.0,0.8807020751439802,0.7496134442358258,2689,4805,207,840
IMG-ARM2-K3-inherited,0.1,3,5453,4785.0,668.0,233.0,0.9139528220800306,0.7574412756254171,2672,4848,164,857
IMG-ARM2-K3-inherited,0.15,1,6886,4829.0,2057.0,189.0,0.8113239247311829,0.7338446401694231,2697,4739,273,832
IMG-ARM2-K3-inherited,0.15,2,5895,4816.0,1079.0,202.0,0.8826170622193713,0.7498103677746472,2684,4810,202,845
IMG-ARM2-K3-inherited,0.15,3,5436,4783.0,653.0,235.0,0.9150564377271858,0.7579061446121195,2668,4853,159,861
IMG-ARM2-K3-inherited,0.2,1,6822,4828.0,1994.0,190.0,0.8155405405405405,0.7401355332455477,2691,4768,244,838
IMG-ARM2-K3-inherited,0.2,2,5854,4815.0,1039.0,203.0,0.8857615894039735,0.7537884785921692,2680,4828,184,849
IMG-ARM2-K3-inherited,0.2,3,5413,4779.0,634.0,239.0,0.916307161345988,0.7605473938769081,2665,4865,147,864
IMG-ARM2-K3-inherited,0.25,1,6816,4828.0,1988.0,190.0,0.8159540307588304,0.7401688565371835,2690,4769,243,839
IMG-ARM2-K3-inherited,0.25,2,5851,4814.0,1037.0,204.0,0.8858220627472629,0.7537884785921692,2680,4828,184,849
IMG-ARM2-K3-inherited,0.25,3,5410,4778.0,632.0,240.0,0.9163789796701189,0.7605473938769081,2665,4865,147,864
IMG-ARM2-K3-inherited,0.35,1,6806,4828.0,1978.0,190.0,0.8166441136671178,0.741773062573834,2690,4775,237,839
IMG-ARM2-K3-inherited,0.35,2,5846,4814.0,1032.0,204.0,0.8862297496318114,0.7546088514730848,2680,4831,181,849
IMG-ARM2-K3-inherited,0.35,3,5408,4778.0,630.0,240.0,0.9165547669288319,0.7608253623659947,2665,4866,146,864
IMG-ARM2-K3-inherited,0.4,1,6799,4827.0,1972.0,191.0,0.816958618938817,0.7418420993553071,2688,4777,235,841
IMG-ARM2-K3-inherited,0.4,2,5844,4813.0,1031.0,205.0,0.8862088013257228,0.7543786805294631,2679,4831,181,850
IMG-ARM2-K3-inherited,0.4,3,5406,4777.0,629.0,241.0,0.9165387567152725,0.7605973665811802,2664,4866,146,865
IMG-ARM2-K3-inherited,0.45,1,6796,4827.0,1969.0,191.0,0.8171660741493144,0.7421100891120188,2688,4778,234,841
IMG-ARM2-K3-inherited,0.45,2,5842,4813.0,1029.0,205.0,0.8863720073664826,0.7546523930933708,2679,4832,180,850
IMG-ARM2-K3-inherited,0.45,3,5406,4777.0,629.0,241.0,0.9165387567152725,0.7605973665811802,2664,4866,146,865
IMG-ARM2-K3-inherited,0.55,1,6792,4827.0,1965.0,191.0,0.8174428450465707,0.7423781731025135,2688,4779,233,841
IMG-ARM2-K3-inherited,0.55,2,5839,4813.0,1026.0,205.0,0.8866169291701207,0.7549262053835691,2679,4833,179,850
IMG-ARM2-K3-inherited,0.55,3,5405,4777.0,628.0,241.0,0.9166266909718892,0.7605973665811802,2664,4866,146,865
IMG-ARM2-K3-inherited,0.7,1,6791,4827.0,1964.0,191.0,0.8175120670674909,0.7426463514168298,2688,4780,232,841
IMG-ARM2-K3-inherited,0.7,2,5838,4813.0,1025.0,205.0,0.886698599852616,0.75520011749646,2679,4834,178,850
IMG-ARM2-K3-inherited,0.7,3,5404,4777.0,627.0,241.0,0.916714642103243,0.7608754969874622,2664,4867,145,865
IMG-ARM2-K3-inherited,0.75,1,6790,4827.0,1963.0,191.0,0.8175813008130082,0.742914624145106,2688,4781,231,841
IMG-ARM2-K3-inherited,0.75,2,5837,4813.0,1024.0,205.0,0.8867802855826808,0.755474129528556,2679,4835,177,850
IMG-ARM2-K3-inherited,0.75,3,5403,4777.0,626.0,241.0,0.9168026101141925,0.7611537314196394,2664,4868,144,865
IMG-ARM2-K3-inherited,0.8,1,6786,4827.0,1959.0,191.0,0.8178583531006439,0.7429500507092908,2687,4782,230,842
IMG-ARM2-K3-inherited,0.8,2,5834,4813.0,1021.0,205.0,0.8870254330998895,0.755518362946635,2678,4836,176,851
IMG-ARM2-K3-inherited,0.8,3,5402,4777.0,625.0,241.0,0.9168905950095969,0.7611537314196394,2664,4868,144,865
IMG-ARM2-K3-inherited,0.85,1,6785,4827.0,1958.0,191.0,0.8179276455138526,0.7429500507092908,2687,4782,230,842
IMG-ARM2-K3-inherited,0.85,2,5833,4813.0,1020.0,205.0,0.8871071790618377,0.755518362946635,2678,4836,176,851
IMG-ARM2-K3-inherited,0.85,3,5401,4777.0,624.0,241.0,0.916978596794318,0.7611537314196394,2664,4868,144,865
IMG-ARM2-K3-inherited,0.88,1,6718,4820.0,1898.0,198.0,0.8214042263122018,0.7467157370352904,2680,4802,210,849
IMG-ARM2-K3-inherited,0.88,2,5791,4806.0,985.0,212.0,0.8892589508742714,0.7585925611137119,2671,4853,159,858
IMG-ARM2-K3-inherited,0.88,3,5374,4770.0,604.0,248.0,0.918013856812933,0.762071403305947,2657,4877,135,872
IMG-ARM2-K3-inherited,0.9,1,6687,4813.0,1874.0,205.0,0.8223835967535242,0.7492785414664264,2677,4814,198,852
IMG-ARM2-K3-inherited,0.9,2,5770,4801.0,969.0,217.0,0.8900630329996292,0.7603988656061698,2668,4862,150,861
