rung,prob_t,min_votes,n_detections,tp,fp,fn,micro_f1_50,tile_mcc,tile_tp,tile_tn,tile_fp,tile_fn
IMG-ARM1-K3,0.0,1,8337,4887.0,3450.0,131.0,0.7318607263197305,0.6441294832844412,2800,4266,746,729
IMG-ARM1-K3,0.0,2,6586,4864.0,1722.0,154.0,0.8383316097897278,0.6986801019601607,2753,4548,464,776
IMG-ARM1-K3,0.0,3,5825,4830.0,995.0,188.0,0.8908973531310523,0.7250397128539292,2715,4689,323,814
IMG-ARM1-K3,0.05,1,7905,4860.0,3045.0,158.0,0.7521473342103225,0.6669008108628559,2771,4397,615,758
IMG-ARM1-K3,0.05,2,6390,4836.0,1554.0,182.0,0.8478260869565217,0.711724826410362,2734,4619,393,795
IMG-ARM1-K3,0.05,3,5702,4801.0,901.0,217.0,0.8957089552238806,0.7344940334975592,2702,4737,275,827
IMG-ARM1-K3,0.1,1,7185,4785.0,2400.0,233.0,0.7842333852331393,0.703382859372356,2712,4607,405,817
IMG-ARM1-K3,0.1,2,5981,4755.0,1226.0,263.0,0.8646240567324303,0.73320303848653,2683,4749,263,846
IMG-ARM1-K3,0.1,3,5437,4718.0,719.0,300.0,0.9025346724055476,0.7489983736917029,2658,4829,183,871
IMG-ARM1-K3,0.15,1,6199,4569.0,1630.0,449.0,0.8146563252206472,0.745857008565298,2598,4867,145,931
IMG-ARM1-K3,0.15,2,5350,4525.0,825.0,493.0,0.8728780864197531,0.754781910005824,2582,4911,101,947
IMG-ARM1-K3,0.15,3,4977,4494.0,483.0,524.0,0.8992496248124061,0.7577313832561348,2568,4932,80,961
IMG-ARM1-K3,0.2,1,5961,4465.0,1496.0,553.0,0.8133709809636578,0.7458376599444334,2555,4901,111,974
IMG-ARM1-K3,0.2,2,5177,4416.0,761.0,602.0,0.8663070132417853,0.7501701169032073,2538,4929,83,991
IMG-ARM1-K3,0.2,3,4829,4388.0,441.0,630.0,0.8912359094140347,0.7508798706977657,2524,4942,70,1005
IMG-ARM1-K3,0.25,1,5407,4178.0,1229.0,840.0,0.8015347721822542,0.7349085354225138,2441,4950,62,1088
IMG-ARM1-K3,0.25,2,4727,4121.0,606.0,897.0,0.8457670600307851,0.736414593605985,2423,4968,44,1106
IMG-ARM1-K3,0.25,3,4435,4086.0,349.0,932.0,0.8644874642970486,0.734660891985871,2408,4973,39,1121
IMG-ARM1-K3,0.3,1,5406,4178.0,1228.0,840.0,0.8016116653875671,0.7352103943292416,2441,4951,61,1088
IMG-ARM1-K3,0.3,2,4726,4121.0,605.0,897.0,0.8458538587848934,0.7367200626961775,2423,4969,43,1106
IMG-ARM1-K3,0.3,3,4435,4086.0,349.0,932.0,0.8644874642970486,0.734660891985871,2408,4973,39,1121
IMG-ARM1-K3,0.35,1,5373,4159.0,1214.0,859.0,0.8005004330670773,0.734437069428095,2432,4955,57,1097
IMG-ARM1-K3,0.35,2,4695,4102.0,593.0,916.0,0.8446412025120973,0.7359736575918847,2414,4973,39,1115
IMG-ARM1-K3,0.35,3,4406,4068.0,338.0,950.0,0.8633276740237692,0.7341428159806529,2400,4977,35,1129
IMG-ARM1-K3,0.4,1,5356,4151.0,1205.0,867.0,0.8002699055330635,0.7340798429883771,2429,4956,56,1100
IMG-ARM1-K3,0.4,2,4681,4093.0,588.0,925.0,0.8440045365501598,0.7350984532215805,2410,4973,39,1119
IMG-ARM1-K3,0.4,3,4395,4060.0,335.0,958.0,0.8626367789227662,0.7334875409491172,2397,4977,35,1132
IMG-ARM1-K3,0.45,1,5155,4023.0,1132.0,995.0,0.7909171335889119,0.7269938082762623,2380,4968,44,1149
IMG-ARM1-K3,0.45,2,4509,3964.0,545.0,1054.0,0.8321612259892935,0.7272797801286957,2360,4983,29,1169
IMG-ARM1-K3,0.45,3,4240,3931.0,309.0,1087.0,0.8492114927630158,0.723892064455205,2343,4984,28,1186
IMG-ARM1-K3,0.5,1,5154,4022.0,1132.0,996.0,0.7907982697601259,0.7267748563349216,2379,4968,44,1150
IMG-ARM1-K3,0.5,2,4508,3963.0,545.0,1055.0,0.8320386311148436,0.7270620289908653,2359,4983,29,1170
IMG-ARM1-K3,0.5,3,4239,3930.0,309.0,1088.0,0.8490871772712542,0.7236744789630466,2342,4984,28,1187
IMG-ARM1-K3,0.6,1,5152,4021.0,1131.0,997.0,0.7907571288102262,0.7267748563349216,2379,4968,44,1150
IMG-ARM1-K3,0.6,2,4506,3962.0,544.0,1056.0,0.8320033599328014,0.7270620289908653,2359,4983,29,1170
IMG-ARM1-K3,0.6,3,4237,3929.0,308.0,1089.0,0.8490545650999459,0.7236744789630466,2342,4984,28,1187
IMG-ARM1-K3,0.65,1,5151,4021.0,1130.0,997.0,0.7908348903530337,0.7267748563349216,2379,4968,44,1150
IMG-ARM1-K3,0.65,2,4506,3962.0,544.0,1056.0,0.8320033599328014,0.7270620289908653,2359,4983,29,1170
IMG-ARM1-K3,0.65,3,4237,3929.0,308.0,1089.0,0.8490545650999459,0.7236744789630466,2342,4984,28,1187
IMG-ARM1-K3,0.7,1,5141,4013.0,1128.0,1005.0,0.7900383896052762,0.7261180348361108,2376,4968,44,1153
IMG-ARM1-K3,0.7,2,4499,3956.0,543.0,1062.0,0.8313544184091625,0.7264088091873123,2356,4983,29,1173
IMG-ARM1-K3,0.7,3,4230,3923.0,307.0,1095.0,0.8483996539792388,0.7230217532855934,2339,4984,28,1190
