label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
gold-standard-text-high-era2,5,0.2994,0.2534,0.3468,0.3211,0.272,0.3729,0.2805,0.2363,0.3276,0.7778,0.7211,0.8272,0.7904,0.969,0.7781,0.7905,0.9692,sparse_cross_grid,False,0.5503080082135524,487,zero_fraction_heuristic,
gold-standard-text-high-era2,10,0.6969,0.6516,0.7407,0.7474,0.6998,0.7922,0.6529,0.6021,0.7021,0.7778,0.7211,0.8272,0.7904,0.969,0.7781,0.7905,0.9692,sparse_cross_grid,False,0.5626283367556468,487,zero_fraction_heuristic,
gold-standard-text-high-era2,15,0.8344,0.7964,0.8663,0.8947,0.8582,0.9247,0.7816,0.7317,0.8235,0.7778,0.7211,0.8272,0.7904,0.969,0.7781,0.7905,0.9692,sparse_cross_grid,False,0.5708418891170431,487,zero_fraction_heuristic,
gold-standard-text-high-era2,20,0.8663,0.8317,0.8942,0.9289,0.8969,0.9529,0.8115,0.7619,0.8518,0.7778,0.7211,0.8272,0.7904,0.969,0.7781,0.7905,0.9692,sparse_cross_grid,False,0.5728952772073922,487,zero_fraction_heuristic,
gold-standard-text-high-era2,25,0.8761,0.8424,0.9028,0.9395,0.9082,0.9615,0.8207,0.7709,0.8593,0.7778,0.7211,0.8272,0.7904,0.969,0.7781,0.7905,0.9692,sparse_cross_grid,False,0.5728952772073922,487,zero_fraction_heuristic,
gold-standard-text-high-era2,30,0.8834,0.8512,0.9093,0.9474,0.9178,0.968,0.8276,0.7783,0.8654,0.7778,0.7211,0.8272,0.7904,0.969,0.7781,0.7905,0.9692,sparse_cross_grid,False,0.5728952772073922,487,zero_fraction_heuristic,
gold-standard-text-high-era2,35,0.8834,0.8512,0.9093,0.9474,0.9178,0.968,0.8276,0.7783,0.8654,0.7778,0.7211,0.8272,0.7904,0.969,0.7781,0.7905,0.9692,sparse_cross_grid,False,0.5728952772073922,487,zero_fraction_heuristic,
gold-standard-text-high-era2,40,0.8834,0.8512,0.9093,0.9474,0.9178,0.968,0.8276,0.7783,0.8654,0.7778,0.7211,0.8272,0.7904,0.969,0.7781,0.7905,0.9692,sparse_cross_grid,False,0.5728952772073922,487,zero_fraction_heuristic,
gold-standard-text-high-era2,45,0.8834,0.8512,0.9093,0.9474,0.9178,0.968,0.8276,0.7783,0.8654,0.7778,0.7211,0.8272,0.7904,0.969,0.7781,0.7905,0.9692,sparse_cross_grid,False,0.5728952772073922,487,zero_fraction_heuristic,
gold-standard-text-high-era2,50,0.8859,0.8536,0.9115,0.95,0.9207,0.97,0.8299,0.781,0.8675,0.7778,0.7211,0.8272,0.7904,0.969,0.7781,0.7905,0.9692,sparse_cross_grid,False,0.5728952772073922,487,zero_fraction_heuristic,
