temperature,pool_size,threshold,f1,precision,recall,f1_ci_lo,f1_ci_hi,p_ci_lo,p_ci_hi,r_ci_lo,r_ci_hi,n_detections
text-t0.7,5,1,0.2058,0.115,0.9752,0.1598,0.2591,0.0872,0.1495,0.9573,0.9919,3736
text-t0.7,5,2,0.453,0.2978,0.9463,0.3755,0.537,0.2355,0.3741,0.9194,0.971,1376
text-t0.7,5,3,0.6257,0.4726,0.9256,0.5507,0.6994,0.3948,0.562,0.8899,0.9564,855
text-t0.7,5,4,0.7496,0.6505,0.8843,0.6851,0.805,0.5656,0.7313,0.8359,0.9286,584
text-t0.7,5,5,0.7889,0.815,0.7645,0.7347,0.8333,0.7415,0.8813,0.6983,0.8248,415
text-t0.7,10,1,0.1386,0.0746,0.9793,0.1057,0.1775,0.0559,0.0976,0.9624,0.9955,5866
text-t0.7,10,2,0.3142,0.1873,0.9752,0.2521,0.3829,0.1449,0.238,0.9569,0.9919,2215
text-t0.7,10,3,0.4229,0.2709,0.9628,0.3467,0.5004,0.2122,0.3372,0.9389,0.9843,1493
text-t0.7,10,4,0.5261,0.3655,0.938,0.4444,0.6041,0.2932,0.4459,0.9083,0.9633,1104
text-t0.7,10,5,0.6166,0.4603,0.9339,0.5422,0.6888,0.3828,0.5432,0.9049,0.96,879
text-t0.7,10,6,0.6831,0.5441,0.9174,0.6116,0.746,0.4615,0.6279,0.8839,0.9469,727
text-t0.7,10,7,0.7348,0.6328,0.876,0.6667,0.79,0.5473,0.7139,0.8279,0.9186,590
text-t0.7,10,8,0.791,0.7266,0.8678,0.7336,0.8358,0.6435,0.7982,0.822,0.9106,511
text-t0.7,10,9,0.826,0.8383,0.814,0.783,0.8677,0.7703,0.8929,0.7547,0.871,431
text-t0.7,10,10,0.8,0.9016,0.719,0.7424,0.8458,0.8512,0.9439,0.6458,0.7893,345
text-t0.7,30,1,0.0715,0.0371,0.9876,0.0535,0.0937,0.0275,0.0492,0.9736,1.0,11771
text-t0.7,30,2,0.1693,0.0927,0.9752,0.1307,0.2173,0.07,0.1223,0.9567,0.9919,4543
text-t0.7,30,3,0.2385,0.1359,0.9711,0.1864,0.2991,0.1031,0.1765,0.9509,0.9904,3072
text-t0.7,30,4,0.2925,0.1722,0.9711,0.2323,0.357,0.1323,0.2185,0.9509,0.9904,2363
text-t0.7,30,5,0.336,0.2031,0.9711,0.2698,0.404,0.1568,0.2548,0.9509,0.9904,1991
text-t0.7,30,6,0.3784,0.235,0.9711,0.3079,0.4502,0.183,0.2928,0.9509,0.9904,1713
text-t0.7,30,7,0.4112,0.2612,0.9669,0.3362,0.4867,0.2045,0.3242,0.9464,0.9868,1536
text-t0.7,30,8,0.4474,0.291,0.9669,0.3682,0.525,0.2282,0.3589,0.9464,0.9868,1387
text-t0.7,30,9,0.4785,0.3179,0.9669,0.4,0.5536,0.2518,0.388,0.9464,0.9868,1271
text-t0.7,30,10,0.506,0.3437,0.9587,0.4262,0.5794,0.2749,0.4133,0.9349,0.9812,1161
text-t0.7,30,11,0.5339,0.37,0.9587,0.4542,0.6069,0.2979,0.443,0.9349,0.9812,1070
text-t0.7,30,12,0.5689,0.4067,0.9463,0.4907,0.6412,0.3323,0.4828,0.917,0.9714,975
text-t0.7,30,13,0.6,0.4402,0.9421,0.5215,0.6707,0.3615,0.5168,0.912,0.9684,907
text-t0.7,30,14,0.6255,0.4682,0.9421,0.5478,0.6927,0.3893,0.5453,0.912,0.9684,850
text-t0.7,30,15,0.6599,0.5078,0.9421,0.5849,0.7251,0.4282,0.5857,0.912,0.9684,789
text-t0.7,30,16,0.6953,0.5523,0.938,0.6264,0.759,0.4737,0.6323,0.9062,0.9672,729
text-t0.7,30,17,0.7244,0.5916,0.9339,0.6559,0.7838,0.509,0.6705,0.8984,0.9662,682
text-t0.7,30,18,0.7328,0.6176,0.9008,0.6654,0.7883,0.5316,0.6944,0.8612,0.9391,637
text-t0.7,30,19,0.7465,0.6437,0.8884,0.6815,0.7975,0.5581,0.7183,0.8464,0.9291,607
text-t0.7,30,20,0.7667,0.6817,0.876,0.7014,0.8167,0.5959,0.7562,0.8315,0.9198,571
text-t0.7,30,21,0.785,0.7167,0.8678,0.7251,0.8317,0.6353,0.7845,0.8205,0.9127,536
text-t0.7,30,22,0.8046,0.75,0.8678,0.7483,0.8492,0.6711,0.8166,0.8205,0.9127,510
text-t0.7,30,23,0.807,0.7638,0.8554,0.7525,0.8518,0.688,0.8298,0.802,0.9055,491
text-t0.7,30,24,0.8142,0.7803,0.8512,0.7621,0.8594,0.7092,0.8434,0.7951,0.9026,469
text-t0.7,30,25,0.8171,0.804,0.8306,0.7692,0.8619,0.7341,0.8621,0.7773,0.8829,441
text-t0.7,30,26,0.8263,0.8478,0.8058,0.7798,0.8694,0.7854,0.9009,0.7479,0.8627,415
text-t0.7,30,27,0.8184,0.8698,0.7727,0.7689,0.8598,0.8079,0.9179,0.7113,0.8303,390
text-t0.7,30,28,0.8109,0.9036,0.7355,0.7584,0.8547,0.8524,0.9429,0.6653,0.8017,361
text-t0.7,30,29,0.8038,0.9392,0.7025,0.7453,0.8514,0.9009,0.9707,0.6246,0.7716,327
text-t0.7,30,30,0.705,0.9574,0.5579,0.6238,0.7725,0.9179,0.9864,0.4693,0.6394,256
