threshold,n_accepted,precision,recall,f1,f1_ci_lower,f1_ci_upper,p_ci_lower,p_ci_upper,r_ci_lower,r_ci_upper
0.0,388,0.7655,0.6828,0.7217,0.6743,0.7635,0.7135,0.8114,0.6311,0.737
0.05,370,0.8,0.6805,0.7354,0.6885,0.7761,0.7528,0.843,0.6282,0.7328
0.1,364,0.8104,0.6782,0.7384,0.6932,0.7777,0.7623,0.8539,0.6253,0.7302
0.15,337,0.8516,0.6598,0.7435,0.6954,0.7845,0.8071,0.893,0.6059,0.7149
0.2,336,0.8512,0.6575,0.7419,0.6941,0.7837,0.8062,0.8926,0.6034,0.7139
0.25,319,0.8558,0.6276,0.7241,0.6768,0.7654,0.8119,0.8966,0.5748,0.6794
0.3,319,0.8558,0.6276,0.7241,0.6768,0.7654,0.8119,0.8966,0.5748,0.6794
0.35,314,0.8535,0.6161,0.7156,0.6703,0.7586,0.809,0.8946,0.5633,0.669
0.4,312,0.859,0.6161,0.7175,0.6713,0.7602,0.8148,0.9003,0.5633,0.669
0.45,296,0.8649,0.5885,0.7004,0.6498,0.7466,0.8203,0.9055,0.5317,0.6445
0.5,296,0.8649,0.5885,0.7004,0.6498,0.7466,0.8203,0.9055,0.5317,0.6445
0.55,296,0.8649,0.5885,0.7004,0.6498,0.7466,0.8203,0.9055,0.5317,0.6445
0.6,296,0.8649,0.5885,0.7004,0.6498,0.7466,0.8203,0.9055,0.5317,0.6445
0.65,296,0.8649,0.5885,0.7004,0.6498,0.7466,0.8203,0.9055,0.5317,0.6445
0.7,296,0.8649,0.5885,0.7004,0.6498,0.7466,0.8203,0.9055,0.5317,0.6445
0.75,294,0.8673,0.5862,0.6996,0.6497,0.7462,0.8214,0.9078,0.5307,0.6422
0.8,286,0.8671,0.5701,0.6879,0.6369,0.7344,0.8197,0.9098,0.5139,0.627
0.85,285,0.8667,0.5678,0.6861,0.6351,0.7311,0.8197,0.9094,0.5133,0.6223
0.9,253,0.8617,0.5011,0.6337,0.5817,0.6853,0.8133,0.906,0.4486,0.5556
0.95,252,0.8611,0.4989,0.6317,0.5795,0.6835,0.813,0.9057,0.4466,0.5535
1.0,181,0.8619,0.3586,0.5065,0.4474,0.5624,0.8024,0.9123,0.3057,0.414
