threshold,n_accepted,precision,recall,f1,f1_ci_lower,f1_ci_upper,p_ci_lower,p_ci_upper,r_ci_lower,r_ci_upper
0.0,415,0.8361,0.7977,0.8165,0.7779,0.8509,0.7862,0.8771,0.7511,0.842
0.05,390,0.8897,0.7977,0.8412,0.806,0.8735,0.8472,0.9239,0.7511,0.842
0.1,380,0.9105,0.7954,0.8491,0.8159,0.8803,0.8715,0.9412,0.7478,0.8409
0.15,355,0.9577,0.7816,0.8608,0.8282,0.8906,0.9291,0.978,0.7342,0.8271
0.2,352,0.9631,0.7793,0.8615,0.8291,0.8922,0.9377,0.9827,0.7323,0.8234
0.25,337,0.9703,0.7517,0.8472,0.8141,0.879,0.9492,0.9871,0.7019,0.8
0.3,337,0.9703,0.7517,0.8472,0.8141,0.879,0.9492,0.9871,0.7019,0.8
0.35,337,0.9703,0.7517,0.8472,0.8141,0.879,0.9492,0.9871,0.7019,0.8
0.4,336,0.9702,0.7494,0.8457,0.8122,0.8778,0.9491,0.987,0.7014,0.7981
0.45,326,0.9724,0.7287,0.8331,0.7994,0.8652,0.9521,0.9882,0.6804,0.7768
0.5,326,0.9724,0.7287,0.8331,0.7994,0.8652,0.9521,0.9882,0.6804,0.7768
0.55,326,0.9724,0.7287,0.8331,0.7994,0.8652,0.9521,0.9882,0.6804,0.7768
0.6,326,0.9724,0.7287,0.8331,0.7994,0.8652,0.9521,0.9882,0.6804,0.7768
0.65,326,0.9724,0.7287,0.8331,0.7994,0.8652,0.9521,0.9882,0.6804,0.7768
0.7,326,0.9724,0.7287,0.8331,0.7994,0.8652,0.9521,0.9882,0.6804,0.7768
0.75,323,0.9721,0.7218,0.8285,0.7954,0.8598,0.9518,0.9881,0.6733,0.7698
0.8,316,0.9715,0.7057,0.8176,0.7845,0.8502,0.9506,0.9879,0.6596,0.7551
0.85,316,0.9715,0.7057,0.8176,0.7845,0.8502,0.9506,0.9879,0.6596,0.7551
0.9,279,0.9713,0.623,0.7591,0.7192,0.7975,0.9494,0.9889,0.5728,0.6732
0.95,277,0.9711,0.6184,0.7556,0.7157,0.7934,0.949,0.9888,0.5692,0.6694
1.0,179,0.9721,0.4,0.5668,0.519,0.6123,0.945,0.9945,0.3539,0.4452
