threshold,n_accepted,precision,recall,f1,f1_ci_lower,f1_ci_upper,p_ci_lower,p_ci_upper,r_ci_lower,r_ci_upper
0.0,1376,0.2878,0.9103,0.4373,0.3827,0.4892,0.2433,0.3343,0.8805,0.9368
0.05,904,0.4381,0.9103,0.5915,0.5342,0.6415,0.3808,0.494,0.8805,0.9368
0.1,743,0.533,0.9103,0.6723,0.624,0.7167,0.4771,0.5855,0.8805,0.9368
0.15,670,0.591,0.9103,0.7167,0.6717,0.7594,0.5389,0.643,0.8805,0.9368
0.2,662,0.5982,0.9103,0.722,0.6784,0.7631,0.5455,0.6499,0.8805,0.9368
0.25,650,0.6092,0.9103,0.73,0.6857,0.7717,0.5571,0.662,0.8805,0.9368
0.3,649,0.6102,0.9103,0.7306,0.6865,0.7726,0.5583,0.663,0.8805,0.9368
0.35,646,0.613,0.9103,0.7327,0.6895,0.774,0.5607,0.6651,0.8805,0.9368
0.4,646,0.613,0.9103,0.7327,0.6895,0.774,0.5607,0.6651,0.8805,0.9368
0.45,643,0.6159,0.9103,0.7347,0.6921,0.7756,0.5643,0.6681,0.8805,0.9368
0.5,643,0.6159,0.9103,0.7347,0.6921,0.7756,0.5643,0.6681,0.8805,0.9368
0.55,643,0.6159,0.9103,0.7347,0.6921,0.7756,0.5643,0.6681,0.8805,0.9368
0.6,643,0.6159,0.9103,0.7347,0.6921,0.7756,0.5643,0.6681,0.8805,0.9368
0.65,643,0.6159,0.9103,0.7347,0.6921,0.7756,0.5643,0.6681,0.8805,0.9368
0.7,643,0.6159,0.9103,0.7347,0.6921,0.7756,0.5643,0.6681,0.8805,0.9368
0.75,639,0.6182,0.908,0.7356,0.6942,0.7761,0.5672,0.6714,0.8777,0.9347
0.8,638,0.6191,0.908,0.7363,0.6952,0.7768,0.5673,0.6715,0.8777,0.9347
0.85,632,0.6203,0.9011,0.7348,0.6937,0.7747,0.5688,0.6731,0.8721,0.9291
0.9,629,0.6232,0.9011,0.7368,0.6949,0.7768,0.571,0.6761,0.8721,0.9291
0.95,617,0.6353,0.9011,0.7452,0.7055,0.7837,0.5837,0.6874,0.8721,0.9291
1.0,80,0.8125,0.1494,0.2524,0.1953,0.3038,0.7097,0.9091,0.1116,0.1851
