threshold,n_accepted,precision,recall,f1,f1_ci_lower,f1_ci_upper,p_ci_lower,p_ci_upper,r_ci_lower,r_ci_upper
0.0,855,0.4538,0.892,0.6016,0.5474,0.6511,0.3978,0.5104,0.861,0.9226
0.05,447,0.8546,0.8782,0.8662,0.8364,0.893,0.8186,0.8873,0.8465,0.9091
0.1,447,0.8546,0.8782,0.8662,0.8364,0.893,0.8186,0.8873,0.8465,0.9091
0.15,440,0.8682,0.8782,0.8731,0.8436,0.8993,0.834,0.9002,0.8465,0.9091
0.2,440,0.8682,0.8782,0.8731,0.8436,0.8993,0.834,0.9002,0.8465,0.9091
0.25,439,0.8702,0.8782,0.8741,0.8457,0.8997,0.8368,0.902,0.8465,0.9091
0.3,439,0.8702,0.8782,0.8741,0.8457,0.8997,0.8368,0.902,0.8465,0.9091
0.35,439,0.8702,0.8782,0.8741,0.8457,0.8997,0.8368,0.902,0.8465,0.9091
0.4,439,0.8702,0.8782,0.8741,0.8457,0.8997,0.8368,0.902,0.8465,0.9091
0.45,439,0.8702,0.8782,0.8741,0.8457,0.8997,0.8368,0.902,0.8465,0.9091
0.5,439,0.8702,0.8782,0.8741,0.8457,0.8997,0.8368,0.902,0.8465,0.9091
0.55,439,0.8702,0.8782,0.8741,0.8457,0.8997,0.8368,0.902,0.8465,0.9091
0.6,439,0.8702,0.8782,0.8741,0.8457,0.8997,0.8368,0.902,0.8465,0.9091
0.65,439,0.8702,0.8782,0.8741,0.8457,0.8997,0.8368,0.902,0.8465,0.9091
0.7,439,0.8702,0.8782,0.8741,0.8457,0.8997,0.8368,0.902,0.8465,0.9091
0.75,439,0.8702,0.8782,0.8741,0.8457,0.8997,0.8368,0.902,0.8465,0.9091
0.8,439,0.8702,0.8782,0.8741,0.8457,0.8997,0.8368,0.902,0.8465,0.9091
0.85,439,0.8702,0.8782,0.8741,0.8457,0.8997,0.8368,0.902,0.8465,0.9091
0.9,439,0.8702,0.8782,0.8741,0.8457,0.8997,0.8368,0.902,0.8465,0.9091
0.95,427,0.8782,0.8621,0.8701,0.8415,0.8974,0.8453,0.9089,0.8286,0.8949
1.0,32,0.8438,0.0621,0.1156,0.0736,0.1598,0.7027,0.9678,0.0388,0.0877
