threshold,n_accepted,precision,recall,f1,f1_ci_lower,f1_ci_upper,p_ci_lower,p_ci_upper,r_ci_lower,r_ci_upper
0.0,1104,0.3542,0.8989,0.5081,0.4492,0.5641,0.2995,0.409,0.8655,0.9268
0.05,773,0.5058,0.8989,0.6474,0.5902,0.6955,0.4422,0.5648,0.8655,0.9268
0.1,551,0.6987,0.8851,0.7809,0.7386,0.8143,0.643,0.7477,0.8494,0.9154
0.15,423,0.8747,0.8506,0.8625,0.8302,0.8916,0.8329,0.9105,0.8123,0.8872
0.2,419,0.8759,0.8437,0.8595,0.8261,0.8887,0.8356,0.9121,0.8041,0.8814
0.25,397,0.8841,0.8069,0.8438,0.811,0.8732,0.8472,0.9176,0.7667,0.8491
0.3,397,0.8841,0.8069,0.8438,0.811,0.8732,0.8472,0.9176,0.7667,0.8491
0.35,389,0.8869,0.7931,0.8374,0.8054,0.8659,0.8497,0.92,0.7512,0.8343
0.4,388,0.8866,0.7908,0.836,0.8031,0.8646,0.8493,0.9198,0.7488,0.8312
0.45,370,0.8892,0.7563,0.8174,0.7819,0.8486,0.8511,0.9211,0.7079,0.8013
0.5,370,0.8892,0.7563,0.8174,0.7819,0.8486,0.8511,0.9211,0.7079,0.8013
0.55,370,0.8892,0.7563,0.8174,0.7819,0.8486,0.8511,0.9211,0.7079,0.8013
0.6,370,0.8892,0.7563,0.8174,0.7819,0.8486,0.8511,0.9211,0.7079,0.8013
0.65,370,0.8892,0.7563,0.8174,0.7819,0.8486,0.8511,0.9211,0.7079,0.8013
0.7,369,0.8889,0.754,0.8159,0.78,0.8469,0.8508,0.9204,0.7061,0.7991
0.75,366,0.8907,0.7494,0.814,0.7772,0.8448,0.8522,0.922,0.6995,0.7948
0.8,358,0.8883,0.731,0.802,0.7651,0.8333,0.8495,0.9202,0.6817,0.7761
0.85,358,0.8883,0.731,0.802,0.7651,0.8333,0.8495,0.9202,0.6817,0.7761
0.9,317,0.8833,0.6437,0.7447,0.7036,0.7806,0.8436,0.9176,0.5908,0.6923
0.95,317,0.8833,0.6437,0.7447,0.7036,0.7806,0.8436,0.9176,0.5908,0.6923
1.0,229,0.8865,0.4667,0.6114,0.5594,0.6595,0.8408,0.9269,0.4113,0.5237
