threshold,n_accepted,precision,recall,f1,f1_ci_lower,f1_ci_upper,p_ci_lower,p_ci_upper,r_ci_lower,r_ci_upper
0.0,777,0.4723,0.8437,0.6056,0.5637,0.645,0.4275,0.5156,0.8056,0.877
0.05,630,0.581,0.8414,0.6873,0.6492,0.7227,0.5387,0.6216,0.8025,0.8761
0.1,572,0.6311,0.8299,0.717,0.6796,0.7537,0.5894,0.6717,0.7898,0.8661
0.15,499,0.7014,0.8046,0.7495,0.7087,0.7851,0.6599,0.7408,0.7602,0.8477
0.2,497,0.7022,0.8023,0.7489,0.7074,0.7849,0.6602,0.7421,0.7575,0.8456
0.25,470,0.7213,0.7793,0.7492,0.7099,0.7849,0.6789,0.7604,0.7365,0.8202
0.3,470,0.7213,0.7793,0.7492,0.7099,0.7849,0.6789,0.7604,0.7365,0.8202
0.35,465,0.7226,0.7724,0.7467,0.7074,0.7818,0.6789,0.7615,0.7277,0.8125
0.4,465,0.7226,0.7724,0.7467,0.7074,0.7818,0.6789,0.7615,0.7277,0.8125
0.45,445,0.7258,0.7425,0.7341,0.6926,0.7703,0.6833,0.7661,0.6937,0.7868
0.5,445,0.7258,0.7425,0.7341,0.6926,0.7703,0.6833,0.7661,0.6937,0.7868
0.55,445,0.7258,0.7425,0.7341,0.6926,0.7703,0.6833,0.7661,0.6937,0.7868
0.6,445,0.7258,0.7425,0.7341,0.6926,0.7703,0.6833,0.7661,0.6937,0.7868
0.65,444,0.7252,0.7402,0.7327,0.6916,0.7689,0.6833,0.7652,0.6934,0.7849
0.7,442,0.724,0.7356,0.7298,0.6889,0.7663,0.6817,0.7642,0.6892,0.7801
0.75,440,0.725,0.7333,0.7291,0.6876,0.765,0.6824,0.766,0.6864,0.7787
0.8,431,0.7239,0.7172,0.7206,0.6792,0.7588,0.6815,0.7654,0.6674,0.763
0.85,430,0.7233,0.7149,0.7191,0.6768,0.7564,0.6801,0.7647,0.6651,0.7608
0.9,380,0.7237,0.6322,0.6748,0.6299,0.7154,0.6743,0.7717,0.5819,0.6821
0.95,380,0.7237,0.6322,0.6748,0.6299,0.7154,0.6743,0.7717,0.5819,0.6821
1.0,268,0.7201,0.4437,0.5491,0.4992,0.5948,0.6609,0.7783,0.3926,0.492
