threshold,n_accepted,precision,recall,f1,f1_ci_lower,f1_ci_upper,p_ci_lower,p_ci_upper,r_ci_lower,r_ci_upper
0.0,746,0.4745,0.8138,0.5995,0.5552,0.6368,0.4258,0.5152,0.7705,0.8532
0.05,514,0.6732,0.7954,0.7292,0.6879,0.7654,0.628,0.7141,0.7506,0.8369
0.1,514,0.6732,0.7954,0.7292,0.6879,0.7654,0.628,0.7141,0.7506,0.8369
0.15,509,0.6778,0.7931,0.7309,0.6892,0.7685,0.6307,0.7199,0.7479,0.8354
0.2,509,0.6778,0.7931,0.7309,0.6892,0.7685,0.6307,0.7199,0.7479,0.8354
0.25,508,0.6772,0.7908,0.7296,0.6874,0.7681,0.6304,0.7193,0.7456,0.8341
0.3,508,0.6772,0.7908,0.7296,0.6874,0.7681,0.6304,0.7193,0.7456,0.8341
0.35,508,0.6772,0.7908,0.7296,0.6874,0.7681,0.6304,0.7193,0.7456,0.8341
0.4,508,0.6772,0.7908,0.7296,0.6874,0.7681,0.6304,0.7193,0.7456,0.8341
0.45,508,0.6772,0.7908,0.7296,0.6874,0.7681,0.6304,0.7193,0.7456,0.8341
0.5,508,0.6772,0.7908,0.7296,0.6874,0.7681,0.6304,0.7193,0.7456,0.8341
0.55,508,0.6772,0.7908,0.7296,0.6874,0.7681,0.6304,0.7193,0.7456,0.8341
0.6,508,0.6772,0.7908,0.7296,0.6874,0.7681,0.6304,0.7193,0.7456,0.8341
0.65,508,0.6772,0.7908,0.7296,0.6874,0.7681,0.6304,0.7193,0.7456,0.8341
0.7,508,0.6772,0.7908,0.7296,0.6874,0.7681,0.6304,0.7193,0.7456,0.8341
0.75,508,0.6772,0.7908,0.7296,0.6874,0.7681,0.6304,0.7193,0.7456,0.8341
0.8,508,0.6772,0.7908,0.7296,0.6874,0.7681,0.6304,0.7193,0.7456,0.8341
0.85,508,0.6772,0.7908,0.7296,0.6874,0.7681,0.6304,0.7193,0.7456,0.8341
0.9,508,0.6772,0.7908,0.7296,0.6874,0.7681,0.6304,0.7193,0.7456,0.8341
0.95,504,0.6746,0.7816,0.7242,0.683,0.7603,0.6278,0.7165,0.7358,0.8235
1.0,44,0.6364,0.0644,0.1169,0.0753,0.1606,0.5106,0.7693,0.0402,0.0913
