threshold,n_accepted,precision,recall,f1,f1_ci_lower,f1_ci_upper,p_ci_lower,p_ci_upper,r_ci_lower,r_ci_upper
0.0,504,0.7183,0.8322,0.771,0.7281,0.816,0.6576,0.7816,0.7827,0.8791
0.05,436,0.8165,0.8184,0.8175,0.7814,0.854,0.7657,0.8676,0.7713,0.8651
0.1,436,0.8165,0.8184,0.8175,0.7814,0.854,0.7657,0.8676,0.7713,0.8651
0.15,434,0.818,0.8161,0.817,0.7817,0.8536,0.7678,0.8677,0.7688,0.8624
0.2,434,0.818,0.8161,0.817,0.7817,0.8536,0.7678,0.8677,0.7688,0.8624
0.25,432,0.8194,0.8138,0.8166,0.7812,0.8528,0.7696,0.8688,0.7636,0.8615
0.3,432,0.8194,0.8138,0.8166,0.7812,0.8528,0.7696,0.8688,0.7636,0.8615
0.35,432,0.8194,0.8138,0.8166,0.7812,0.8528,0.7696,0.8688,0.7636,0.8615
0.4,432,0.8194,0.8138,0.8166,0.7812,0.8528,0.7696,0.8688,0.7636,0.8615
0.45,432,0.8194,0.8138,0.8166,0.7812,0.8528,0.7696,0.8688,0.7636,0.8615
0.5,432,0.8194,0.8138,0.8166,0.7812,0.8528,0.7696,0.8688,0.7636,0.8615
0.55,432,0.8194,0.8138,0.8166,0.7812,0.8528,0.7696,0.8688,0.7636,0.8615
0.6,432,0.8194,0.8138,0.8166,0.7812,0.8528,0.7696,0.8688,0.7636,0.8615
0.65,432,0.8194,0.8138,0.8166,0.7812,0.8528,0.7696,0.8688,0.7636,0.8615
0.7,432,0.8194,0.8138,0.8166,0.7812,0.8528,0.7696,0.8688,0.7636,0.8615
0.75,432,0.8194,0.8138,0.8166,0.7812,0.8528,0.7696,0.8688,0.7636,0.8615
0.8,432,0.8194,0.8138,0.8166,0.7812,0.8528,0.7696,0.8688,0.7636,0.8615
0.85,432,0.8194,0.8138,0.8166,0.7812,0.8528,0.7696,0.8688,0.7636,0.8615
0.9,432,0.8194,0.8138,0.8166,0.7812,0.8528,0.7696,0.8688,0.7636,0.8615
0.95,428,0.8201,0.8069,0.8134,0.7774,0.849,0.7699,0.8711,0.7569,0.8539
1.0,34,0.8529,0.0667,0.1237,0.0759,0.1731,0.6923,1.0,0.0397,0.0963
