threshold,n_accepted,precision,recall,f1,f1_ci_lower,f1_ci_upper,p_ci_lower,p_ci_upper,r_ci_lower,r_ci_upper
0.0,519,0.5568,0.6644,0.6059,0.5564,0.6507,0.5075,0.6027,0.606,0.721
0.05,463,0.6091,0.6483,0.6281,0.5804,0.6756,0.5612,0.6578,0.5903,0.7089
0.1,463,0.6091,0.6483,0.6281,0.5804,0.6756,0.5612,0.6578,0.5903,0.7089
0.15,459,0.6078,0.6414,0.6242,0.5759,0.6726,0.5584,0.6577,0.5837,0.702
0.2,459,0.6078,0.6414,0.6242,0.5759,0.6726,0.5584,0.6577,0.5837,0.702
0.25,459,0.6078,0.6414,0.6242,0.5759,0.6726,0.5584,0.6577,0.5837,0.702
0.3,459,0.6078,0.6414,0.6242,0.5759,0.6726,0.5584,0.6577,0.5837,0.702
0.35,459,0.6078,0.6414,0.6242,0.5759,0.6726,0.5584,0.6577,0.5837,0.702
0.4,459,0.6078,0.6414,0.6242,0.5759,0.6726,0.5584,0.6577,0.5837,0.702
0.45,459,0.6078,0.6414,0.6242,0.5759,0.6726,0.5584,0.6577,0.5837,0.702
0.5,459,0.6078,0.6414,0.6242,0.5759,0.6726,0.5584,0.6577,0.5837,0.702
0.55,459,0.6078,0.6414,0.6242,0.5759,0.6726,0.5584,0.6577,0.5837,0.702
0.6,459,0.6078,0.6414,0.6242,0.5759,0.6726,0.5584,0.6577,0.5837,0.702
0.65,459,0.6078,0.6414,0.6242,0.5759,0.6726,0.5584,0.6577,0.5837,0.702
0.7,459,0.6078,0.6414,0.6242,0.5759,0.6726,0.5584,0.6577,0.5837,0.702
0.75,459,0.6078,0.6414,0.6242,0.5759,0.6726,0.5584,0.6577,0.5837,0.702
0.8,459,0.6078,0.6414,0.6242,0.5759,0.6726,0.5584,0.6577,0.5837,0.702
0.85,459,0.6078,0.6414,0.6242,0.5759,0.6726,0.5584,0.6577,0.5837,0.702
0.9,459,0.6078,0.6414,0.6242,0.5759,0.6726,0.5584,0.6577,0.5837,0.702
0.95,454,0.6079,0.6345,0.6209,0.5724,0.6698,0.5598,0.6585,0.5766,0.693
1.0,42,0.5476,0.0529,0.0964,0.0602,0.1394,0.4041,0.68,0.0323,0.0784
