threshold,n_accepted,precision,recall,f1,f1_ci_lower,f1_ci_upper,p_ci_lower,p_ci_upper,r_ci_lower,r_ci_upper
0.0,484,0.4132,0.4598,0.4353,0.3584,0.5025,0.3262,0.5011,0.3785,0.5377
0.05,339,0.5841,0.4552,0.5116,0.4298,0.5823,0.4851,0.6687,0.3738,0.5331
0.1,255,0.7686,0.4506,0.5681,0.4894,0.6344,0.7,0.8239,0.3706,0.5281
0.15,213,0.9014,0.4414,0.5926,0.5121,0.6611,0.8553,0.9414,0.3651,0.5176
0.2,213,0.9014,0.4414,0.5926,0.5121,0.6611,0.8553,0.9414,0.3651,0.5176
0.25,202,0.9059,0.4207,0.5746,0.4938,0.643,0.8571,0.9458,0.3432,0.4976
0.3,202,0.9059,0.4207,0.5746,0.4938,0.643,0.8571,0.9458,0.3432,0.4976
0.35,200,0.905,0.4161,0.5701,0.4885,0.639,0.8564,0.9455,0.3387,0.4922
0.4,200,0.905,0.4161,0.5701,0.4885,0.639,0.8564,0.9455,0.3387,0.4922
0.45,190,0.9105,0.3977,0.5536,0.4764,0.6264,0.8634,0.9507,0.3256,0.4698
0.5,190,0.9105,0.3977,0.5536,0.4764,0.6264,0.8634,0.9507,0.3256,0.4698
0.55,190,0.9105,0.3977,0.5536,0.4764,0.6264,0.8634,0.9507,0.3256,0.4698
0.6,190,0.9105,0.3977,0.5536,0.4764,0.6264,0.8634,0.9507,0.3256,0.4698
0.65,190,0.9105,0.3977,0.5536,0.4764,0.6264,0.8634,0.9507,0.3256,0.4698
0.7,189,0.9101,0.3954,0.5513,0.4762,0.6228,0.8634,0.9505,0.3241,0.4677
0.75,187,0.9144,0.3931,0.5498,0.4747,0.6216,0.8698,0.9519,0.3217,0.4655
0.8,184,0.913,0.3862,0.5428,0.467,0.6128,0.8678,0.9505,0.3154,0.4571
0.85,184,0.913,0.3862,0.5428,0.467,0.6128,0.8678,0.9505,0.3154,0.4571
0.9,164,0.9329,0.3517,0.5109,0.4356,0.5785,0.8915,0.9681,0.2857,0.416
0.95,164,0.9329,0.3517,0.5109,0.4356,0.5785,0.8915,0.9681,0.2857,0.416
1.0,105,0.9524,0.2299,0.3704,0.3028,0.4355,0.9101,0.9899,0.1798,0.2811
