label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
IM-5pass-k3-f1-oracle-image-55map-r2,5,0.0672,0.0605,0.0748,0.0697,0.0627,0.0775,0.065,0.0584,0.0724,0.7087,0.6944,0.7225,0.6923,0.9697,0.7087,0.6923,0.9697,sparse_cross_grid,False,0.6444210279826719,8541,zero_fraction_heuristic,
IM-5pass-k3-f1-oracle-image-55map-r2,10,0.2277,0.2156,0.2402,0.2359,0.2234,0.2489,0.22,0.2077,0.2325,0.7087,0.6944,0.7225,0.6923,0.9697,0.7087,0.6923,0.9697,sparse_cross_grid,False,0.6469968387776607,8541,zero_fraction_heuristic,
IM-5pass-k3-f1-oracle-image-55map-r2,15,0.4021,0.388,0.4165,0.4167,0.4019,0.4316,0.3886,0.3738,0.4034,0.7087,0.6944,0.7225,0.6923,0.9697,0.7087,0.6923,0.9697,sparse_cross_grid,False,0.6492214026460602,8541,zero_fraction_heuristic,
IM-5pass-k3-f1-oracle-image-55map-r2,20,0.5459,0.5315,0.5597,0.5656,0.5505,0.5802,0.5275,0.5117,0.5423,0.7087,0.6944,0.7225,0.6923,0.9697,0.7087,0.6923,0.9697,sparse_cross_grid,False,0.6519142957499122,8541,zero_fraction_heuristic,
IM-5pass-k3-f1-oracle-image-55map-r2,25,0.6531,0.6398,0.666,0.6767,0.6628,0.6905,0.6311,0.6159,0.646,0.7087,0.6944,0.7225,0.6923,0.9697,0.7087,0.6923,0.9697,sparse_cross_grid,False,0.6542559419271748,8541,zero_fraction_heuristic,
IM-5pass-k3-f1-oracle-image-55map-r2,30,0.7175,0.7051,0.7289,0.7434,0.73,0.7559,0.6933,0.6783,0.7069,0.7087,0.6944,0.7225,0.6923,0.9697,0.7087,0.6923,0.9697,sparse_cross_grid,False,0.6562463411778481,8541,zero_fraction_heuristic,
IM-5pass-k3-f1-oracle-image-55map-r2,35,0.7562,0.745,0.7669,0.7835,0.7713,0.7954,0.7308,0.7168,0.7442,0.7087,0.6944,0.7225,0.6923,0.9697,0.7087,0.6923,0.9697,sparse_cross_grid,False,0.65706591733989,8541,zero_fraction_heuristic,
IM-5pass-k3-f1-oracle-image-55map-r2,40,0.7793,0.7685,0.7892,0.8075,0.7956,0.8186,0.7531,0.7392,0.7662,0.7087,0.6944,0.7225,0.6923,0.9697,0.7087,0.6923,0.9697,sparse_cross_grid,False,0.658002575810795,8541,zero_fraction_heuristic,
IM-5pass-k3-f1-oracle-image-55map-r2,45,0.7917,0.7812,0.8013,0.8203,0.8087,0.8311,0.765,0.7515,0.7782,0.7087,0.6944,0.7225,0.6923,0.9697,0.7087,0.6923,0.9697,sparse_cross_grid,False,0.6581196581196581,8541,zero_fraction_heuristic,
IM-5pass-k3-f1-oracle-image-55map-r2,50,0.8008,0.7909,0.8101,0.8297,0.8182,0.8402,0.7738,0.7603,0.7865,0.7087,0.6944,0.7225,0.6923,0.9697,0.7087,0.6923,0.9697,sparse_cross_grid,False,0.6583538227373844,8541,zero_fraction_heuristic,
IM-5pass-k3-f1-oracle-image-55map-r2,75,0.8163,0.8067,0.8252,0.8457,0.8343,0.8559,0.7888,0.7756,0.8011,0.7087,0.6944,0.7225,0.6923,0.9697,0.7087,0.6923,0.9697,sparse_cross_grid,False,0.6585879873551106,8541,zero_fraction_heuristic,
IM-5pass-k3-f1-oracle-image-55map-r2,100,0.8196,0.8102,0.8284,0.8491,0.8381,0.8592,0.7919,0.7788,0.8042,0.7087,0.6944,0.7225,0.6923,0.9697,0.7087,0.6923,0.9697,sparse_cross_grid,False,0.6585879873551106,8541,zero_fraction_heuristic,
IM-5pass-k3-f1-oracle-image-55map-r2,125,0.8224,0.8131,0.8311,0.8521,0.8411,0.8623,0.7947,0.7817,0.807,0.7087,0.6944,0.7225,0.6923,0.9697,0.7087,0.6923,0.9697,sparse_cross_grid,False,0.6588221519728369,8541,zero_fraction_heuristic,
IM-5pass-k3-f1-oracle-image-55map-r2,150,0.8237,0.8144,0.8323,0.8534,0.8425,0.8635,0.7959,0.7828,0.8081,0.7087,0.6944,0.7225,0.6923,0.9697,0.7087,0.6923,0.9697,sparse_cross_grid,False,0.6588221519728369,8541,zero_fraction_heuristic,
