label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
stride-phaseb__g384-ov128-k10-era2b,5,0.4063,0.354,0.459,0.4315,0.3763,0.4872,0.3839,0.3326,0.4364,0.7969,0.7444,0.8432,0.7904,0.9845,0.7968,0.7903,0.9845,sparse_cross_grid,False,0.5831622176591376,487,processed_tiles,0
stride-phaseb__g384-ov128-k10-era2b,10,0.7518,0.7098,0.7914,0.7984,0.7538,0.8385,0.7103,0.6635,0.7546,0.7969,0.7444,0.8432,0.7904,0.9845,0.7968,0.7903,0.9845,sparse_cross_grid,False,0.5831622176591376,487,processed_tiles,0
stride-phaseb__g384-ov128-k10-era2b,15,0.8613,0.8285,0.8897,0.9147,0.8814,0.9402,0.8138,0.7688,0.852,0.7969,0.7444,0.8432,0.7904,0.9845,0.7968,0.7903,0.9845,sparse_cross_grid,False,0.5831622176591376,487,processed_tiles,0
stride-phaseb__g384-ov128-k10-era2b,20,0.8905,0.8617,0.9143,0.9457,0.9173,0.9662,0.8414,0.799,0.877,0.7969,0.7444,0.8432,0.7904,0.9845,0.7968,0.7903,0.9845,sparse_cross_grid,False,0.5831622176591376,487,processed_tiles,0
stride-phaseb__g384-ov128-k10-era2b,25,0.8929,0.8641,0.9161,0.9483,0.9199,0.9685,0.8437,0.8005,0.8789,0.7969,0.7444,0.8432,0.7904,0.9845,0.7968,0.7903,0.9845,sparse_cross_grid,False,0.5831622176591376,487,processed_tiles,0
stride-phaseb__g384-ov128-k10-era2b,30,0.8954,0.8667,0.9186,0.9509,0.922,0.9702,0.846,0.8029,0.8818,0.7969,0.7444,0.8432,0.7904,0.9845,0.7968,0.7903,0.9845,sparse_cross_grid,False,0.5831622176591376,487,processed_tiles,0
stride-phaseb__g384-ov128-k10-era2b,35,0.9002,0.8728,0.9224,0.9561,0.9284,0.9745,0.8506,0.8079,0.885,0.7969,0.7444,0.8432,0.7904,0.9845,0.7968,0.7903,0.9845,sparse_cross_grid,False,0.5831622176591376,487,processed_tiles,0
stride-phaseb__g384-ov128-k10-era2b,40,0.9002,0.8728,0.9224,0.9561,0.9284,0.9745,0.8506,0.8079,0.885,0.7969,0.7444,0.8432,0.7904,0.9845,0.7968,0.7903,0.9845,sparse_cross_grid,False,0.5831622176591376,487,processed_tiles,0
stride-phaseb__g384-ov128-k10-era2b,45,0.9002,0.8728,0.9224,0.9561,0.9284,0.9745,0.8506,0.8079,0.885,0.7969,0.7444,0.8432,0.7904,0.9845,0.7968,0.7903,0.9845,sparse_cross_grid,False,0.5831622176591376,487,processed_tiles,0
stride-phaseb__g384-ov128-k10-era2b,50,0.9002,0.8728,0.9224,0.9561,0.9284,0.9745,0.8506,0.8079,0.885,0.7969,0.7444,0.8432,0.7904,0.9845,0.7968,0.7903,0.9845,sparse_cross_grid,False,0.5831622176591376,487,processed_tiles,0
stride-phaseb__g384-ov128-k10-era2b,75,0.9002,0.8728,0.9224,0.9561,0.9284,0.9745,0.8506,0.8079,0.885,0.7969,0.7444,0.8432,0.7904,0.9845,0.7968,0.7903,0.9845,sparse_cross_grid,False,0.5831622176591376,487,processed_tiles,0
stride-phaseb__g384-ov128-k10-era2b,100,0.9027,0.8753,0.925,0.9587,0.931,0.9764,0.8529,0.8101,0.8873,0.7969,0.7444,0.8432,0.7904,0.9845,0.7968,0.7903,0.9845,sparse_cross_grid,False,0.5831622176591376,487,processed_tiles,0
stride-phaseb__g384-ov128-k10-era2b,125,0.9027,0.8753,0.925,0.9587,0.931,0.9764,0.8529,0.8101,0.8873,0.7969,0.7444,0.8432,0.7904,0.9845,0.7968,0.7903,0.9845,sparse_cross_grid,False,0.5831622176591376,487,processed_tiles,0
stride-phaseb__g384-ov128-k10-era2b,150,0.9027,0.8753,0.925,0.9587,0.931,0.9764,0.8529,0.8101,0.8873,0.7969,0.7444,0.8432,0.7904,0.9845,0.7968,0.7903,0.9845,sparse_cross_grid,False,0.5831622176591376,487,processed_tiles,0
