label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
g37-text-k3-verified-opmax,5,0.5296,0.0432,0.2257,0.498,0.3028,0.8462,0.5655,0.0227,0.1323,0.1337,0.0552,0.1884,0.0437,0.9961,0.132,0.0436,0.9961,sparse_cross_grid,True,0.7186858316221766,487,zero_fraction_heuristic,
g37-text-k3-verified-opmax,10,0.8245,0.2222,0.5934,0.7753,0.6,1.0,0.8805,0.129,0.4306,0.1337,0.0552,0.1884,0.0437,0.9961,0.132,0.0436,0.9961,sparse_cross_grid,True,0.8870636550308009,487,zero_fraction_heuristic,
g37-text-k3-verified-opmax,15,0.8762,0.3273,0.7356,0.8239,0.6,1.0,0.9356,0.205,0.6,0.1337,0.0552,0.1884,0.0437,0.9961,0.132,0.0436,0.9961,sparse_cross_grid,True,0.9281314168377823,487,zero_fraction_heuristic,
g37-text-k3-verified-opmax,20,0.887,0.3684,0.7732,0.834,0.6,1.0,0.9471,0.2353,0.6508,0.1337,0.0552,0.1884,0.0437,0.9961,0.132,0.0436,0.9961,sparse_cross_grid,True,0.9342915811088296,487,zero_fraction_heuristic,
g37-text-k3-verified-opmax,25,0.8934,0.3929,0.8,0.8401,0.6,1.0,0.954,0.2593,0.6909,0.1337,0.0552,0.1884,0.0437,0.9961,0.132,0.0436,0.9961,sparse_cross_grid,True,0.9404517453798767,487,zero_fraction_heuristic,
g37-text-k3-verified-opmax,30,0.8956,0.4,0.8116,0.8421,0.6,1.0,0.9563,0.2667,0.7083,0.1337,0.0552,0.1884,0.0437,0.9961,0.132,0.0436,0.9961,sparse_cross_grid,True,0.9425051334702259,487,zero_fraction_heuristic,
g37-text-k3-verified-opmax,35,0.8999,0.4242,0.83,0.8462,0.6,1.0,0.9609,0.2857,0.7353,0.1337,0.0552,0.1884,0.0437,0.9961,0.132,0.0436,0.9961,sparse_cross_grid,True,0.946611909650924,487,zero_fraction_heuristic,
g37-text-k3-verified-opmax,40,0.8999,0.4242,0.83,0.8462,0.6,1.0,0.9609,0.2857,0.7353,0.1337,0.0552,0.1884,0.0437,0.9961,0.132,0.0436,0.9961,sparse_cross_grid,True,0.946611909650924,487,zero_fraction_heuristic,
g37-text-k3-verified-opmax,45,0.8999,0.4242,0.83,0.8462,0.6,1.0,0.9609,0.2857,0.7353,0.1337,0.0552,0.1884,0.0437,0.9961,0.132,0.0436,0.9961,sparse_cross_grid,True,0.946611909650924,487,zero_fraction_heuristic,
g37-text-k3-verified-opmax,50,0.902,0.4444,0.8471,0.8482,0.6,1.0,0.9632,0.2963,0.75,0.1337,0.0552,0.1884,0.0437,0.9961,0.132,0.0436,0.9961,sparse_cross_grid,True,0.9486652977412731,487,zero_fraction_heuristic,
g37-text-k3-verified-opmax,75,0.9042,0.4444,0.8485,0.8502,0.6,1.0,0.9655,0.3077,0.7692,0.1337,0.0552,0.1884,0.0437,0.9961,0.132,0.0436,0.9961,sparse_cross_grid,True,0.9507186858316222,487,zero_fraction_heuristic,
g37-text-k3-verified-opmax,100,0.9085,0.4706,0.8686,0.8543,0.6,1.0,0.9701,0.3231,0.8,0.1337,0.0552,0.1884,0.0437,0.9961,0.132,0.0436,0.9961,sparse_cross_grid,True,0.9548254620123203,487,zero_fraction_heuristic,
g37-text-k3-verified-opmax,125,0.9085,0.4706,0.8686,0.8543,0.6,1.0,0.9701,0.3231,0.8,0.1337,0.0552,0.1884,0.0437,0.9961,0.132,0.0436,0.9961,sparse_cross_grid,True,0.9548254620123203,487,zero_fraction_heuristic,
g37-text-k3-verified-opmax,150,0.9085,0.4706,0.8686,0.8543,0.6,1.0,0.9701,0.3231,0.8,0.1337,0.0552,0.1884,0.0437,0.9961,0.132,0.0436,0.9961,sparse_cross_grid,True,0.9548254620123203,487,zero_fraction_heuristic,
